rank,prev_rank,name,league,off,def,spi
493,495,Pau,French Ligue 2,0.77,1.57,26.61
494,496,Louisville City FC,United Soccer League,0.88,1.75,26.35
495,497,Laval,French Ligue 2,0.9,1.78,26.33
496,503,Cittadella,Italy Serie B,0.62,1.36,26.3
497,499,San Antonio FC,United Soccer League,0.81,1.66,26.23
498,507,UD Ibiza,Spanish Segunda Division,0.74,1.55,26.15
499,493,Eupen,Belgian Jupiler League,1.08,2.06,26.14
500,492,Volos NFC,Greek Super League,0.88,1.77,26.07
501,498,Hansa Rostock,German 2. Bundesliga,0.83,1.71,25.91
502,504,Mjallby,Swedish Allsvenskan,0.77,1.63,25.84
503,505,Birmingham Legion FC,United Soccer League,1.03,2.01,25.82
504,481,Kilmarnock,Scottish Premiership,0.86,1.76,25.79
505,500,Charlton Athletic,English League One,0.94,1.89,25.66
506,508,Lyngby,Danish SAS-Ligaen,0.88,1.81,25.51
507,514,KV Oostende,Belgian Jupiler League,1.01,2.01,25.25
508,509,Kristiansund BK,Norwegian Tippeligaen,1.06,2.09,25.23
509,501,Istanbulspor,Turkish Turkcell Super Lig,0.94,1.92,25.22
510,510,Torpedo Moskow,Russian Premier Liga,0.7,1.55,25.09
511,511,Kyoto Purple Sanga,Japanese J League,0.63,1.45,24.99
512,480,Oxford United,English League One,0.83,1.77,24.99
513,512,Beijing Guoan,Chinese Super League,0.98,1.99,24.95
514,513,Aalesund,Norwegian Tippeligaen,0.82,1.76,24.93
515,522,Panetolikos,Greek Super League,0.78,1.69,24.92
516,521,Sydney FC,Australian A-League,1.03,2.09,24.7
517,525,Portsmouth,English League One,0.79,1.74,24.44
518,526,Asteras Tripolis,Greek Super League,0.62,1.46,24.43
519,516,Shanghai SIPG,Chinese Super League,0.9,1.92,24.26
520,515,Giannina,Greek Super League,0.81,1.79,24.16
521,518,San Diego Loyal SC,United Soccer League,1.03,2.12,24.08
522,520,Pyunik Yerevan,UEFA Europa Conference League,0.87,1.9,23.79
523,529,SV Sandhausen,German 2. Bundesliga,0.85,1.88,23.79
524,530,Shrewsbury Town,English League One,0.74,1.72,23.57
525,517,Rodez,French Ligue 2,0.6,1.51,23.32
526,527,Memphis 901 FC,United Soccer League,0.86,1.92,23.24
527,519,RFC Seraing,Belgian Jupiler League,0.83,1.9,22.98
528,523,Lugo,Spanish Segunda Division,0.64,1.6,22.9
529,528,Central Coast Mariners,Australian A-League,0.96,2.11,22.89
530,538,Orlando Pirates,South African ABSA Premier League,0.62,1.56,22.88
531,531,Sacramento Republic FC,United Soccer League,0.74,1.78,22.72
532,537,Eintracht Braunschweig,German 2. Bundesliga,0.78,1.84,22.55
533,524,Melbourne Victory,Australian A-League,0.81,1.9,22.48
534,544,Ionikos FC,Greek Super League,0.69,1.72,22.25
535,534,Niort,French Ligue 2,0.68,1.72,22.02
536,532,Winterthur,Swiss Raiffeisen Super League,0.79,1.91,21.88
537,535,Jubilo Iwata,Japanese J League,0.75,1.85,21.77
538,536,Pittsburgh Riverhounds,United Soccer League,0.73,1.83,21.76
539,539,Hamarkamaratene,Norwegian Tippeligaen,0.71,1.8,21.61
540,540,Aldosivi,Argentina Primera Division,0.68,1.77,21.25
541,541,1. FC Magdeburg,German 2. Bundesliga,0.84,2.04,21.16
542,554,Exeter City,English League One,0.78,1.96,20.95
543,543,Rio Grande Valley FC Toros,United Soccer League,0.69,1.83,20.75
544,545,New Mexico United,United Soccer League,0.75,1.93,20.65
545,546,Shamrock Rovers,UEFA Europa Conference League,0.69,1.84,20.63
546,533,Fleetwood Town,English League One,0.67,1.81,20.59
547,547,IK Sirius,Swedish Allsvenskan,0.73,1.9,20.51
548,542,SuperSport United,South African ABSA Premier League,0.59,1.68,20.34
549,560,Levadiakos,Greek Super League,0.58,1.67,20.27
550,550,Colorado Springs Switchbacks FC,United Soccer League,0.74,2.0,19.66
551,551,Degerfors IF,Swedish Allsvenskan,0.73,1.97,19.64
552,556,Cosenza,Italy Serie B,0.63,1.81,19.55
553,552,Oakland Roots,United Soccer League,0.74,2.0,19.47
554,553,Miami FC,United Soccer League,0.66,1.87,19.4
555,558,Western Sydney FC,Australian A-League,0.69,1.94,19.32
