rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.86,0.2,93.5
2,2,Barcelona,Spanish Primera Division,3.1,0.47,91.15
3,3,Bayern Munich,German Bundesliga,3.14,0.64,89.03
4,4,Liverpool,Barclays Premier League,2.61,0.43,87.99
5,6,Chelsea,Barclays Premier League,2.33,0.3,87.82
6,7,Real Madrid,Spanish Primera Division,2.41,0.34,87.76
7,5,Manchester United,Barclays Premier League,2.55,0.47,86.77
8,8,Paris Saint-Germain,French Ligue 1,2.6,0.58,85.26
9,10,Internazionale,Italy Serie A,2.54,0.55,85.06
10,9,Atletico Madrid,Spanish Primera Division,2.17,0.37,84.6
11,12,RB Leipzig,German Bundesliga,2.39,0.5,84.5
12,13,Borussia Dortmund,German Bundesliga,2.56,0.61,84.09
13,11,Juventus,Italy Serie A,2.42,0.53,84.06
14,14,Real Sociedad,Spanish Primera Division,2.21,0.43,83.73
15,15,Atalanta,Italy Serie A,2.44,0.65,82.09
16,16,Sevilla FC,Spanish Primera Division,2.09,0.47,81.39
17,17,Arsenal,Barclays Premier League,2.11,0.5,81.0
18,23,AS Roma,Italy Serie A,2.26,0.65,79.66
19,20,VfL Wolfsburg,German Bundesliga,2.07,0.54,79.52
20,19,Bayer Leverkusen,German Bundesliga,2.22,0.66,79.04
21,25,FC Salzburg,Austrian T-Mobile Bundesliga,2.84,1.07,78.83
22,22,Ajax,Dutch Eredivisie,2.69,0.98,78.63
23,18,Villarreal,Spanish Primera Division,1.99,0.53,78.6
24,21,Leicester City,Barclays Premier League,1.98,0.52,78.59
25,24,Eintracht Frankfurt,German Bundesliga,2.31,0.75,78.27
26,28,Tottenham Hotspur,Barclays Premier League,2.17,0.66,78.14
27,27,Lyon,French Ligue 1,2.21,0.7,77.96
28,31,West Ham United,Barclays Premier League,2.11,0.64,77.66
29,29,Brighton and Hove Albion,Barclays Premier League,1.99,0.58,77.28
30,26,Napoli,Italy Serie A,2.16,0.7,77.16
31,34,Athletic Bilbao,Spanish Primera Division,1.93,0.56,76.87
32,32,Lille,French Ligue 1,1.74,0.46,76.18
33,35,Aston Villa,Barclays Premier League,2.03,0.7,75.19
34,30,Borussia Monchengladbach,German Bundesliga,2.18,0.81,74.96
35,36,FC Porto,Portuguese Liga,2.12,0.78,74.61
36,38,Real Betis,Spanish Primera Division,2.04,0.73,74.54
37,41,AS Monaco,French Ligue 1,2.16,0.82,74.51
38,45,TSG Hoffenheim,German Bundesliga,2.29,0.91,74.51
39,33,AC Milan,Italy Serie A,2.16,0.85,73.9
40,37,Lazio,Italy Serie A,2.11,0.82,73.56
41,40,Celta Vigo,Spanish Primera Division,1.92,0.7,73.46
42,39,Zenit St Petersburg,Russian Premier Liga,2.14,0.86,73.31
43,42,Flamengo,Brasileiro Série A,2.09,0.83,73.13
44,44,Benfica,Portuguese Liga,2.02,0.79,73.01
45,49,Everton,Barclays Premier League,1.94,0.75,72.62
46,43,Wolverhampton,Barclays Premier League,1.77,0.64,72.31
47,46,Shakhtar Donetsk,UEFA Europa League,2.22,0.97,72.27
48,48,Club Brugge,Belgian Jupiler League,1.92,0.77,71.59
49,52,Leeds United,Barclays Premier League,2.09,0.92,71.2
50,51,Eibar,Spanish Primera Division,1.73,0.66,71.02
51,47,Olympiacos,Greek Super League,1.91,0.79,71.02
52,54,1. FC Union Berlin,German Bundesliga,1.78,0.71,70.49
53,50,Sporting CP,Portuguese Liga,1.67,0.66,69.77
54,57,VfB Stuttgart,German Bundesliga,2.13,1.02,69.65
55,56,Osasuna,Spanish Primera Division,1.71,0.7,69.57
56,61,Getafe,Spanish Primera Division,1.53,0.57,69.43
57,58,Young Boys,Swiss Raiffeisen Super League,2.15,1.04,69.3
58,60,Fulham,Barclays Premier League,1.71,0.72,69.15
59,63,PSV,Dutch Eredivisie,2.22,1.13,68.59
60,53,Southampton,Barclays Premier League,1.79,0.8,68.58
61,55,Burnley,Barclays Premier League,1.66,0.7,68.55
62,64,Rangers,Scottish Premiership,1.95,0.94,68.26
63,62,Levante,Spanish Primera Division,1.92,0.92,67.94
64,59,SC Freiburg,German Bundesliga,1.89,0.92,67.53
65,65,Dinamo Zagreb,UEFA Europa League,1.99,1.02,67.08
66,66,Hertha Berlin,German Bundesliga,1.75,0.84,66.67
67,76,Slavia Prague,UEFA Europa League,1.91,0.98,66.56
68,69,Valencia,Spanish Primera Division,1.76,0.88,66.08
69,71,Fiorentina,Italy Serie A,1.74,0.87,65.84
70,74,River Plate,Argentina Primera Division,1.74,0.88,65.48
71,73,FC Krasnodar,Russian Premier Liga,1.82,0.96,65.38
72,81,Galatasaray,Turkish Turkcell Super Lig,1.81,0.96,65.18
73,83,Mainz,German Bundesliga,1.9,1.04,64.8
74,82,Besiktas,Turkish Turkcell Super Lig,1.97,1.1,64.7
75,67,Alavés,Spanish Primera Division,1.62,0.82,64.68
76,68,Granada,Spanish Primera Division,1.65,0.85,64.5
77,78,Braga,Portuguese Liga,1.8,0.98,64.47
78,72,Werder Bremen,German Bundesliga,1.66,0.86,64.43
79,79,Sheffield United,Barclays Premier League,1.6,0.83,64.07
80,75,Udinese,Italy Serie A,1.64,0.86,64.01
81,87,Sassuolo,Italy Serie A,1.89,1.07,63.97
82,80,Lens,French Ligue 1,1.64,0.87,63.94
83,84,SD Huesca,Spanish Primera Division,1.65,0.88,63.8
84,70,Stade Rennes,French Ligue 1,1.53,0.79,63.51
85,85,Dynamo Kiev,UEFA Europa League,1.83,1.04,63.39
86,86,Internacional,Brasileiro Série A,1.57,0.83,63.35
87,77,CSKA Moscow,Russian Premier Liga,1.67,0.91,63.28
88,94,AZ,Dutch Eredivisie,2.0,1.2,63.15
89,91,Newcastle,Barclays Premier League,1.67,0.92,63.02
90,93,Strasbourg,French Ligue 1,1.64,0.92,62.67
91,89,Torino,Italy Serie A,1.71,0.98,62.62
92,95,Marseille,French Ligue 1,1.54,0.85,62.13
93,88,Crystal Palace,Barclays Premier League,1.7,0.99,62.12
94,96,Spartak Moscow,Russian Premier Liga,1.65,0.95,61.89
95,97,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
96,98,Bodo/Glimt,Norwegian Tippeligaen,2.33,1.55,61.76
97,100,Monterrey,Mexican Primera Division Torneo Clausura,1.62,0.94,61.53
98,99,Norwich City,English League Championship,1.7,1.02,61.45
99,90,Brentford,English League Championship,1.69,1.01,61.24
100,103,Atletico Mineiro,Brasileiro Série A,1.64,0.97,61.23
101,104,Sampdoria,Italy Serie A,1.71,1.04,61.22
102,111,Verona,Italy Serie A,1.62,0.96,61.1
103,102,Kawasaki Frontale,Japanese J League,1.93,1.23,61.07
104,108,FC Cologne,German Bundesliga,1.65,1.0,61.02
105,105,FC Midtjylland,Danish SAS-Ligaen,1.72,1.06,60.77
106,107,PAOK Salonika,Greek Super League,1.47,0.85,60.57
107,106,Bragantino,Brasileiro Série A,1.5,0.88,60.56
108,110,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
109,92,LASK Linz,Austrian T-Mobile Bundesliga,1.81,1.17,60.17
110,115,Watford,English League Championship,1.55,0.95,59.99
111,131,Metz,French Ligue 1,1.45,0.86,59.92
112,119,Feyenoord,Dutch Eredivisie,1.84,1.22,59.7
113,116,Cadiz,Spanish Primera Division,1.58,0.99,59.66
114,117,Real Valladolid,Spanish Primera Division,1.55,0.96,59.58
115,120,FC Augsburg,German Bundesliga,1.58,0.98,59.58
116,118,St Etienne,French Ligue 1,1.46,0.89,59.43
117,101,Celtic,Scottish Premiership,1.75,1.15,59.31
118,109,Palmeiras,Brasileiro Série A,1.42,0.86,59.26
119,112,Bologna,Italy Serie A,1.69,1.1,59.12
120,121,Brest,French Ligue 1,1.74,1.16,58.93
121,113,São Paulo,Brasileiro Série A,1.47,0.93,58.49
122,123,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
123,124,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
124,134,Montpellier,French Ligue 1,1.8,1.24,58.22
125,127,Trabzonspor,Turkish Turkcell Super Lig,1.53,1.02,57.73
126,125,Tigres UANL,Mexican Primera Division Torneo Clausura,1.55,1.04,57.65
127,128,Espanyol,Spanish Segunda Division,1.44,0.95,57.52
128,129,Angers,French Ligue 1,1.39,0.9,57.51
129,114,Bordeaux,French Ligue 1,1.41,0.92,57.48
130,135,AEK Athens,Greek Super League,1.52,1.02,57.39
131,126,Spezia,Italy Serie A,1.6,1.1,57.37
132,130,Genoa,Italy Serie A,1.5,1.01,57.28
133,142,Nice,French Ligue 1,1.54,1.05,57.1
134,150,Sochi,Russian Premier Liga,1.52,1.04,57.07
135,122,Fenerbahce,Turkish Turkcell Super Lig,1.68,1.19,57.05
136,133,Grêmio,Brasileiro Série A,1.5,1.02,57.02
137,132,Arminia Bielefeld,German Bundesliga,1.54,1.06,57.0
138,137,Sparta Prague,UEFA Europa League,1.74,1.25,56.89
139,141,Red Star Belgrade,UEFA Europa League,1.77,1.28,56.79
140,139,Molde,Norwegian Tippeligaen,2.07,1.58,56.42
141,140,Rapid Vienna,Austrian T-Mobile Bundesliga,1.78,1.31,56.31
142,144,Cardiff City,English League Championship,1.6,1.15,56.22
143,143,Malmo FF,Swedish Allsvenskan,1.73,1.27,56.09
144,138,Cruz Azul,Mexican Primera Division Torneo Clausura,1.54,1.11,55.83
145,147,Maccabi Tel-Aviv,UEFA Europa League,1.43,1.01,55.6
146,155,Lokomotiv Moscow,Russian Premier Liga,1.45,1.04,55.49
147,146,Reims,French Ligue 1,1.35,0.95,55.35
148,162,Club América,Mexican Primera Division Torneo Clausura,1.41,1.01,55.3
149,156,West Bromwich Albion,Barclays Premier League,1.55,1.15,55.2
150,145,AFC Bournemouth,English League Championship,1.54,1.14,55.18
151,148,Basel,Swiss Raiffeisen Super League,1.79,1.37,55.15
152,136,FC Utrecht,Dutch Eredivisie,1.75,1.34,54.81
153,149,Elche,Spanish Primera Division,1.46,1.09,54.4
154,157,Fluminense,Brasileiro Série A,1.32,0.95,54.39
155,151,Nantes,French Ligue 1,1.41,1.04,54.28
156,179,Barnsley,English League Championship,1.32,0.97,54.24
157,152,Ferencvaros,UEFA Champions League,1.62,1.26,53.98
158,165,Rostov,Russian Premier Liga,1.43,1.08,53.94
159,154,Benevento,Italy Serie A,1.51,1.17,53.79
