,twitter,FPL,FPL_Rank,xG,xG_Rank,IO,IO_Rank,MD,MD_Rank,Luck,Luck_Rank
0,sertalpbilal,2315.0,303496.0,2330.0,30739.0,2398.0,7978.0,2407.0,514.0,-103.52,7.2%
1,FplSimpson,2380.0,122138.0,2377.0,7531.0,2439.0,472.0,2423.0,87.0,-73.55,15.3%
2,FplStatsdan,2310.0,322145.0,2314.0,44095.0,2372.0,24478.0,2346.0,19550.0,-73.81,15.3%
3,FF_Trout,2391.0,101910.0,2399.0,3321.0,2461.0,43.0,2455.0,4.0,-87.58,11.1%
4,dilksybab,2439.0,39600.0,2460.0,110.0,2475.0,8.0,2437.0,19.0,-58.71,20.3%
5,theFPLkiwi,2262.0,538523.0,2307.0,51915.0,2416.0,2686.0,2385.0,2734.0,-148.08,1.7%
6,jameso_12,2303.0,350018.0,2249.0,151798.0,2404.0,5660.0,2375.0,5155.0,-79.3,13.6%
7,api_kakayou,2425.0,53705.0,2330.0,30600.0,2401.0,6555.0,2376.0,4768.0,15.25,58.6%
8,usafpl,2308.0,329861.0,2254.0,139848.0,2328.0,86561.0,2289.0,104063.0,-20.07,38.5%
9,CazzaFPL,2493.0,9552.0,2414.0,1662.0,2458.0,65.0,2415.0,227.0,23.53,63.2%
10,PlanetosFPL,2391.0,101910.0,2370.0,9669.0,2471.0,14.0,2439.0,14.0,-76.2,14.6%
11,analytic_fpl,2436.0,42366.0,2327.0,32643.0,2412.0,3634.0,2393.0,1552.0,18.01,60.2%
12,wee_rogue,2396.0,93494.0,2375.0,8146.0,2453.0,104.0,2412.0,300.0,-57.85,20.7%
13,mtthwmn,2404.0,80909.0,2346.0,20280.0,2463.0,32.0,2444.0,8.0,-53.96,22.4%
14,cmusson32,2291.0,400476.0,2321.0,38173.0,2391.0,11152.0,2402.0,758.0,-120.78,4.6%
15,FPLstudent2,2404.0,80909.0,2419.0,1280.0,2434.0,724.0,2458.0,3.0,-73.35,15.4%
16,peterhandleson,2123.0,1501801.0,2115.0,776495.0,2223.0,524310.0,2221.0,365502.0,-96.93,8.7%
17,chrishp,2435.0,43314.0,2384.0,5919.0,2419.0,2193.0,2404.0,644.0,-7.84,45.2%
18,plfantasy,2422.0,57094.0,2339.0,23986.0,2373.0,23451.0,2356.0,12933.0,25.7,64.4%
19,FPLmeta,2457.0,25893.0,2374.0,8452.0,2437.0,551.0,2421.0,108.0,5.89,53.1%
20,FplAuto,2360.0,167160.0,2350.0,17805.0,2418.0,2403.0,2373.0,5869.0,-60.73,19.6%
21,NourEldin_z3r0,2472.0,17566.0,2385.0,5592.0,2373.0,23143.0,2358.0,11949.0,59.42,80.4%
22,UkendtPerson45,2414.0,66987.0,2425.0,915.0,2426.0,1397.0,2405.0,590.0,-45.13,26.2%
23,MikkelTokvam,2440.0,38740.0,2419.0,1268.0,2434.0,687.0,2407.0,496.0,-20.73,38.2%
24,Klaudioz,2356.0,177433.0,2225.0,216968.0,2253.0,351300.0,2228.0,329641.0,85.19,89.2%
25,FantasianPL,2245.0,631751.0,2308.0,50817.0,2358.0,37997.0,2343.0,22123.0,-130.81,3.3%
26,rama96ab,2389.0,105380.0,2385.0,5709.0,2437.0,573.0,2417.0,194.0,-64.3,18.3%
27,FPL_LFE,2435.0,43314.0,2334.0,27367.0,2345.0,55770.0,2314.0,55553.0,64.55,82.6%
28,_jtreble,2481.0,13803.0,2425.0,912.0,2445.0,267.0,2410.0,360.0,13.62,57.6%
29,DanielSaetre,2410.0,72332.0,2348.0,18771.0,2396.0,8613.0,2368.0,7494.0,-1.22,49%
30,FBinary01,2484.0,12669.0,2333.0,28534.0,2372.0,24114.0,2347.0,18808.0,93.38,91.2%
31,FPL_Data,2261.0,543885.0,2289.0,75582.0,2335.0,73970.0,2353.0,14913.0,-103.39,7.3%
32,FPL_ElStatto,2333.0,243635.0,2257.0,133256.0,2345.0,55691.0,2321.0,45400.0,-13.16,42.5%
33,FplSigurd,2436.0,42366.0,2439.0,410.0,2455.0,84.0,2435.0,25.0,-47.26,25.2%
34,JoeBopara,2293.0,391932.0,2311.0,47769.0,2382.0,16307.0,2340.0,24678.0,-91.04,10.1%
35,dLincolnlawyer,2439.0,39600.0,2415.0,1563.0,2407.0,4836.0,2389.0,2106.0,-5.27,46.7%
36,FPL_Statoholic,2427.0,51481.0,2273.0,100999.0,2402.0,6341.0,2411.0,333.0,24.36,63.6%
37,FplAmateur,2451.0,30137.0,2316.0,42627.0,2383.0,15560.0,2365.0,8612.0,56.06,79%
38,wolacola,2453.0,28659.0,2385.0,5705.0,2416.0,2804.0,2421.0,112.0,5.37,52.8%
39,Hashtag_MEGA,2318.0,293006.0,2360.0,13141.0,2453.0,98.0,2463.0,2.0,-148.09,1.7%
40,dav_fifa,2392.0,100130.0,2208.0,272103.0,2228.0,493683.0,2207.0,447021.0,142.81,98.2%
41,MaulanaRiandi,2497.0,8386.0,2435.0,516.0,2397.0,8390.0,2354.0,14117.0,61.21,81.1%
42,Rak464,2387.0,108951.0,2314.0,44114.0,2401.0,6842.0,2370.0,6784.0,-15.07,41.5%
43,ArneBarsnes,2538.0,2072.0,2403.0,2732.0,2449.0,166.0,2433.0,27.0,68.92,84.1%
44,FPL_PapaSmurf,2336.0,234245.0,2216.0,247502.0,2313.0,121237.0,2301.0,77906.0,22.22,62.5%
45,gezza96,2516.0,4498.0,2417.0,1436.0,2397.0,8269.0,2370.0,6792.0,81.06,88.3%
