,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,383,Lloris,6,1,55,8,4.058,False,1,4.058
1,77,Lamptey,36,2,47,8,4.005,False,1,4.005
2,232,Chilwell,8,2,59,8,4.428,False,1,4.428
3,362,Bertrand,20,2,50,8,4.167,False,1,4.167
4,4,Aubameyang,3,3,117,8,6.105,False,1,6.105
5,272,De Bruyne,43,3,115,8,5.124,False,1,5.124
6,276,Sterling,43,3,116,8,5.0310000000000015,False,1,5.0310000000000015
7,390,Son,6,3,95,8,5.362,False,1,5.362
8,117,Werner,8,4,93,8,5.2639999999999985,False,1,5.2639999999999985
9,366,Ings,20,4,85,8,5.348,False,1,5.348
10,388,Kane,6,4,109,8,6.376,True,2,12.752
