,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,2094.0,2165.27,2202.84,2210.93,-109.22,366118,55294,5325,584,4.7%
1,FplSimpson,2145.0,2214.68,2242.0,2232.45,-94.82,170629,15622,304,132,7.7%
2,FplStatsdan,2125.0,2184.1,2185.18,2169.45,-64.53,313234,35839,13059,8809,17%
3,FF_Trout,2187.0,2251.0,2258.82,2255.36,-78.08,97545,4318,103,9,12.4%
4,dilksybab,2224.0,2300.57,2287.09,2250.41,-65.17,41857,310,5,24,16.8%
5,theFPLkiwi,2059.0,2165.24,2216.48,2189.3,-141.53,587665,55300,2360,2775,1.4%
6,jameso_12,2076.0,2107.36,2172.79,2143.17,-75.37,484978,176460,21682,26498,13.1%
7,api_kakayou,2232.0,2190.56,2179.57,2163.65,44.19,49290,30625,16252,12098,73.7%
8,usafpl,2124.0,2120.4,2145.18,2115.59,-13.1,289961,138579,53142,61327,42.7%
9,CazzaFPL,2268.0,2261.67,2283.36,2245.81,-5.62,14556,2817,5,28,47.6%
10,PlanetosFPL,2169.0,2221.4,2243.66,2219.33,-69.17,109257,12647,253,302,15.3%
11,analytic_fpl,2227.0,2191.2,2192.1,2182.07,28.58,58608,30200,9453,4441,65.7%
12,wee_rogue,2174.0,2209.84,2213.6,2180.99,-37.4,92477,17945,2818,4599,29.3%
13,mtthwmn,2214.0,2220.47,2251.51,2237.01,-32.45,73277,13026,138,92,32.2%
14,cmusson32,2114.0,2181.5,2191.06,2200.3,-87.02,374589,37554,10030,1283,9.8%
15,FPLstudent2,2205.0,2278.28,2222.07,2246.22,-53.61,76549,1278,1606,28,22%
16,peterhandleson,1939.0,2005.92,2028.36,2020.79,-89.45,1650964,695107,516464,423679,8.9%
17,chrishp,2250.0,2251.31,2202.81,2194.41,24.12,25804,4273,5325,2130,63.4%
18,plfantasy,2212.0,2180.86,2139.88,2125.85,53.4,85265,38356,62462,46061,78%
19,FPLmeta,2229.0,2211.28,2242.67,2230.32,-9.21,37974,17277,278,150,45%
20,FplAuto,2135.0,2208.54,2185.7,2144.41,-54.31,199657,18621,12842,25291,21.6%
21,NourEldin_z3r0,2263.0,2254.39,2179.32,2166.17,53.48,17884,3847,16472,11117,78%
22,UkendtPerson45,2228.0,2288.53,2235.68,2216.53,-28.57,45218,718,593,356,33.6%
23,MikkelTokvam,2219.0,2265.84,2209.08,2186.52,-11.11,48000,2351,3665,3243,44.1%
24,Klaudioz,2148.0,2089.4,2047.81,2030.85,82.26,252420,237262,399726,364921,88.6%
25,FantasianPL,2050.0,2161.82,2122.38,2110.45,-91.3,676318,59513,96918,69867,8.6%
26,rama96ab,2194.0,2237.9,2214.76,2199.51,-33.21,91173,7275,2689,1522,31.7%
27,FPL_LFE,2230.0,2200.7,2136.53,2117.6,68.8,49675,23169,68776,58689,84.3%
28,_jtreble,2285.0,2285.47,2234.09,2206.47,33.35,9435,911,673,787,68.4%
29,DanielSaetre,2227.0,2207.29,2211.04,2189.88,14.31,45095,19281,3181,2698,58.6%
30,FBinary01,2267.0,2192.17,2167.82,2147.39,88.07,19784,29628,26721,22859,90.1%
