,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1171.0,1235.92,1249.55,1248.48,-78.51,487878,28149,974,121,6.6%
1,FplSimpson,1159.0,1230.36,1265.99,1251.55,-95.8,610527,34581,88,93,3%
2,FplStatsdan,1121.0,1190.14,1232.9,1219.91,-99.15,1100455,157412,6635,4957,2.6%
3,FF_Trout,1218.0,1255.03,1271.09,1266.13,-50.96,162173,10805,36,9,16.4%
4,dilksybab,1203.0,1274.09,1274.71,1251.4,-67.58,239728,3502,13,96,9.8%
5,theFPLkiwi,1105.0,1154.63,1216.44,1199.53,-91.74,1347013,399444,22144,22345,3.4%
6,jameso_12,1135.0,1152.16,1196.49,1171.73,-44.11,905017,422953,68419,100916,19.7%
7,api_kakayou,1265.0,1204.61,1200.79,1192.56,61.7,35119,99045,55910,35758,89.4%
8,usafpl,1101.0,1135.4,1189.7,1171.92,-70.89,1413749,591369,94993,100285,8.9%
9,CazzaFPL,1230.0,1239.86,1277.13,1248.54,-30.45,116391,22867,12,121,27.6%
10,PlanetosFPL,1166.0,1228.66,1254.14,1235.08,-78.27,537807,36974,500,970,6.6%
11,analytic_fpl,1208.0,1220.34,1261.36,1246.01,-40.28,212968,54327,219,238,21.7%
12,rogue_wee,1150.0,1206.68,1216.83,1197.94,-61.49,714183,92367,21566,25555,11.8%
13,mtthwmn,1209.0,1216.86,1244.31,1235.4,-28.46,206791,63226,1950,956,29.1%
14,cmusson32,1197.0,1218.94,1228.3,1236.47,-35.78,278063,56985,9429,826,24.3%
15,FPLstudent2,1196.0,1272.04,1242.47,1258.4,-65.04,285945,3826,2647,20,10.5%
16,peterhandleson,1101.0,1134.37,1168.84,1156.11,-57.59,1414489,604191,205002,186728,13.4%
17,chrishp,1209.0,1238.98,1221.04,1214.1,-19.12,207697,24188,16086,8214,35.4%
18,plfantasy,1245.0,1207.67,1192.53,1173.45,50.51,72879,89117,82376,92451,84.8%
19,FPLmeta,1232.0,1219.59,1236.44,1233.1,-2.65,107662,55471,5300,1142,47%
20,FplAuto,1145.0,1209.52,1216.76,1194.26,-65.99,776776,83646,21741,32307,10.2%
21,NourEldin_z3r0,1284.0,1270.84,1245.42,1230.63,32.1,16293,4120,1692,1534,73.4%
22,UkendtPerson45,1138.0,1259.23,1252.37,1240.79,-116.58,865377,8558,731,472,1.1%
23,MikkelTokvam,1242.0,1295.2,1273.14,1255.14,-35.5,78333,812,16,69,24.4%
24,Klaudioz,1194.0,1153.65,1126.04,1114.26,59.78,303097,408906,691706,650547,88.8%
25,FantasianPL,1095.0,1187.57,1203.24,1191.45,-103.81,1507001,170966,49124,38183,2.1%
26,rama96ab,1197.0,1238.34,1211.24,1206.65,-24.82,280739,24903,31062,14367,31.4%
27,FPL_LFE,1230.0,1222.41,1187.03,1164.6,36.3,116391,49936,105354,131632,76.1%
28,_jtreble,1246.0,1261.92,1246.15,1223.63,-1.08,69923,7482,1565,3579,48.4%
29,DanielSaetre,1267.0,1236.05,1252.12,1239.65,19.67,32588,28107,738,512,65.2%
30,FBinary01,1296.0,1190.18,1206.27,1194.89,94.14,9243,157172,42061,31473,96.9%
31,FPL_Data,1139.0,1185.1,1211.57,1209.76,-68.52,852346,183617,30662,11631,9.5%
32,FPL_ElStatto,1183.0,1142.89,1161.02,1148.33,27.45,384283,510467,262997,252557,70.9%
33,FplSigurd,1219.0,1296.62,1258.86,1252.4,-52.88,158426,726,294,91,15.6%
34,JoeBopara,1154.0,1189.58,1218.81,1195.25,-52.26,669616,160082,18846,30769,15.9%
35,dLincolnlawyer,1265.0,1277.72,1228.35,1231.43,16.86,35227,2578,9426,1422,63.2%
36,FPL_Statoholic,1243.0,1203.96,1260.51,1257.81,-4.38,76214,101324,244,21,45.6%
37,FplAmateur,1246.0,1203.65,1183.18,1170.0,57.21,68534,102200,122679,106607,87.7%
38,wolacola,1257.0,1280.09,1272.02,1264.37,-18.97,47412,2236,18,13,35.5%
39,Hashtag_MEGA,1232.0,1257.29,1258.68,1256.11,-29.67,107662,9720,314,53,28.2%
40,dav_fifa,1234.0,1109.99,1119.59,1107.61,117.14,103590,940203,796387,750645,99%
41,MaulanaRiandi,1265.0,1270.69,1248.41,1228.28,12.92,34701,4160,1061,2330,60.2%
42,Rak464,1210.0,1208.59,1221.79,1207.31,-7.12,204363,86524,15596,13683,43.5%
43,ArneBarsnes,1262.0,1243.11,1228.85,1223.64,26.53,38778,19727,9089,3564,70.3%
44,FPL_PapaSmurf,1252.0,1200.09,1187.5,1176.71,60.34,57159,114887,103465,80504,88.9%
45,gezza96,1280.0,1267.06,1212.19,1205.53,49.87,19393,5355,29270,15883,84.5%
46,Raghy78d,1333.0,1277.9,1274.12,1249.87,62.06,1236,2543,13,115,89.6%
47,pdhFPL,1203.0,1288.82,1265.93,1263.17,-72.93,240714,1323,88,13,8.2%
48,NeilRankinZA,1128.0,1118.56,1101.98,1105.88,15.5,996939,820612,1136753,784573,62.3%
49,EuanThompson,1272.0,1311.91,1299.93,1291.49,-32.74,26336,217,1,1,26.1%
50,FPLrookie1,1220.0,1239.02,1224.71,1206.67,-6.8,155672,24170,12462,14364,43.8%
51,FplBudget,1229.0,1175.27,1198.34,1189.17,36.32,119619,243465,62804,43165,76.1%
52,FF_Vader,1244.0,1225.17,1236.61,1217.78,13.08,74649,44205,5265,5606,60.3%
