,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1708.0,1752.43,1806.46,1810.51,-110.91,579095,50299,2051,294,5.3%
1,FplSimpson,1764.0,1789.52,1845.42,1834.1,-88.01,233891,13915,43,11,10.4%
2,FplStatsdan,1710.0,1752.86,1793.67,1780.27,-94.28,566042,49890,4748,3103,8.9%
3,FF_Trout,1757.0,1785.22,1811.09,1809.36,-73.39,266521,16427,1405,305,15.6%
4,dilksybab,1805.0,1854.26,1868.64,1835.83,-75.87,95407,420,1,11,14.6%
5,theFPLkiwi,1628.0,1717.61,1791.43,1772.6,-161.83,1370585,126164,5848,5172,0.6%
6,jameso_12,1682.0,1673.23,1761.35,1732.67,-69.89,804649,330243,31528,41631,16.5%
7,api_kakayou,1831.0,1750.3,1768.49,1758.02,43.8,48119,53699,21980,11918,74.8%
8,usafpl,1672.0,1666.44,1726.05,1700.58,-54.62,900223,375342,108105,121246,22.6%
9,CazzaFPL,1828.0,1793.55,1852.39,1819.69,-22.73,52652,11720,17,72,37.7%
10,PlanetosFPL,1723.0,1767.08,1826.2,1803.78,-104.98,469159,31775,383,447,6.6%
11,analytic_fpl,1799.0,1760.82,1783.71,1772.22,-1.59,111082,38848,9020,5316,49.8%
12,rogue_wee,1720.0,1761.07,1798.34,1773.36,-86.09,490054,38479,3259,4995,11%
13,mtthwmn,1770.0,1777.86,1822.71,1813.09,-63.35,208247,21141,470,126,19.1%
14,cmusson32,1709.0,1749.14,1783.77,1794.55,-95.62,571796,55795,8998,1189,8.5%
15,FPLstudent2,1770.0,1836.08,1808.25,1832.23,-83.2,208023,1370,1823,16,11.8%
16,peterhandleson,1602.0,1649.0,1698.37,1689.95,-106.01,1679522,492112,221267,164607,6.4%
17,chrishp,1801.0,1791.26,1787.55,1781.39,-13.6,105763,13170,7287,2812,42.6%
18,plfantasy,1807.0,1741.87,1736.82,1722.26,45.6,92744,67831,74425,61295,75.8%
19,FPLmeta,1790.0,1791.21,1823.83,1817.8,-49.54,135721,13206,426,82,24.5%
20,FplAuto,1735.0,1767.6,1783.59,1749.16,-59.76,391699,31116,9032,20939,20.6%
21,NourEldin_z3r0,1868.0,1830.68,1797.07,1781.18,37.85,14634,1853,3707,2816,72.1%
22,UkendtPerson45,1754.0,1819.6,1807.69,1794.45,-80.87,283244,3345,1878,1207,12.6%
