,twitter,FPL,FPL_Rank,xG,xG_Rank,IO,IO_Rank,MD,MD_Rank,Luck,Luck_Rank
0,sertalpbilal,2315.0,303626.0,2383.0,32063.0,2398.0,8000.0,2407.0,492.0,-104.47,7.1%
1,FplSimpson,2380.0,122254.0,2434.0,7355.0,2439.0,411.0,2423.0,102.0,-75.78,14.7%
2,FplStatsdan,2310.0,322125.0,2363.0,50353.0,2372.0,24428.0,2346.0,19512.0,-73.21,15.5%
3,FF_Trout,2391.0,101728.0,2453.0,3531.0,2461.0,33.0,2455.0,2.0,-88.94,10.7%
4,dilksybab,2439.0,39670.0,2519.0,109.0,2475.0,7.0,2437.0,13.0,-61.45,19.5%
5,theFPLkiwi,2262.0,538242.0,2357.0,57545.0,2416.0,2648.0,2385.0,2507.0,-147.91,1.6%
6,jameso_12,2303.0,349880.0,2315.0,122764.0,2404.0,5662.0,2375.0,4924.0,-84.89,11.8%
7,api_kakayou,2425.0,53602.0,2383.0,31578.0,2401.0,6578.0,2376.0,4529.0,14.15,57.9%
8,usafpl,2308.0,329877.0,2306.0,141943.0,2328.0,86029.0,2289.0,104530.0,-20.97,38.3%
9,CazzaFPL,2493.0,9560.0,2472.0,1545.0,2458.0,53.0,2415.0,230.0,20.86,61.6%
10,PlanetosFPL,2391.0,101728.0,2425.0,9941.0,2471.0,10.0,2439.0,8.0,-77.88,14%
11,analytic_fpl,2436.0,42367.0,2386.0,29984.0,2412.0,3599.0,2393.0,1447.0,15.32,58.6%
12,wee_rogue,2396.0,93291.0,2422.0,10961.0,2453.0,91.0,2412.0,306.0,-56.9,21.2%
13,mtthwmn,2404.0,80763.0,2400.0,20734.0,2463.0,26.0,2444.0,5.0,-55.4,21.7%
14,cmusson32,2291.0,400213.0,2379.0,35161.0,2391.0,11085.0,2402.0,705.0,-123.44,3.8%
15,FPLstudent2,2404.0,80763.0,2477.0,1218.0,2434.0,680.0,2458.0,1.0,-75.77,14.7%
16,peterhandleson,2123.0,1501801.0,2181.0,663584.0,2223.0,523798.0,2221.0,365060.0,-103.22,7.2%
17,chrishp,2435.0,43382.0,2436.0,6753.0,2419.0,2174.0,2404.0,611.0,-8.63,44.8%
18,plfantasy,2422.0,57171.0,2400.0,21062.0,2373.0,23370.0,2356.0,12914.0,22.25,62.5%
19,FPLmeta,2457.0,25976.0,2423.0,10594.0,2437.0,504.0,2421.0,121.0,6.15,53.3%
20,FplAuto,2360.0,167094.0,2403.0,19340.0,2418.0,2377.0,2373.0,5619.0,-61.5,19.5%
21,NourEldin_z3r0,2472.0,17585.0,2444.0,5041.0,2373.0,23052.0,2358.0,11929.0,56.51,79.4%
22,UkendtPerson45,2414.0,66867.0,2482.0,901.0,2426.0,1350.0,2405.0,575.0,-47.27,25.2%
23,MikkelTokvam,2440.0,38784.0,2469.0,1764.0,2434.0,641.0,2407.0,474.0,-20.63,38.6%
24,Klaudioz,2356.0,177279.0,2276.0,219277.0,2253.0,351409.0,2228.0,329296.0,84.23,89.1%
25,FantasianPL,2245.0,631586.0,2359.0,55029.0,2358.0,37869.0,2343.0,22119.0,-131.1,3%
26,rama96ab,2389.0,105286.0,2442.0,5534.0,2437.0,519.0,2417.0,198.0,-66.61,17.8%
27,FPL_LFE,2435.0,43382.0,2390.0,27077.0,2345.0,55606.0,2314.0,55682.0,62.58,81.9%
28,_jtreble,2481.0,13777.0,2484.0,823.0,2445.0,237.0,2410.0,361.0,10.94,56%
29,DanielSaetre,2410.0,72224.0,2403.0,18982.0,2396.0,8647.0,2368.0,7350.0,-2.81,48.2%
30,FBinary01,2484.0,12637.0,2394.0,24225.0,2372.0,24091.0,2347.0,18758.0,89.42,90.5%
31,FPL_Data,2261.0,543558.0,2353.0,61391.0,2335.0,73357.0,2353.0,14955.0,-108.5,6.3%
32,FPL_ElStatto,2333.0,243492.0,2310.0,133602.0,2345.0,55519.0,2321.0,45497.0,-14.28,41.9%
33,FplSigurd,2436.0,42367.0,2497.0,395.0,2455.0,72.0,2435.0,21.0,-49.98,24%
34,JoeBopara,2293.0,391734.0,2371.0,42322.0,2382.0,16121.0,2340.0,24764.0,-94.51,9.4%
35,dLincolnlawyer,2439.0,39670.0,2471.0,1599.0,2407.0,4829.0,2389.0,1928.0,-7.21,45.6%
36,FPL_Statoholic,2427.0,51497.0,2332.0,91705.0,2402.0,6361.0,2411.0,326.0,21.43,61.9%
37,FplAmateur,2451.0,30149.0,2363.0,50049.0,2383.0,15371.0,2365.0,8498.0,57.12,79.6%
38,wolacola,2453.0,28753.0,2439.0,6057.0,2416.0,2772.0,2421.0,126.0,3.87,52.1%
39,Hashtag_MEGA,2318.0,293002.0,2414.0,13896.0,2453.0,85.0,2463.0,1.0,-149.41,1.5%
40,dav_fifa,2392.0,100097.0,2242.0,340609.0,2228.0,493360.0,2207.0,446544.0,147.88,98.4%
41,MaulanaRiandi,2497.0,8412.0,2485.0,776.0,2397.0,8439.0,2354.0,14150.0,61.44,81.4%
42,Rak464,2387.0,108985.0,2369.0,44187.0,2401.0,6879.0,2370.0,6570.0,-16.5,40.7%
43,ArneBarsnes,2538.0,2089.0,2463.0,2344.0,2449.0,154.0,2433.0,23.0,65.78,83%
44,FPL_PapaSmurf,2336.0,234267.0,2274.0,226067.0,2313.0,120838.0,2301.0,78143.0,18.98,60.7%
45,gezza96,2516.0,4517.0,2463.0,2342.0,2397.0,8302.0,2370.0,6573.0,82.41,88.6%
46,Raghy78d,2508.0,5889.0,2474.0,1395.0,2458.0,43.0,2410.0,367.0,36.87,69.8%
47,pdhFPL,2354.0,182416.0,2455.0,3273.0,2430.0,887.0,2439.0,9.0,-111.1,5.9%
48,NeilRankinZA,2326.0,265936.0,2297.0,162125.0,2302.0,153182.0,2318.0,50334.0,-0.69,49.4%
49,EuanThompson,2501.0,7396.0,2520.0,100.0,2456.0,62.0,2444.0,5.0,3.8,52.1%
50,FPLrookie1,2348.0,198666.0,2388.0,28207.0,2369.0,26831.0,2321.0,45767.0,-34.4,31.4%
51,FplBudget,2432.0,46337.0,2337.0,83421.0,2375.0,21843.0,2372.0,5841.0,47.62,75.2%
52,FF_Vader,2470.0,18561.0,2438.0,6323.0,2440.0,356.0,2403.0,636.0,18.84,60.6%
53,alasdairtweets,2533.0,2505.0,2479.0,1070.0,2446.0,225.0,2421.0,129.0,60.76,81%
54,fpl_analytic,2353.0,185035.0,2306.0,141578.0,2372.0,23819.0,2365.0,8358.0,-17.54,40.2%
55,stephendeyoung,2305.0,341622.0,2312.0,129096.0,2323.0,97503.0,2301.0,79848.0,-28.14,34.6%
56,James_Ingram15,2395.0,94986.0,2455.0,3187.0,2454.0,73.0,2443.0,5.0,-79.63,13.5%
57,FPL_Kid,2427.0,51497.0,2382.0,32530.0,2374.0,22640.0,2366.0,8069.0,29.52,66.2%
58,fpl_jan,2604.0,96.0,2579.0,2.0,2465.0,18.0,2431.0,37.0,88.48,90.3%
59,FPL_Mezzala,2507.0,6096.0,2537.0,28.0,2444.0,268.0,2418.0,160.0,16.97,59.5%
60,morstats,2420.0,59529.0,2392.0,25520.0,2344.0,56915.0,2323.0,43593.0,44.12,73.5%
61,FplOpinion,2404.0,80763.0,2397.0,22696.0,2406.0,5155.0,2406.0,530.0,-22.5,37.4%
62,_NeilFPL,2470.0,18561.0,2455.0,3223.0,2421.0,1925.0,2402.0,705.0,20.15,61.2%
63,UnderstandingF8,2315.0,303626.0,2214.0,470876.0,2265.0,294229.0,2238.0,281063.0,57.35,79.6%
64,EejRoberts,2398.0,90082.0,2438.0,6458.0,2430.0,930.0,2416.0,213.0,-53.73,22.4%
65,FPL_Gents,2414.0,66867.0,2391.0,26290.0,2416.0,2645.0,2381.0,3331.0,-6.01,46.4%
66,FPLHaggis,2419.0,60758.0,2422.0,11035.0,2390.0,11360.0,2365.0,8680.0,3.01,51.6%
67,Jumpthewave,2450.0,30871.0,2475.0,1285.0,2424.0,1546.0,2393.0,1548.0,-4.43,47.3%
68,DarraghNoonan,2471.0,18063.0,2484.0,817.0,2423.0,1713.0,2401.0,769.0,11.36,56.3%
69,FPL_Chase,2473.0,17130.0,2461.0,2540.0,2440.0,396.0,2413.0,302.0,11.45,56.4%
70,jonwalker88,2384.0,114517.0,2428.0,8847.0,2454.0,72.0,2452.0,2.0,-84.76,11.9%
71,TomDavies_17,2474.0,16690.0,2457.0,3015.0,2401.0,6608.0,2381.0,3369.0,37.16,70%
72,FodWeTrust,2372.0,138828.0,2381.0,33406.0,2435.0,598.0,2416.0,213.0,-62.7,19.2%
73,FplPass,2352.0,187726.0,2332.0,92384.0,2321.0,102004.0,2312.0,59052.0,8.78,54.8%
74,prparsons,2415.0,65589.0,2423.0,10682.0,2397.0,8147.0,2362.0,9916.0,-2.69,48.3%
75,FplJeb,2372.0,138828.0,2331.0,92952.0,2429.0,1000.0,2396.0,1148.0,-37.41,29.9%
76,JosesBusDrivers,2317.0,296498.0,2434.0,7376.0,2442.0,300.0,2443.0,5.0,-146.45,1.6%
77,hidethecactus,2473.0,17130.0,2416.0,13279.0,2358.0,38724.0,2330.0,34131.0,81.74,88.4%
78,tweetsofagooner,2350.0,193107.0,2323.0,108231.0,2327.0,88267.0,2326.0,39273.0,2.86,51.5%
79,FplRafiki,2314.0,307317.0,2233.0,378819.0,2230.0,481639.0,2220.0,372035.0,67.75,83.7%
80,FPL_Audit,2488.0,11218.0,2393.0,24749.0,2406.0,5131.0,2361.0,10382.0,77.58,87.2%
81,DaveCZfpl,2308.0,329877.0,2299.0,158277.0,2356.0,40354.0,2344.0,21129.0,-47.22,25.2%
82,PaulGiurculet,2525.0,3347.0,2413.0,14509.0,2371.0,25142.0,2346.0,19943.0,125.02,96.7%
83,k_rybaczuk,2360.0,167094.0,2329.0,96947.0,2389.0,12009.0,2334.0,30233.0,-13.45,42.3%
84,CoalportGlen,2540.0,1918.0,2530.0,40.0,2450.0,123.0,2422.0,113.0,48.64,75.7%
85,FPLvariance,2350.0,193107.0,2439.0,6127.0,2409.0,4153.0,2393.0,1551.0,-87.42,11.1%
86,SchadenfreudeFF,2396.0,93291.0,2366.0,47269.0,2357.0,39878.0,2334.0,30555.0,21.16,61.8%
87,desphorin,2326.0,265936.0,2376.0,37583.0,2439.0,404.0,2428.0,63.0,-112.12,5.8%
88,arnarrafn1,2395.0,94986.0,2306.0,141174.0,2352.0,45678.0,2314.0,55597.0,48.98,75.9%
