,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,2028.0,2094.15,2120.94,2128.85,-97.49,435462,52848,6732,1129,7%
1,FplSimpson,2087.0,2147.41,2173.43,2165.05,-85.74,190238,11608,183,48,10.1%
2,FplStatsdan,2065.0,2113.52,2115.24,2101.19,-55.57,267707,32661,8456,5432,21.4%
3,FF_Trout,2111.0,2160.91,2167.94,2165.72,-64.52,125146,7185,241,47,17.3%
4,dilksybab,2166.0,2240.96,2213.89,2178.41,-55.38,38163,101,2,1,21.4%
5,theFPLkiwi,1988.0,2093.99,2143.07,2117.66,-141.12,674230,53115,1808,2068,1.4%
6,jameso_12,2007.0,2035.9,2092.21,2063.66,-67.85,554750,176373,22471,28238,16%
7,api_kakayou,2158.0,2117.26,2100.65,2086.07,46.23,46643,29887,16769,11393,74.4%
8,usafpl,2045.0,2046.57,2066.19,2036.31,-15.35,352642,146078,55332,67398,41.5%
9,CazzaFPL,2195.0,2187.51,2214.31,2178.52,-9.13,17409,2408,1,1,45%
10,PlanetosFPL,2099.0,2151.27,2172.01,2148.65,-68.99,155959,10090,191,180,15.7%
11,analytic_fpl,2139.0,2110.01,2109.28,2100.86,21.7,72094,35885,10946,5575,62%
12,wee_rogue,2102.0,2139.38,2141.77,2111.65,-39.46,147494,15858,1984,2934,29.2%
13,mtthwmn,2143.0,2149.9,2165.43,2152.46,-23.62,65621,10716,327,170,36.8%
14,cmusson32,2048.0,2110.29,2111.47,2122.44,-77.4,337774,35660,9946,1599,12.7%
15,FPLstudent2,2143.0,2214.42,2151.59,2176.35,-48.04,65784,594,1005,1,24.9%
16,peterhandleson,1874.0,1944.98,1960.61,1952.61,-89.44,1624687,626478,516185,404264,8.8%
17,chrishp,2175.0,2179.55,2131.08,2124.39,19.75,30263,3514,3982,1421,60.9%
18,plfantasy,2134.0,2103.12,2054.62,2039.58,58.01,80990,42453,76360,59749,79.5%
19,FPLmeta,2144.0,2130.88,2150.93,2140.19,-7.39,63928,19892,1042,364,46%
20,FplAuto,2066.0,2141.88,2117.57,2078.84,-57.07,264170,14485,7858,15709,20.8%
21,NourEldin_z3r0,2203.0,2186.51,2107.71,2095.25,63.18,13860,2558,11935,7528,81.7%
22,UkendtPerson45,2164.0,2218.01,2159.65,2142.8,-19.63,40355,477,464,317,38.9%
23,MikkelTokvam,2148.0,2194.46,2136.55,2116.41,-11.27,58641,1580,2750,2232,43.6%
24,Klaudioz,2081.0,2025.86,1972.68,1958.55,85.12,212067,211165,421713,367399,89.1%
25,FantasianPL,1971.0,2097.44,2049.25,2037.83,-100.73,792675,49029,87230,64663,6.1%
26,rama96ab,2125.0,2165.86,2139.88,2126.51,-29.47,96008,6054,2291,1226,34.2%
27,FPL_LFE,2152.0,2121.44,2056.38,2038.61,69.77,53925,26185,72653,62292,84.4%
28,_jtreble,2181.0,2193.83,2142.98,2116.26,19.82,25934,1683,1832,2255,61%
29,DanielSaetre,2153.0,2134.74,2141.87,2122.21,9.46,52388,18272,1966,1606,55.7%
30,FBinary01,2186.0,2127.05,2100.47,2081.3,72.7,22544,22591,16904,14267,85.4%
31,FPL_Data,2010.0,2085.04,2049.23,2056.98,-64.14,537497,65440,87230,34904,17.7%
32,FPL_ElStatto,2064.0,2031.8,2051.59,2034.46,14.01,272242,189382,82697,70957,58%
33,FplSigurd,2169.0,2228.45,2186.66,2167.19,-35.35,35481,223,40,27,30.9%
34,JoeBopara,2036.0,2104.23,2125.07,2093.08,-82.12,395872,41087,5556,8583,11.3%
35,dLincolnlawyer,2151.0,2196.64,2144.8,2136.92,-18.67,55093,1449,1515,480,39.6%
36,FPL_Statoholic,2147.0,2047.09,2098.63,2108.5,51.23,60245,145124,17939,3649,76.6%
37,FplAmateur,2160.0,2084.73,2045.36,2031.47,95.86,44081,65749,96077,76711,91.7%
38,wolacola,2176.0,2174.69,2154.75,2157.04,3.36,29805,4482,767,98,52.2%
39,Hashtag_MEGA,2065.0,2149.97,2164.37,2166.16,-105.9,266370,10690,344,44,5.2%
40,dav_fifa,2129.0,1993.7,1964.06,1948.34,149.95,89708,340777,489670,431478,98.7%
41,MaulanaRiandi,2226.0,2216.12,2137.61,2110.41,61.34,6302,555,2581,3246,81%
42,Rak464,2121.0,2095.98,2120.83,2096.86,5.73,104988,50670,6741,6997,53.6%
43,ArneBarsnes,2235.0,2175.21,2162.03,2148.23,62.7,4529,4380,393,184,81.6%
44,FPL_PapaSmurf,2063.0,2010.05,2012.12,2006.26,42.91,276228,270085,210014,142608,72.6%
45,gezza96,2216.0,2176.82,2105.43,2086.59,83.02,9103,3934,13488,11240,88.6%
46,Raghy78d,2246.0,2200.83,2186.28,2152.87,55.62,2967,1076,55,169,78.4%
47,pdhFPL,2077.0,2188.28,2153.34,2165.81,-102.56,223182,2300,873,47,5.6%
48,NeilRankinZA,2071.0,2031.04,2005.68,2016.16,42.9,244493,191593,237754,110908,72.6%
49,EuanThompson,2223.0,2236.11,2183.06,2173.19,15.35,7029,147,73,18,58.8%
50,FPLrookie1,2100.0,2138.21,2108.16,2075.96,-17.73,153637,16432,11564,17658,40.3%
51,FplBudget,2160.0,2075.22,2078.99,2076.28,72.53,44625,82062,36407,17504,85.4%
52,FF_Vader,2188.0,2161.8,2168.62,2136.26,21.89,21314,6992,219,505,62.2%
53,alasdairtweets,2238.0,2194.4,2170.35,2146.46,57.24,4111,1614,195,199,79%
54,fpl_analytic,2068.0,2028.65,2046.91,2043.46,17.58,256610,200023,93072,52426,59.7%
55,stephendeyoung,2055.0,2062.29,2026.86,2007.39,12.53,308303,108073,147994,138444,57.3%
56,James_Ingram15,2140.0,2190.03,2164.77,2154.68,-40.23,70113,2107,334,146,28.9%
57,FPL_Kid,2136.0,2105.27,2057.21,2059.98,51.56,77436,39942,71083,31473,76.7%
58,fpl_jan,2300.0,2286.31,2182.96,2150.36,83.7,247,3,73,175,88.8%
59,FPL_Mezzala,2221.0,2265.48,2196.11,2179.33,-2.69,7550,8,20,1,49.1%
60,morstats,2110.0,2090.01,2025.78,2006.28,59.23,127631,58349,151980,142278,80.3%
61,FplOpinion,2118.0,2115.88,2125.97,2124.45,-14.79,110486,30761,5323,1421,41.7%
62,_NeilFPL,2185.0,2185.86,2155.01,2143.2,13.29,23121,2653,747,298,57.6%
63,UnderstandingF8,2021.0,1950.96,1947.23,1930.35,67.62,476074,584627,620425,584922,83.7%
64,EejRoberts,2111.0,2170.02,2146.19,2136.91,-50.45,125301,5273,1404,480,23.7%
65,FPL_Gents,2136.0,2109.08,2131.41,2106.4,9.68,77560,36696,3949,4208,55.9%
66,FPLHaggis,2089.0,2134.52,2087.23,2067.72,-17.69,184880,18351,27212,24660,40.3%
67,Jumpthewave,2143.0,2175.4,2124.09,2098.82,0.07,66514,4356,5909,6402,50.4%
68,DarraghNoonan,2197.0,2220.33,2156.67,2141.16,14.18,16400,427,641,357,58.1%
69,FPL_Chase,2194.0,2181.43,2169.93,2149.39,16.62,17916,3177,200,180,59.4%
70,jonwalker88,2079.0,2140.03,2166.44,2166.11,-89.33,215754,15598,296,47,8.8%
71,TomDavies_17,2186.0,2188.2,2136.93,2124.01,26.09,22544,2318,2678,1461,64.3%
72,FodWeTrust,2095.0,2111.98,2143.37,2125.7,-42.8,166670,34266,1747,1335,27.5%
73,FplPass,2116.0,2081.96,1992.04,1987.86,85.43,114980,70700,307686,216815,89.2%
74,prparsons,2139.0,2173.8,2121.79,2094.69,-1.24,72191,4663,6545,7838,49.7%
75,FplJeb,2047.0,2055.98,2149.32,2122.07,-73.32,343571,122919,1125,1641,14%
76,JosesBusDrivers,2017.0,2131.91,2147.89,2152.69,-137.92,494911,19476,1234,169,1.5%
77,hidethecactus,2190.0,2136.02,2080.59,2067.81,85.02,20389,17464,34451,24633,89.1%
78,tweetsofagooner,2036.0,2014.48,2049.59,2051.89,-13.54,394316,253834,86201,40920,42.5%
79,FplRafiki,2064.0,2005.24,1995.82,1992.37,55.65,273266,289354,288859,198191,78.4%
80,FPL_Audit,2215.0,2140.54,2138.23,2103.69,77.03,9352,15266,2470,4964,86.9%
81,DaveCZfpl,2021.0,2035.14,2076.59,2071.64,-51.03,475531,178533,40269,21122,23.5%
82,PaulGiurculet,2255.0,2161.04,2065.16,2049.16,153.35,2108,7174,57090,44367,98.9%
83,k_rybaczuk,2061.0,2060.55,2091.84,2047.95,-16.47,282774,111566,22755,45570,40.8%
84,CoalportGlen,2235.0,2236.19,2161.27,2137.81,46.59,4557,144,400,418,74.6%
85,FPLvariance,2080.0,2157.75,2129.53,2117.32,-65.24,213520,7945,4273,2097,17%
86,SchadenfreudeFF,2148.0,2117.68,2107.53,2092.7,31.54,59467,29622,12202,8668,66.6%
87,desphorin,2009.0,2093.1,2089.82,2079.7,-89.1,542675,54333,24232,15065,8.8%
