,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,257,Ederson,43,1,60,19,3.375,False,1,10.1,3.375
1,142,James,8,2,63,19,3.439,False,1,37.0,3.439
2,256,Cancelo,43,2,68,19,3.966,False,1,38.5,3.966
3,262,Dias,43,2,61,19,3.408,False,1,26.8,3.408
4,138,Mount,8,3,77,19,3.642,False,1,23.4,3.642
5,250,Gündogan,43,3,73,19,3.5580000000000003,False,1,4.1,3.5580000000000003
6,251,De Bruyne,43,3,119,19,4.421,True,2,3.6,8.842
7,359,Son,6,3,104,19,4.167,False,1,19.0,4.167
8,263,Jesus,43,4,87,19,3.422,False,1,9.6,3.422
9,357,Kane,6,4,121,19,3.99,False,1,6.7,3.99
10,579,Ronaldo,1,4,125,19,4.409,False,1,28.8,4.409
