Pos,ID,Name,BV,SV,Team,18_xMins,19_xMins,20_xMins,21_xMins,22_xMins,23_xMins,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,3.96,4.21,3.67,3.63,4.03,3.78
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.04,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.2,6.2,Arsenal,18.60,71.40,84.45,84.45,84.45,84.45,1.19,4.68,5.23,4.99,5.36,5.28
D,6,Saliba,5.9,5.9,Arsenal,84.90,84.90,84.45,84.45,84.45,84.45,4.30,4.65,4.08,3.95,4.32,4.20
D,7,Calafiori,5.7,5.7,Arsenal,81.30,76.80,76.05,76.05,76.05,76.05,4.71,4.81,4.19,4.11,4.47,4.48
D,8,J.Timber,6.5,6.5,Arsenal,85.50,85.50,82.50,82.50,82.50,82.50,4.81,4.83,4.26,4.06,4.48,4.50
D,10,Lewis-Skelly,5.1,5.1,Arsenal,36.00,20.85,13.80,13.80,13.80,13.80,1.63,0.81,0.53,0.50,0.52,0.54
D,11,White,5.2,5.2,Arsenal,0.00,0.00,8.55,8.55,8.55,8.55,0.00,0.00,0.44,0.43,0.45,0.45
D,12,Zinchenko,4.9,4.9,Nott'm Forest,35.10,35.10,28.35,28.35,0.00,24.90,1.14,1.74,1.06,1.25,0.00,1.06
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.3,10.3,Arsenal,79.05,79.05,79.05,79.05,79.05,79.05,5.72,5.45,5.39,5.24,5.36,5.69
M,17,Ødegaard,7.8,7.8,Arsenal,73.80,73.80,73.80,73.80,73.80,73.80,4.14,3.84,3.82,3.71,3.76,4.00
M,18,Madueke,6.8,6.8,Arsenal,22.95,22.95,22.95,22.95,22.95,22.95,1.34,1.25,1.28,1.22,1.23,1.32
M,19,Martinelli,6.8,6.8,Arsenal,12.15,12.15,12.15,12.15,12.15,12.15,0.79,0.73,0.75,0.72,0.72,0.79
M,20,Trossard,6.9,6.9,Arsenal,40.50,40.50,40.50,40.50,40.50,40.50,2.42,2.26,2.26,2.15,2.20,2.35
M,21,Rice,7.2,7.2,Arsenal,79.50,79.50,79.50,79.50,79.50,79.50,4.70,4.58,4.56,4.21,4.56,4.71
M,22,Merino,5.9,5.9,Arsenal,34.50,27.60,27.60,27.60,27.60,27.60,2.02,1.52,1.54,1.47,1.53,1.61
M,24,Nørgaard,5.2,5.2,Arsenal,6.30,6.30,6.30,6.30,6.30,6.30,0.26,0.25,0.25,0.24,0.25,0.26
M,25,Nwaneri,5.1,5.1,Arsenal,10.05,10.05,10.05,10.05,10.05,10.05,0.53,0.51,0.52,0.50,0.50,0.54
M,26,Zubimendi,5.2,5.2,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,3.17,3.14,3.01,2.89,3.10,3.15
M,27,Nelson,4.8,4.8,Brentford,26.25,26.25,26.25,26.25,26.25,3.45,1.50,1.44,1.28,1.49,1.19,0.19
F,30,Havertz,7.3,7.3,Arsenal,0.00,17.85,17.85,17.85,17.85,17.85,0.00,1.05,1.07,1.01,1.02,1.12
F,31,G.Jesus,6.4,6.4,Arsenal,7.95,7.95,7.95,7.95,7.95,7.95,0.51,0.49,0.52,0.48,0.49,0.53
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,2.69,2.65,3.82,3.49,3.72,2.86
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03
D,36,Cash,4.9,4.9,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,2.54,2.38,4.10,3.48,4.18,3.00
D,37,Digne,4.5,4.5,Aston Villa,25.80,25.80,25.80,25.80,25.80,25.80,0.95,0.86,1.28,1.10,1.27,1.04
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,2.31,2.27,3.88,3.28,3.92,2.78
D,39,Maatsen,4.2,4.2,Aston Villa,76.80,76.80,76.80,76.80,76.80,76.80,2.67,2.59,4.10,3.58,4.14,3.09
D,40,Mings,4.3,4.3,Aston Villa,0.00,0.00,0.00,13.65,13.65,13.65,0.00,0.00,0.00,0.56,0.63,0.51
D,41,Pau,4.3,4.3,Aston Villa,75.15,82.95,82.95,76.65,76.65,76.65,2.19,2.46,3.78,3.23,3.73,2.78
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,9.30,9.30,9.30,9.30,9.30,9.30,0.31,0.30,0.34,0.33,0.35,0.32
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,7.3,7.3,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,3.52,2.91,4.41,3.69,4.30,3.74
M,48,Tielemans,5.9,5.9,Aston Villa,79.80,79.80,79.80,79.80,79.80,79.80,3.29,2.82,3.90,3.41,3.76,3.41
M,50,Buendía,5.3,5.3,Aston Villa,41.70,41.70,41.70,41.70,41.70,31.80,2.08,1.74,2.55,2.17,2.45,1.68
M,52,J.Ramsey,5.3,5.3,Newcastle,43.50,43.50,43.50,23.70,23.70,23.70,1.85,2.01,1.84,1.09,1.11,1.02
M,53,Malen,5.1,5.1,Aston Villa,42.90,42.90,42.90,42.90,42.90,38.70,2.21,1.86,2.78,2.35,2.67,2.12
M,54,McGinn,5.4,5.4,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,3.04,2.61,3.73,3.19,3.62,3.16
M,55,Barkley,4.8,4.8,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,75.75,75.75,75.75,75.75,2.49,2.24,2.80,2.50,2.75,2.53
M,59,Onana,4.8,4.8,Aston Villa,70.95,70.95,70.95,70.95,70.95,64.35,2.97,2.69,3.31,2.96,3.18,2.74
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.3,4.3,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.02,0.01,0.01,0.01
F,64,Watkins,8.5,8.5,Aston Villa,72.75,72.75,72.75,72.75,72.75,72.75,3.41,2.85,4.19,3.68,4.11,3.63
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,3.11,2.62,2.48,3.06,2.84,2.66
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.02,0.02,0.03,0.03,0.03
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,4.9,4.9,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,4.26,3.23,3.41,4.32,3.73,3.73
D,73,Smith,4.4,4.4,Bournemouth,45.60,45.60,45.60,45.60,45.60,45.60,1.53,1.20,1.21,1.65,1.36,1.31
D,74,Truffert,4.5,4.5,Bournemouth,85.20,85.20,85.20,85.20,85.20,85.20,3.36,2.47,2.62,3.58,2.91,2.87
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,3.9,3.9,Bournemouth,18.15,18.15,18.15,18.15,18.15,18.15,0.71,0.60,0.62,0.73,0.66,0.65
D,78,J.Araujo,3.8,3.8,Bournemouth,1.65,1.65,1.65,1.65,1.65,1.65,0.06,0.06,0.06,0.07,0.06,0.06
D,80,Soler,4.0,4.0,Bournemouth,2.85,2.85,2.85,2.85,2.85,2.85,0.13,0.11,0.11,0.13,0.12,0.12
M,81,Kluivert,7.0,7.0,Bournemouth,65.40,65.40,65.40,65.40,65.40,65.40,3.27,2.90,2.81,3.69,3.22,3.22
M,82,Semenyo,7.7,7.7,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,4.23,3.76,3.54,4.66,4.12,4.06
M,83,O.Dango,5.9,5.9,Brentford,0.00,0.00,0.00,0.00,0.00,77.85,0.00,0.00,0.00,0.00,0.00,4.50
M,84,Tavernier,5.6,5.6,Bournemouth,82.20,82.20,82.20,82.20,82.20,82.20,3.80,3.53,3.30,4.31,3.79,3.74
M,85,Adams,5.0,5.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,86,Brooks,5.0,5.0,Bournemouth,61.50,61.50,61.50,61.50,61.50,61.50,2.73,2.44,2.34,3.01,2.65,2.65
M,87,Christie,4.9,4.9,Bournemouth,29.25,29.25,29.25,29.25,29.25,29.25,1.27,1.22,1.12,1.32,1.25,1.19
M,88,Cook,4.9,4.9,Bournemouth,36.60,36.60,36.60,36.60,36.60,36.60,1.47,1.47,1.35,1.60,1.51,1.41
M,90,Scott,5.0,5.0,Bournemouth,74.70,74.70,74.70,74.70,74.70,74.70,3.21,3.11,2.84,3.47,3.22,3.06
F,97,Evanilson,7.0,7.0,Bournemouth,77.10,77.10,77.10,77.10,77.10,77.10,3.52,3.23,3.12,3.94,3.48,3.65
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,0.49,0.45,0.43,0.53,0.48,0.48
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,16.50,16.50,16.50,16.50,16.50,16.50,0.86,0.79,0.77,0.95,0.86,0.88
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,3.34,3.35,3.46,3.99,3.01,3.83
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.04,0.03,0.04
D,106,Collins,4.9,4.9,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,4.42,4.36,4.53,4.96,3.43,4.60
D,107,Lewis-Potter,4.8,4.8,Brentford,79.20,79.20,79.20,79.20,79.20,21.60,4.18,4.17,3.83,4.74,2.94,1.02
D,108,Ajer,4.4,4.4,Brentford,45.45,45.45,45.45,45.45,45.45,45.45,1.99,2.00,1.99,2.21,1.52,2.12
D,109,Henry,4.3,4.3,Brentford,9.30,9.30,9.30,9.30,9.30,9.30,0.36,0.36,0.34,0.37,0.32,0.36
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,3.36,3.39,3.34,3.89,2.47,3.67
D,111,Pinnock,4.2,4.2,Brentford,16.65,16.65,16.65,16.65,16.65,10.20,0.81,0.79,0.82,0.85,0.68,0.47
D,113,Van den Berg,4.5,4.5,Brentford,87.15,87.15,87.15,87.15,87.15,87.15,4.09,3.97,4.13,4.46,3.03,4.16
D,114,Arthur,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,116,Hickey,4.0,4.0,Brentford,58.20,58.20,58.20,58.20,58.20,58.20,2.41,2.43,2.39,2.80,1.80,2.66
M,119,Mbeumo,8.1,8.1,Man Utd,0.00,0.00,0.00,0.00,0.00,85.35,0.00,0.00,0.00,0.00,0.00,3.44
M,120,Schade,7.0,7.0,Brentford,82.95,82.95,82.95,82.95,82.95,83.55,4.64,4.51,3.93,4.74,3.59,4.33
M,121,Damsgaard,5.8,5.8,Brentford,43.80,43.80,43.80,43.80,43.80,43.80,2.30,2.23,2.03,2.29,1.90,2.22
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,79.05,79.05,79.05,79.05,79.05,79.05,2.96,2.95,2.81,2.91,2.67,2.99
M,125,Janelt,4.9,4.9,Brentford,42.00,42.00,42.00,42.00,42.00,42.00,1.67,1.69,1.63,1.67,1.56,1.73
M,126,Jensen,4.9,4.9,Brentford,42.00,42.00,42.00,42.00,42.00,42.00,1.94,1.94,1.78,1.94,1.68,1.90
M,127,Nunes,4.9,4.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,128,Onyeka,4.8,4.8,Brentford,0.00,0.00,0.00,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00,0.41
M,129,Yarmoliuk,5.0,5.0,Brentford,78.45,78.45,78.45,78.45,78.45,78.45,3.02,3.11,2.97,2.92,2.86,3.12
M,130,Donovan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,131,Konak,4.3,4.3,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,132,Maghoma,4.5,4.5,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,133,Peart-Harris,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,135,Wissa,7.3,7.3,Newcastle,24.60,24.60,24.60,24.60,24.60,24.60,1.40,1.56,1.46,1.53,1.57,1.47
F,136,Thiago,7.1,7.1,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,4.59,4.33,3.82,4.52,3.46,4.30
F,137,Morgan,4.4,4.4,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.04,0.03,0.04,0.04
G,139,Verbruggen,4.4,4.4,Brighton,89.10,89.10,89.10,89.10,89.10,89.10,2.09,3.20,4.00,2.24,3.11,3.17
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,40.05,5.40,5.40,5.40,5.40,5.40,1.17,0.21,0.24,0.17,0.22,0.21
D,144,Coppola,4.2,4.2,Brighton,9.90,3.30,3.30,3.30,3.30,3.30,0.33,0.13,0.14,0.10,0.13,0.12
D,145,De Cuyper,4.3,4.3,Brighton,25.50,25.50,25.50,25.50,25.50,25.50,0.80,1.14,1.39,0.82,1.18,1.07
D,146,Dunk,4.5,4.5,Brighton,85.20,85.20,85.20,85.20,85.20,85.20,2.08,3.29,4.27,1.91,3.37,3.13
D,148,F.Kadıoğlu,4.4,4.4,Brighton,78.45,78.45,78.45,78.45,78.45,78.45,1.85,3.13,4.25,1.83,3.21,2.97
D,149,Igor,4.5,4.5,West Ham,11.10,0.00,11.10,11.10,11.10,11.10,0.42,0.00,0.43,0.42,0.39,0.43
D,151,Van Hecke,4.6,4.6,Brighton,45.45,86.70,86.70,86.70,86.70,86.70,1.35,3.53,4.53,2.18,3.71,3.39
D,152,Veltman,4.3,4.3,Brighton,16.80,16.80,16.80,16.80,16.80,16.80,0.54,0.67,0.79,0.51,0.69,0.65
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.9,3.9,Brighton,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
