Pos,ID,Name,BV,SV,Team,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,4_goals,5_goals,6_goals,7_goals,8_goals,9_goals,10_goals,11_goals,12_goals,13_goals,14_goals,15_goals,4_assists,5_assists,6_assists,7_assists,8_assists,9_assists,10_assists,11_assists,12_assists,13_assists,14_assists,15_assists,4_CS,5_CS,6_CS,7_CS,8_CS,9_CS,10_CS,11_CS,12_CS,13_CS,14_CS,15_CS,4_bonus,5_bonus,6_bonus,7_bonus,8_bonus,9_bonus,10_bonus,11_bonus,12_bonus,13_bonus,14_bonus,15_bonus,4_cbit,5_cbit,6_cbit,7_cbit,8_cbit,9_cbit,10_cbit,11_cbit,12_cbit,13_cbit,14_cbit,15_cbit,4_eo,5_eo,6_eo,7_eo,8_eo,9_eo,10_eo,11_eo,12_eo,13_eo,14_eo,15_eo
G,1,Raya,5.5,5.5,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.20,3.53,3.29,4.31,3.77,4.25,4.30,4.13,3.77,3.19,4.20,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.00,0.45,0.30,0.30,0.51,0.39,0.47,0.52,0.49,0.38,0.27,0.47,0.34,0.21,0.21,0.13,0.18,0.20,0.25,0.20,0.17,0.16,0.14,0.20,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0.07,0.07,0.08,0.08,0.09,0.09,0.06,0.10,0.08
G,2,Arrizabalaga,4.4,4.4,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,3,Hein,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.1,6.1,Arsenal,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,4.73,3.74,3.82,5.01,4.17,4.74,4.98,4.81,4.32,3.49,4.77,3.94,0.10,0.08,0.07,0.11,0.08,0.10,0.10,0.10,0.10,0.07,0.10,0.08,0.06,0.04,0.04,0.07,0.04,0.06,0.06,0.06,0.06,0.04,0.06,0.04,0.45,0.30,0.30,0.50,0.39,0.47,0.51,0.49,0.38,0.27,0.47,0.34,0.36,0.26,0.25,0.38,0.30,0.36,0.38,0.35,0.23,0.21,0.37,0.29,6,9,17,2,8,6,3,1,12,12,4,9,0.14,0.16,0.17,0.23,0.24,0.27,0.32,0.34,0.34,0.29,0.32,0.31
D,6,Saliba,6.1,6.1,Arsenal,27.15,54.15,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,87.45,1.42,2.24,3.62,4.70,3.99,4.47,4.81,4.57,4.06,3.30,4.53,3.82,0.02,0.03,0.04,0.07,0.05,0.06,0.07,0.07,0.06,0.04,0.07,0.05,0.01,0.02,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.14,0.19,0.30,0.50,0.39,0.47,0.51,0.49,0.38,0.27,0.47,0.34,0.12,0.15,0.27,0.41,0.33,0.38,0.46,0.37,0.26,0.24,0.39,0.37,2,5,16,2,7,5,2,1,11,12,3,9,0.00,0.00,0.00,0.02,0.03,0.06,0.10,0.11,0.12,0.06,0.11,0.10
D,7,Calafiori,5.7,5.7,Arsenal,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,67.50,3.65,2.93,2.89,3.94,3.24,3.65,3.92,3.83,3.43,2.67,3.79,3.06,0.05,0.04,0.04,0.06,0.04,0.05,0.05,0.05,0.05,0.03,0.05,0.04,0.09,0.07,0.07,0.10,0.07,0.09,0.09,0.09,0.09,0.06,0.10,0.07,0.40,0.28,0.28,0.44,0.35,0.41,0.45,0.43,0.34,0.25,0.41,0.31,0.11,0.11,0.07,0.15,0.10,0.13,0.16,0.14,0.15,0.07,0.18,0.10,0,1,3,0,1,0,0,1,2,2,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,8,J.Timber,5.7,5.7,Arsenal,69.00,64.80,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,52.50,3.50,2.61,2.19,2.83,2.38,2.67,2.84,2.77,2.46,1.99,2.71,2.29,0.04,0.03,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.09,0.06,0.05,0.07,0.05,0.06,0.06,0.06,0.06,0.04,0.07,0.05,0.38,0.25,0.19,0.32,0.25,0.29,0.32,0.31,0.24,0.17,0.29,0.22,0.21,0.09,0.08,0.15,0.12,0.15,0.16,0.16,0.13,0.05,0.15,0.12,0,5,9,0,2,0,1,1,2,7,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,9,Kiwior,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,10,Lewis-Skelly,5.4,5.4,Arsenal,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,18.45,0.85,0.73,0.72,0.88,0.77,0.83,0.88,0.87,0.79,0.69,0.86,0.74,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.05,0.03,0.03,0.05,0.04,0.05,0.06,0.05,0.04,0.03,0.05,0.04,0.03,0.02,0.02,0.04,0.03,0.03,0.04,0.04,0.02,0.02,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
