Pos,ID,Name,BV,SV,Team,35_xMins,36_xMins,37_xMins,38_xMins,35_Pts,36_Pts,37_Pts,38_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,3.76,3.34,4.41,3.86
G,2,Arrizabalaga,4.0,4.0,Arsenal,1.20,1.20,1.20,1.20,0.05,0.04,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.2,7.2,Arsenal,85.05,85.05,85.05,85.05,4.96,4.61,6.06,5.30
D,6,Saliba,6.1,6.1,Arsenal,85.05,85.05,85.05,85.05,4.06,3.63,4.89,4.24
D,7,Calafiori,5.6,5.6,Arsenal,56.40,39.30,39.30,39.30,3.18,1.97,2.59,2.15
D,8,J.Timber,6.1,6.1,Arsenal,0.00,78.15,78.15,78.15,0.00,3.91,5.38,4.30
D,10,Lewis-Skelly,5.0,5.0,Arsenal,9.45,9.45,9.45,9.45,0.36,0.35,0.41,0.34
D,11,White,5.1,5.1,Arsenal,43.50,9.45,9.45,9.45,2.38,0.46,0.57,0.50
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,61.50,69.00,69.00,69.00,4.20,4.55,5.69,4.33
M,17,Ødegaard,7.8,7.8,Arsenal,56.40,63.30,63.30,63.30,3.05,3.17,3.82,3.10
M,18,Madueke,6.8,6.8,Arsenal,42.30,32.55,32.55,32.55,2.46,1.84,2.23,1.79
M,19,Martinelli,6.8,6.8,Arsenal,30.15,33.45,33.45,33.45,1.85,1.96,2.42,1.89
M,20,Trossard,6.5,6.5,Arsenal,60.60,23.55,23.55,23.55,3.60,1.37,1.68,1.33
M,21,Rice,7.2,7.2,Arsenal,84.00,84.00,84.00,84.00,4.56,4.47,5.41,4.42
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,6.00,6.00,6.00,6.00,0.22,0.23,0.25,0.24
M,26,Zubimendi,5.0,5.0,Arsenal,80.40,80.40,80.40,80.40,3.19,3.13,3.71,3.18
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,0.25,0.19,0.23,0.21
F,30,Havertz,7.3,7.3,Arsenal,0.00,48.75,48.75,48.75,0.00,2.51,3.10,2.34
F,31,G.Jesus,6.4,6.4,Arsenal,9.75,9.75,9.75,9.75,0.57,0.55,0.67,0.51
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,3.31,3.76,2.95,2.48
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.02
D,36,Cash,4.7,4.7,Aston Villa,82.50,82.50,82.50,82.50,3.44,4.19,2.98,1.94
D,37,Digne,4.5,4.5,Aston Villa,23.10,44.25,44.25,44.25,1.10,2.50,1.85,1.32
D,38,Konsa,4.4,4.4,Aston Villa,80.55,80.55,80.55,80.55,2.94,3.52,2.54,1.68
D,39,Maatsen,4.2,4.2,Aston Villa,73.50,53.70,53.70,53.70,3.43,2.93,2.23,1.55
D,40,Mings,4.3,4.3,Aston Villa,54.00,54.00,54.00,54.00,2.12,2.48,1.89,1.31
D,41,Pau,4.3,4.3,Aston Villa,37.50,37.50,37.50,37.50,1.47,1.69,1.29,0.92
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,47.25,15.60,15.60,15.60,1.92,0.62,0.53,0.46
M,47,Rogers,7.5,7.5,Aston Villa,87.00,87.00,87.00,87.00,4.26,4.82,3.97,3.15
