Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
G,1,Raya,6.2,6.2,Arsenal,67.50,2.74
G,2,Arrizabalaga,4.0,4.0,Arsenal,22.80,0.87
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00
D,5,Gabriel,7.3,7.3,Arsenal,59.55,3.27
D,6,Saliba,6.3,6.3,Arsenal,55.35,2.39
D,7,Calafiori,5.6,5.6,Arsenal,22.20,1.02
D,8,J.Timber,6.0,6.0,Arsenal,6.00,0.25
D,10,Lewis-Skelly,5.0,5.0,Arsenal,56.70,2.37
D,11,White,5.1,5.1,Arsenal,0.00,0.00
D,13,Clarke,3.7,3.7,Arsenal,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,37.80,2.42
M,17,Ødegaard,7.8,7.8,Arsenal,41.40,2.08
M,18,Madueke,6.8,6.8,Arsenal,66.90,3.58
M,19,Martinelli,6.8,6.8,Arsenal,66.90,3.65
M,20,Trossard,6.6,6.6,Arsenal,30.30,1.68
M,21,Rice,7.2,7.2,Arsenal,29.25,1.54
M,22,Merino,5.3,5.3,Arsenal,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,52.80,2.19
M,26,Zubimendi,4.9,4.9,Arsenal,62.40,2.44
M,27,Nelson,4.8,4.8,Brentford,7.50,0.37
F,30,Havertz,7.3,7.3,Arsenal,33.45,1.72
F,31,G.Jesus,6.4,6.4,Arsenal,28.50,1.40
G,32,Martinez,5.0,5.0,Aston Villa,4.50,0.11
G,33,M.Bizot,4.2,4.2,Aston Villa,85.50,2.13
D,36,Cash,4.6,4.6,Aston Villa,30.15,0.86
D,37,Digne,4.5,4.5,Aston Villa,16.05,0.55
D,38,Konsa,4.4,4.4,Aston Villa,32.85,0.81
D,39,Maatsen,4.2,4.2,Aston Villa,80.10,2.15
D,40,Mings,4.3,4.3,Aston Villa,74.55,1.64
D,41,Pau,4.3,4.3,Aston Villa,29.10,0.73
D,42,A.García,3.9,3.9,Aston Villa,60.15,1.54
D,44,Bogarde,4.0,4.0,Aston Villa,72.00,1.67
M,47,Rogers,7.3,7.3,Aston Villa,28.35,1.29
M,48,Tielemans,5.9,5.9,Aston Villa,36.15,1.55
M,49,Bailey,5.5,5.5,Aston Villa,48.00,2.02
M,50,Buendía,5.3,5.3,Aston Villa,37.05,1.88
M,52,J.Ramsey,5.3,5.3,Newcastle,73.80,3.11
M,54,McGinn,5.3,5.3,Aston Villa,36.00,1.42
M,55,Barkley,4.8,4.8,Aston Villa,64.80,2.52
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,36.00,1.35
F,64,Watkins,8.7,8.7,Aston Villa,29.70,1.54
G,67,Petrović,4.6,4.6,Bournemouth,89.10,3.27
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00
D,72,Senesi,5.2,5.2,Bournemouth,87.45,4.33
D,73,Smith,4.4,4.4,Bournemouth,84.75,2.95
D,74,Truffert,4.8,4.8,Bournemouth,87.45,3.81
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00
D,77,Hill,4.2,4.2,Bournemouth,87.45,4.26
D,80,Soler,3.9,3.9,Bournemouth,0.00,0.00
M,81,Kluivert,6.9,6.9,Bournemouth,18.00,1.13
M,82,Semenyo,8.0,8.0,Man City,65.70,4.68
M,83,O.Dango,5.6,5.6,Brentford,74.70,3.57
M,84,Tavernier,5.3,5.3,Bournemouth,80.40,4.48
M,85,Adams,4.9,4.9,Bournemouth,86.10,3.46
M,86,Brooks,5.0,5.0,Bournemouth,18.15,0.99
