Pos,ID,Name,BV,SV,Team,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,21_xMins,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,4.64,3.93,3.86,4.02,3.72,3.51
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,0.06,0.05,0.05,0.05,0.05,0.04
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.2,6.2,Arsenal,0.00,9.45,27.15,71.40,84.45,84.45,0.00,0.56,1.54,4.17,4.74,4.35
D,6,Saliba,6.0,6.0,Arsenal,27.45,71.40,84.45,84.45,84.45,84.45,1.64,3.66,4.03,4.24,3.98,3.64
D,7,Calafiori,5.7,5.7,Arsenal,0.00,76.80,76.80,74.70,74.70,74.70,0.00,4.17,4.22,4.19,3.88,3.66
D,8,J.Timber,6.5,6.5,Arsenal,67.95,84.00,84.00,82.50,82.50,82.50,4.17,4.10,4.14,4.16,3.82,3.61
D,10,Lewis-Skelly,5.1,5.1,Arsenal,86.10,14.85,13.50,13.50,13.50,13.50,4.82,0.59,0.53,0.52,0.51,0.50
D,11,White,5.4,5.4,Arsenal,82.65,31.20,23.10,13.35,8.55,8.55,5.20,1.67,1.21,0.70,0.42,0.40
D,12,Zinchenko,4.9,4.9,Nott'm Forest,6.30,28.35,28.35,28.35,28.35,28.35,0.27,1.15,0.93,1.27,1.08,1.22
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.2,10.2,Arsenal,79.05,79.05,79.05,79.05,79.05,79.05,7.24,5.22,6.02,5.69,5.55,5.41
M,17,Ødegaard,7.8,7.8,Arsenal,70.20,70.20,70.20,70.20,70.20,70.20,4.80,3.57,3.93,3.76,3.68,3.65
M,18,Madueke,6.8,6.8,Arsenal,19.65,19.65,19.65,19.65,19.65,19.65,1.36,1.02,1.13,1.07,1.07,1.06
M,19,Martinelli,6.8,6.8,Arsenal,12.15,12.15,12.15,12.15,12.15,12.15,0.91,0.69,0.77,0.73,0.72,0.72
M,20,Trossard,6.9,6.9,Arsenal,32.10,32.10,32.10,32.10,32.10,32.10,2.19,1.66,1.80,1.78,1.71,1.69
M,21,Rice,7.1,7.1,Arsenal,69.60,79.50,79.50,79.50,79.50,79.50,4.48,4.18,4.50,4.42,4.27,4.11
M,22,Merino,6.1,6.1,Arsenal,39.00,27.30,27.30,27.30,27.30,27.30,2.80,1.42,1.52,1.48,1.43,1.42
M,24,Nørgaard,5.2,5.2,Arsenal,26.85,5.70,5.70,5.70,5.70,5.70,1.26,0.23,0.23,0.23,0.23,0.23
M,25,Nwaneri,5.1,5.1,Arsenal,9.45,9.45,9.45,9.45,9.45,9.45,0.58,0.46,0.50,0.48,0.47,0.47
M,26,Zubimendi,5.3,5.3,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,3.37,2.99,3.12,3.12,2.97,2.85
M,27,Nelson,4.8,4.8,Brentford,35.40,35.40,35.40,35.40,35.40,35.40,1.98,2.01,2.02,1.98,1.77,2.06
F,30,Havertz,7.3,7.3,Arsenal,0.00,20.25,20.25,20.25,20.25,20.25,0.00,1.12,1.22,1.18,1.17,1.17
F,31,G.Jesus,6.4,6.4,Arsenal,9.15,9.15,9.15,9.15,9.15,9.15,0.69,0.52,0.58,0.57,0.55,0.55
G,32,Martinez,5.1,5.1,Aston Villa,81.00,89.10,89.10,89.10,89.10,89.10,3.24,3.34,3.14,2.78,3.87,3.37
G,33,M.Bizot,4.2,4.2,Aston Villa,9.00,0.90,0.90,0.90,0.90,0.90,0.33,0.03,0.03,0.03,0.04,0.03
D,36,Cash,4.9,4.9,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,3.68,3.47,2.67,2.47,3.94,3.16
D,37,Digne,4.5,4.5,Aston Villa,44.70,44.70,44.70,44.70,44.70,44.70,2.19,2.09,1.65,1.48,2.32,1.87
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,3.49,3.17,2.52,2.35,3.72,3.03
D,39,Maatsen,4.2,4.2,Aston Villa,57.45,57.45,57.45,57.45,57.45,57.45,2.77,2.66,2.08,1.91,2.95,2.39
D,40,Mings,4.3,4.3,Aston Villa,0.00,0.00,0.00,0.00,13.65,13.65,0.00,0.00,0.00,0.00,0.64,0.57
D,41,Pau,4.3,4.3,Aston Villa,69.90,82.95,82.95,82.95,76.65,76.65,2.90,3.17,2.57,2.47,3.47,2.96
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,9.30,9.30,9.30,9.30,9.30,9.30,0.33,0.34,0.31,0.30,0.34,0.32
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,7.0,7.0,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,4.04,4.10,3.27,2.90,4.09,3.42
M,48,Tielemans,5.9,5.9,Aston Villa,78.45,78.45,78.45,78.45,78.45,78.45,3.91,3.93,3.36,2.91,3.85,3.34
M,50,Buendía,5.3,5.3,Aston Villa,38.40,56.40,49.50,49.50,49.50,49.50,2.22,3.37,2.39,2.12,2.93,2.49
M,52,J.Ramsey,5.3,5.3,Newcastle,12.90,12.90,12.90,12.90,12.90,12.90,0.55,0.58,0.56,0.63,0.57,0.62
M,53,Malen,5.1,5.1,Aston Villa,47.70,56.40,49.50,49.50,49.50,49.50,2.93,3.55,2.48,2.21,3.08,2.60
M,54,McGinn,5.4,5.4,Aston Villa,75.45,75.45,75.45,75.45,75.45,75.45,3.54,3.55,2.98,2.62,3.59,3.08
M,55,Barkley,4.8,4.8,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,75.75,75.75,75.75,75.75,2.61,2.73,2.51,2.30,2.79,2.46
M,59,Onana,4.8,4.8,Aston Villa,41.40,58.80,51.15,51.15,51.15,51.15,1.76,2.62,2.09,1.88,2.33,2.05
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.3,4.3,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01
F,64,Watkins,8.5,8.5,Aston Villa,69.90,69.90,69.90,69.90,69.90,69.90,3.98,3.94,3.21,2.85,3.97,3.33
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,2.66,3.86,3.04,2.73,2.72,3.24
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.03,0.03,0.03,0.03
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.0,5.0,Bournemouth,75.15,85.95,85.95,85.95,85.95,85.95,3.13,4.93,4.01,3.18,3.49,4.26
D,73,Smith,4.4,4.4,Bournemouth,46.20,35.25,35.25,35.25,28.50,28.50,1.33,1.59,1.19,0.99,0.87,1.06
D,74,Truffert,4.5,4.5,Bournemouth,85.20,85.20,85.20,85.20,85.20,85.20,2.77,4.25,3.14,2.40,2.65,3.48
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,3.9,3.9,Bournemouth,32.25,18.15,18.15,18.15,18.15,18.15,1.17,0.82,0.70,0.61,0.64,0.74
D,78,J.Araujo,3.8,3.8,Bournemouth,1.65,1.65,1.65,1.65,1.65,1.65,0.06,0.07,0.06,0.06,0.06,0.07
D,80,Soler,4.0,4.0,Bournemouth,2.85,2.85,2.85,2.85,2.85,2.85,0.12,0.14,0.13,0.11,0.12,0.13
M,81,Kluivert,7.0,7.0,Bournemouth,49.50,53.25,53.25,53.25,53.25,53.25,2.50,3.54,2.65,2.44,2.36,3.03
M,82,Semenyo,7.6,7.6,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,4.29,5.67,4.20,3.93,3.69,4.81
M,83,O.Dango,6.1,6.1,Brentford,82.50,0.00,0.00,0.00,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.00
M,84,Tavernier,5.5,5.5,Bournemouth,82.20,83.55,83.55,83.55,83.55,83.55,3.84,4.86,3.83,3.62,3.35,4.30
M,85,Adams,5.0,5.0,Bournemouth,86.25,83.40,83.40,83.40,83.40,83.40,3.18,3.27,3.06,3.05,2.79,3.24
M,86,Brooks,5.0,5.0,Bournemouth,42.90,52.80,52.80,52.80,52.80,52.80,1.85,3.00,2.28,2.14,2.04,2.58
M,87,Christie,4.9,4.9,Bournemouth,0.00,0.00,0.00,0.00,22.35,22.35,0.00,0.00,0.00,0.00,0.88,1.02
M,88,Cook,4.9,4.9,Bournemouth,0.00,40.50,40.50,40.50,32.85,32.85,0.00,1.86,1.69,1.66,1.25,1.45
M,90,Scott,5.0,5.0,Bournemouth,81.30,73.35,73.35,73.35,69.30,69.30,3.48,3.53,3.11,3.04,2.67,3.20
F,97,Evanilson,7.0,7.0,Bournemouth,77.85,77.85,77.85,77.85,77.85,77.85,3.60,4.50,3.57,3.33,3.19,3.94
F,98,Enes Ünal,5.4,5.4,Bournemouth,5.40,5.40,5.40,5.40,5.40,5.40,0.28,0.36,0.29,0.27,0.26,0.32
F,100,Kroupi.Jr,4.6,4.6,Bournemouth,29.85,29.85,29.85,29.85,29.85,29.85,1.47,1.86,1.47,1.37,1.34,1.61
G,101,Kelleher,4.5,4.5,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,3.73,4.17,3.72,3.79,3.53,4.12
G,102,Balcombe,4.0,4.0,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,103,Cox,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.04,0.03,0.04,0.03,0.04
D,106,Collins,4.9,4.9,Brentford,88.95,88.95,88.95,88.95,88.95,88.95,4.41,4.63,4.50,4.46,4.34,4.72
D,107,Lewis-Potter,4.8,4.8,Brentford,61.50,61.50,61.50,61.50,61.50,61.50,3.47,3.59,3.43,3.40,3.05,3.77
D,108,Ajer,4.4,4.4,Brentford,61.35,61.35,61.35,61.35,61.35,61.35,2.77,2.85,2.71,2.75,2.54,2.99
D,109,Henry,4.3,4.3,Brentford,9.30,9.30,9.30,9.30,9.30,9.30,0.37,0.37,0.37,0.36,0.35,0.37
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,3.59,3.72,3.48,3.55,3.26,3.92
D,111,Pinnock,4.2,4.2,Brentford,27.45,27.45,27.45,27.45,27.45,27.45,1.38,1.45,1.40,1.40,1.37,1.44
D,113,Van den Berg,4.5,4.5,Brentford,87.15,87.15,87.15,87.15,87.15,87.15,3.91,4.11,3.96,3.94,3.78,4.18
D,114,Arthur,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,116,Hickey,4.0,4.0,Brentford,43.20,43.20,43.20,43.20,43.20,43.20,1.94,2.03,1.89,1.92,1.78,2.11
M,119,Mbeumo,8.3,8.3,Man Utd,81.00,0.00,0.00,0.00,0.00,0.00,5.09,0.00,0.00,0.00,0.00,0.00
M,120,Schade,7.0,7.0,Brentford,0.00,82.50,82.50,82.50,82.50,82.50,0.00,4.54,4.73,4.58,3.98,4.77
M,121,Damsgaard,5.8,5.8,Brentford,82.50,82.50,82.50,82.50,82.50,82.50,4.20,4.14,4.22,4.20,3.81,4.25
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
