,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,112,Pope,90,1,54,32,3.694,False,1,1,4.1,3.694
1,39,Targett,4,2,47,32,3.363,False,1,1,2.4,3.363
2,58,Burn,4,2,44,32,3.3569999999999998,False,1,1,0.6,3.3569999999999998
3,414,Dawson,21,2,49,32,3.5460000000000003,False,1,1,1.1,3.5460000000000003
4,154,Zaha,31,3,68,32,4.05,False,1,1,4.9,4.05
5,210,Tielemans,13,3,64,32,3.687,False,1,1,3.6,3.687
6,215,Barnes,13,3,66,32,4.207,True,2,1,4.0,8.414
7,399,Sarr,57,3,57,32,4.13,False,1,1,2.7,4.13
8,485,Sancho,1,3,89,32,4.079,False,1,1,2.9,4.079
9,109,Wood,4,4,67,32,4.058,False,1,1,2.2,4.058
10,177,Calvert-Lewin,11,4,77,32,3.551,False,1,1,3.7,3.551
11,408,Fabianski,21,1,50,32,3.639,False,0,0,2.8,0.0
12,585,Roberts,90,2,44,32,3.322,False,0,0,0.5,0.0
13,590,Tomiyasu,3,2,45,32,3.313,False,0,0,1.8,0.0
14,213,Iheanacho,13,4,70,32,3.5439999999999996,False,0,0,2.8,0.0
