index,ID,Name,Team,Pos,1_Val,1_Pts,1_xMins,1_rp,1_rmin,1_games,2_Val,2_Pts,2_xMins,2_rp,2_rmin,2_games,3_Val,3_Pts,3_xMins,3_rp,3_rmin,3_games,4_Val,4_Pts,4_xMins,4_rp,4_rmin,4_games,5_Val,5_Pts,5_xMins,5_rp,5_rmin,5_games,6_Val,6_Pts,6_xMins,6_rp,6_rmin,6_games,7_Val,7_Pts,7_xMins,7_rp,7_rmin,7_games,8_Val,8_Pts,8_xMins,8_rp,8_rmin,8_games,9_Val,9_Pts,9_xMins,9_rp,9_rmin,9_games,10_Val,10_Pts,10_xMins,10_rp,10_rmin,10_games,11_Val,11_Pts,11_xMins,11_rp,11_rmin,11_games,12_Val,12_Pts,12_xMins,12_rp,12_rmin,12_games,13_Val,13_Pts,13_xMins,13_rp,13_rmin,13_games,14_Val,14_Pts,14_xMins,14_rp,14_rmin,14_games,15_Val,15_Pts,15_xMins,15_rp,15_rmin,15_games,16_Val,16_Pts,16_xMins,16_rp,16_rmin,16_games,17_Val,17_Pts,17_xMins,17_rp,17_rmin,17_games,18_Val,18_Pts,18_xMins,18_rp,18_rmin,18_games,19_Val,19_Pts,19_xMins,19_rp,19_rmin,19_games,20_Val,20_Pts,20_xMins,20_rp,20_rmin,20_games,21_Val,21_Pts,21_xMins,21_rp,21_rmin,21_games,22_Val,22_Pts,22_xMins,22_rp,22_rmin,22_games,23_Val,23_Pts,23_xMins,23_rp,23_rmin,23_games,24_Val,24_Pts,24_xMins,24_rp,24_rmin,24_games,25_Val,25_Pts,25_xMins,25_rp,25_rmin,25_games,26_Val,26_Pts,26_xMins,26_rp,26_rmin,26_games,27_Val,27_Pts,27_xMins,27_rp,27_rmin,27_games,28_Val,28_Pts,28_xMins,28_rp,28_rmin,28_games,29_Val,29_Pts,29_xMins,29_rp,29_rmin,29_games,30_Val,30_Pts,30_xMins,30_rp,30_rmin,30_games,31_Val,31_Pts,31_xMins,31_rp,31_rmin,31_games,32_Val,32_Pts,32_xMins,32_rp,32_rmin,32_games,33_Val,33_Pts,33_xMins,33_rp,33_rmin,33_games,34_Val,34_Pts,34_xMins,34_rp,34_rmin,34_games,35_Val,35_Pts,35_xMins,35_rp,35_rmin,35_games
1,1.0,Raya,Arsenal,G,5.5,3.36,89.1,10.0,90.0,1.0,5.5,4.25,89.1,6.0,90.0,1.0,5.5,2.82,89.1,2.0,90.0,1.0,5.5,4.2,89.1,6.0,90.0,1.0,5.5,3.51,89.1,2.0,90.0,1.0,5.6,3.43,89.1,2.0,90.0,1.0,5.6,4.38,89.1,6.0,90.0,1.0,5.7,4.35,89.1,6.0,90.0,1.0,5.7,4.19,89.1,6.0,90.0,1.0,5.8,4.57,89.1,6.0,90.0,1.0,5.8,4.5,89.1,1.0,90.0,1.0,5.9,4.23,89.1,2.0,90.0,1.0,5.9,3.57,89.1,3.0,90.0,1.0,5.9,4.2,89.1,6.0,90.0,1.0,5.9,3.65,89.1,2.0,90.0,1.0,6.0,4.64,89.1,2.0,90.0,1.0,6.0,4.14,89.1,7.0,90.0,1.0,6.0,3.96,89.1,2.0,90.0,1.0,6.0,3.98,89.1,2.0,90.0,1.0,6.0,3.98,89.1,1.0,90.0,1.0,6.0,3.8,89.1,6.0,90.0,1.0,5.9,4.19,89.1,6.0,90.0,1.0,5.9,3.7,89.1,1.0,90.0,1.0,5.9,4.09,89.1,6.0,90.0,1.0,5.9,4.61,89.1,7.0,90.0,1.0,5.9,8.17,178.2,3.0,90.0,2.0,6.0,3.78,89.1,3.0,90.0,1.0,6.0,3.64,89.1,3.0,90.0,1.0,6.0,4.09,89.1,7.0,90.0,1.0,6.0,4.19,89.1,7.0,90.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.64,89.1,1.0,90.0,1.0,6.0,2.82,89.1,1.0,90.0,1.0,6.0,3.64,89.1,10.0,90.0,1.0,6.0,3.76,89.1,0.0,0.0,0.0
2,2.0,Arrizabalaga,Arsenal,G,4.5,0.04,1.2,0.0,0.0,0.0,4.5,0.05,1.2,0.0,0.0,0.0,4.4,0.04,1.2,0.0,0.0,0.0,4.4,0.05,1.2,0.0,0.0,0.0,4.4,0.04,1.2,0.0,0.0,0.0,4.3,0.04,1.2,0.0,0.0,0.0,4.3,0.05,1.2,0.0,0.0,0.0,4.3,0.05,1.2,0.0,0.0,0.0,4.3,0.05,1.2,0.0,0.0,0.0,4.2,0.05,1.2,0.0,0.0,0.0,4.2,0.05,1.2,0.0,0.0,0.0,4.2,0.05,1.2,0.0,0.0,0.0,4.2,0.04,1.2,0.0,0.0,0.0,4.2,0.05,1.2,0.0,0.0,0.0,4.2,0.05,1.2,0.0,0.0,0.0,4.1,0.06,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.06,1.2,0.0,0.0,0.0,4.1,0.1,2.4,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.04,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.1,0.05,1.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.04,1.2,0.0,0.0,0.0,4.0,0.04,1.2,0.0,0.0,0.0,4.0,0.05,1.2,0.0,0.0,0.0,4.0,0.05,1.2,0.0,0.0,0.0
3,,,,,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.0,Setford,Arsenal,G,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0
5,5.0,Gabriel,Arsenal,D,6.0,4.01,87.45,6.0,90.0,1.0,6.0,5.2,87.45,6.0,90.0,1.0,6.1,3.22,87.45,2.0,90.0,1.0,6.1,4.73,87.45,9.0,90.0,1.0,6.1,3.82,87.45,2.0,90.0,1.0,6.1,3.93,87.45,13.0,90.0,1.0,6.2,4.51,77.55,9.0,90.0,1.0,6.3,4.59,84.45,12.0,90.0,1.0,6.4,2.67,44.55,9.0,90.0,1.0,6.5,5.07,84.45,12.0,90.0,1.0,6.6,5.73,84.45,1.0,90.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,6.2,1.19,18.6,1.0,19.0,1.0,6.3,4.66,71.7,15.0,76.0,1.0,6.5,5.11,80.25,9.0,90.0,1.0,6.6,5.26,84.45,6.0,90.0,1.0,6.8,5.39,84.45,8.0,90.0,1.0,6.9,5.04,84.45,1.0,90.0,1.0,7.0,5.41,84.45,8.0,90.0,1.0,7.1,5.69,84.45,6.0,90.0,1.0,7.1,10.2,168.9,7.0,90.0,2.0,7.1,4.98,84.45,2.0,90.0,1.0,7.1,4.44,84.45,9.0,90.0,1.0,7.1,4.83,84.45,11.0,90.0,1.0,7.2,5.69,85.65,9.0,90.0,1.0,7.2,0.0,0.0,0.0,0.0,0.0,7.2,5.11,85.65,4.0,90.0,1.0,7.1,3.41,85.65,0.0,90.0,1.0,7.1,4.95,85.65,8.0,90.0,1.0,7.2,4.96,85.05,0.0,0.0,0.0
6,6.0,Saliba,Arsenal,D,6.0,3.73,87.45,9.0,90.0,1.0,6.0,4.81,87.45,6.0,90.0,1.0,6.1,3.14,87.45,1.0,4.0,1.0,6.1,1.42,27.15,0.0,0.0,0.0,6.0,2.86,67.8,2.0,90.0,1.0,6.0,3.66,87.45,1.0,45.0,1.0,6.0,4.6,84.45,6.0,90.0,1.0,6.0,4.34,84.45,6.0,90.0,1.0,6.0,4.69,86.7,1.0,45.0,1.0,6.0,3.0,54.9,6.0,90.0,1.0,6.0,5.08,84.45,1.0,90.0,1.0,6.0,4.47,87.45,2.0,90.0,1.0,6.0,3.53,87.45,0.0,0.0,0.0,6.0,0.49,9.6,0.0,0.0,0.0,6.0,2.85,63.15,0.0,0.0,0.0,6.0,1.64,27.45,2.0,90.0,1.0,5.9,4.84,86.7,6.0,90.0,1.0,5.9,4.3,84.9,2.0,90.0,1.0,5.9,4.46,84.9,2.0,90.0,1.0,5.9,4.21,85.2,1.0,90.0,1.0,5.9,4.06,84.45,7.0,90.0,1.0,6.0,4.29,84.45,8.0,90.0,1.0,6.0,4.04,84.45,1.0,90.0,1.0,6.0,4.43,84.45,6.0,90.0,1.0,6.0,4.71,84.45,7.0,90.0,1.0,6.1,8.29,168.9,1.0,45.0,2.0,6.1,3.86,84.45,2.0,90.0,1.0,6.1,3.56,84.45,10.0,90.0,1.0,6.1,3.83,84.45,0.0,0.0,0.0,6.1,4.43,85.65,11.0,90.0,1.0,6.1,0.0,0.0,0.0,0.0,0.0,6.1,4.0,85.65,1.0,90.0,1.0,6.1,2.61,85.65,3.0,90.0,1.0,6.1,3.9,85.65,7.0,90.0,1.0,6.1,4.06,85.05,0.0,0.0,0.0
7,7.0,Calafiori,Arsenal,D,5.5,1.05,25.65,13.0,71.0,1.0,5.5,2.65,48.6,13.0,63.0,1.0,5.6,2.33,67.5,2.0,90.0,1.0,5.7,3.65,67.5,5.0,67.0,1.0,5.7,2.94,67.5,2.0,90.0,1.0,5.7,2.91,67.5,1.0,69.0,1.0,5.7,4.15,66.0,6.0,74.0,1.0,5.7,3.97,68.55,6.0,90.0,1.0,5.8,4.26,71.85,6.0,81.0,1.0,5.8,4.7,71.85,6.0,71.0,1.0,5.8,4.55,71.85,1.0,90.0,1.0,5.8,4.34,76.8,2.0,90.0,1.0,5.8,3.4,76.8,0.0,45.0,1.0,5.8,4.41,75.45,7.0,90.0,1.0,5.8,3.89,79.05,1.0,85.0,1.0,5.7,0.0,0.0,0.0,0.0,0.0,5.7,4.75,79.8,6.0,90.0,1.0,5.7,4.71,81.3,0.0,0.0,0.0,5.7,1.69,28.65,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,5.6,0.59,10.5,0.0,0.0,0.0,5.6,0.57,10.5,0.0,0.0,0.0,5.6,1.85,32.55,1.0,15.0,1.0,5.6,4.16,63.15,6.0,66.0,1.0,5.6,8.88,152.1,2.0,5.0,2.0,5.6,2.86,52.95,0.0,0.0,0.0,5.6,1.62,32.55,0.0,0.0,0.0,5.6,1.09,22.2,1.0,26.0,1.0,5.6,2.31,39.3,6.0,73.0,1.0,5.6,0.0,0.0,0.0,0.0,0.0,5.6,3.69,65.4,0.0,0.0,0.0,5.6,0.45,11.7,0.0,0.0,0.0,5.6,0.82,16.5,0.0,0.0,0.0,5.6,3.18,56.4,0.0,0.0,0.0
8,8.0,J.Timber,Arsenal,D,5.5,1.84,44.25,0.0,19.0,1.0,5.5,3.22,60.75,24.0,63.0,1.0,5.6,2.26,73.05,2.0,90.0,1.0,5.7,3.5,69.0,8.0,90.0,1.0,5.7,2.95,69.0,1.0,79.0,1.0,5.8,2.17,52.5,2.0,90.0,1.0,5.8,3.91,69.0,11.0,90.0,1.0,5.9,4.1,80.4,6.0,90.0,1.0,6.0,4.47,82.65,6.0,90.0,1.0,6.1,4.86,80.4,6.0,90.0,1.0,6.1,4.79,80.4,1.0,90.0,1.0,6.2,4.4,80.4,5.0,90.0,1.0,6.3,3.36,82.5,2.0,90.0,1.0,6.4,4.5,82.5,1.0,46.0,1.0,6.4,3.77,82.5,3.0,90.0,1.0,6.5,4.17,67.95,2.0,90.0,1.0,6.5,4.63,85.5,6.0,90.0,1.0,6.5,4.81,85.5,0.0,0.0,0.0,6.4,4.14,73.2,9.0,82.0,1.0,6.4,4.67,84.75,3.0,90.0,1.0,6.3,4.35,82.5,6.0,90.0,1.0,6.3,4.71,82.5,5.0,90.0,1.0,6.3,4.35,82.5,1.0,90.0,1.0,6.3,4.68,82.5,5.0,90.0,1.0,6.4,5.36,82.5,6.0,90.0,1.0,6.4,9.11,165.0,3.0,90.0,2.0,6.4,4.31,82.5,3.0,56.0,1.0,6.4,4.06,82.5,8.0,90.0,1.0,6.3,4.23,82.5,13.0,90.0,1.0,6.3,4.35,72.9,1.0,37.0,1.0,6.3,0.0,0.0,0.0,0.0,0.0,6.3,1.36,25.2,0.0,0.0,0.0,6.2,0.91,25.2,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0
9,,,,,5.5,0.36,8.7,0.0,0.0,0.0,5.5,0.24,5.7,0.0,0.0,0.0,5.4,0.3,8.1,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10.0,Lewis-Skelly,Arsenal,D,5.5,2.83,67.8,0.0,18.0,1.0,5.5,2.52,46.65,1.0,26.0,1.0,5.4,0.88,25.5,0.0,0.0,0.0,5.4,0.85,18.45,1.0,22.0,1.0,5.3,0.74,18.45,0.0,0.0,0.0,5.3,0.71,18.45,1.0,2.0,1.0,5.3,0.91,18.3,1.0,15.0,1.0,5.2,1.08,24.6,0.0,0.0,0.0,5.2,1.09,24.6,1.0,2.0,1.0,5.2,1.13,24.6,1.0,1.0,1.0,5.2,1.11,24.6,0.0,0.0,0.0,5.1,1.06,24.6,1.0,1.0,1.0,5.1,0.88,24.6,0.0,45.0,1.0,5.1,1.61,34.65,0.0,0.0,0.0,5.1,1.08,27.75,1.0,4.0,1.0,5.1,4.82,86.1,1.0,59.0,1.0,5.1,1.28,29.55,0.0,0.0,0.0,5.1,1.63,36.0,1.0,70.0,1.0,5.1,2.03,42.9,1.0,13.0,1.0,5.1,1.8,39.75,0.0,0.0,0.0,5.1,1.12,25.8,1.0,33.0,1.0,5.1,1.23,28.2,0.0,0.0,0.0,5.1,0.69,18.15,0.0,0.0,0.0,5.1,0.53,13.8,0.0,0.0,0.0,5.1,0.49,11.1,0.0,0.0,0.0,5.1,0.9,22.2,0.0,0.0,0.0,5.1,0.35,9.45,0.0,0.0,0.0,5.1,0.34,9.45,0.0,0.0,0.0,5.1,0.89,19.65,0.0,0.0,0.0,5.1,0.38,9.45,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,5.0,1.46,30.6,1.0,90.0,1.0,5.0,0.82,23.4,0.0,0.0,0.0,5.0,0.71,16.2,1.0,9.0,1.0,5.0,0.36,9.45,0.0,0.0,0.0
