,ID,Points,Minutes,sim
0,2,1,90,1
1,3,2,90,1
2,6,2,90,1
3,10,2,90,1
4,11,2,90,1
5,13,2,90,1
6,14,2,90,1
7,15,2,90,1
8,16,2,90,1
9,19,2,90,1
10,21,2,90,1
11,26,2,90,1
12,31,1,90,1
13,33,1,90,1
14,36,2,90,1
15,37,2,90,1
16,39,1,90,1
17,40,2,90,1
18,42,8,90,1
19,43,1,90,1
20,44,1,90,1
21,46,2,90,1
22,53,5,90,1
23,59,2,90,1
24,62,2,90,1
25,64,2,90,1
26,70,2,90,1
27,71,2,90,1
28,72,2,90,1
29,73,2,90,1
30,74,2,90,1
31,79,6,90,1
32,81,6,90,1
33,85,6,90,1
34,86,3,90,1
35,89,3,90,1
36,90,8,90,1
37,92,6,90,1
38,95,2,90,1
39,101,3,90,1
40,103,2,90,1
41,104,5,90,1
42,106,12,90,1
43,107,3,90,1
44,110,13,90,1
45,112,4,90,1
46,113,6,90,1
47,116,3,90,1
48,120,3,90,1
49,123,2,90,1
50,124,3,90,1
51,127,2,90,1
52,130,2,90,1
53,132,2,90,1
54,133,2,90,1
55,140,7,90,1
56,141,2,90,1
57,142,6,90,1
58,145,2,90,1
59,148,10,90,1
60,152,1,90,1
61,159,2,90,1
62,160,2,90,1
63,161,2,90,1
64,163,2,90,1
65,165,1,90,1
66,167,4,90,1
67,169,5,90,1
68,170,1,90,1
69,178,0,90,1
70,182,0,90,1
71,186,7,90,1
72,188,0,90,1
73,191,7,90,1
74,197,6,90,1
75,199,0,90,1
76,201,1,90,1
77,203,8,90,1
78,210,10,90,1
79,211,2,90,1
80,215,1,90,1
81,217,1,90,1
82,220,2,90,1
83,221,2,90,1
84,225,9,90,1
85,230,2,90,1
86,231,2,90,1
87,233,5,90,1
88,238,5,90,1
89,240,5,90,1
90,245,7,90,1
91,246,2,90,1
92,254,5,90,1
93,257,2,90,1
94,259,7,90,1
95,260,5,90,1
96,264,3,90,1
97,265,2,90,1
98,266,4,90,1
99,267,2,90,1
100,269,2,90,1
101,271,2,90,1
102,276,2,90,1
103,277,2,90,1
104,278,2,90,1
105,279,2,90,1
106,280,2,90,1
107,281,2,90,1
108,283,2,90,1
109,285,3,90,1
110,286,2,90,1
111,287,5,90,1
112,297,2,90,1
113,299,2,90,1
114,300,4,90,1
115,301,12,90,1
116,302,4,90,1
117,305,4,90,1
118,306,6,90,1
119,307,4,90,1
120,309,4,90,1
121,311,4,90,1
122,313,2,90,1
123,315,2,90,1
124,318,11,90,1
125,321,2,90,1
126,327,2,90,1
127,329,2,90,1
128,331,2,90,1
129,332,5,90,1
130,333,5,90,1
131,335,2,90,1
132,342,3,90,1
133,345,6,90,1
134,356,13,90,1
135,357,1,90,1
136,358,1,90,1
137,366,1,90,1
138,368,8,90,1
139,369,9,90,1
140,371,2,90,1
141,373,2,90,1
142,374,2,90,1
143,376,1,90,1
144,377,2,90,1
145,379,2,90,1
146,387,2,90,1
147,394,2,90,1
148,398,2,90,1
149,406,7,90,1
150,407,15,90,1
151,409,6,90,1
152,411,5,90,1
153,417,0,90,1
154,420,15,90,1
155,422,3,90,1
156,423,1,90,1
157,425,8,90,1
158,427,6,90,1
159,428,6,90,1
160,429,14,90,1
161,430,6,90,1
162,432,2,90,1
163,433,5,90,1
164,436,8,90,1
165,440,2,90,1
166,441,5,90,1
167,443,2,90,1
168,444,4,90,1
169,445,11,90,1
170,446,16,90,1
171,455,2,90,1
172,459,2,90,1
173,463,5,90,1
174,464,2,90,1
175,465,8,90,1
176,467,2,90,1
177,468,4,90,1
178,470,1,90,1
179,472,2,90,1
180,474,2,90,1
181,477,8,90,1
182,478,2,90,1
183,480,2,90,1
184,482,2,90,1
185,484,2,90,1
186,489,2,90,1
187,493,2,90,1
188,503,5,90,1
189,504,2,90,1
190,505,2,90,1
191,506,2,90,1
192,509,5,90,1
193,514,7,90,1
194,515,3,90,1
195,516,2,90,1
196,524,2,90,1
197,526,12,90,1
198,530,1,90,1
199,531,3,90,1
200,532,1,90,1
201,533,2,90,1
202,534,8,90,1
203,535,2,90,1
204,536,5,90,1
205,545,2,90,1
206,547,2,90,1
207,558,2,90,1
208,573,2,90,1
209,576,2,90,1
210,580,4,90,1
211,582,2,90,1
212,586,6,90,1
213,589,2,90,1
214,593,2,90,1
215,602,8,90,1
216,603,2,90,1
217,610,2,90,1
218,611,7,90,1
219,612,2,90,1
220,619,2,90,1
221,623,0,90,1
222,628,2,90,1
223,661,2,90,1
224,682,2,90,1
0,2,1,90,2
1,3,2,90,2
2,6,2,90,2
3,7,3,90,2
4,11,5,90,2
5,13,2,90,2
6,15,2,90,2
7,16,2,90,2
8,19,2,90,2
9,21,2,90,2
10,25,2,90,2
11,26,2,90,2
12,29,2,90,2
13,31,5,90,2
14,33,2,90,2
15,37,2,90,2
16,39,2,90,2
17,40,3,90,2
18,42,2,90,2
19,43,2,90,2
