,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,383,Lloris,6,1,55,8,4.049,False,1,1,4.049
1,77,Lamptey,36,2,47,8,3.988,False,1,1,3.988
2,123,James,8,2,50,8,4.052,False,1,1,4.052
3,232,Chilwell,8,2,59,8,4.381,False,1,1,4.381
4,239,Justin,13,2,48,8,3.774,False,1,1,3.774
5,362,Bertrand,20,2,50,8,4.166,False,1,1,4.166
6,4,Aubameyang,3,3,117,8,6.019,False,1,1,6.019
7,203,Harrison,2,3,55,8,3.843,False,1,1,3.843
8,390,Son,6,3,95,8,5.3610000000000015,False,1,1,5.3610000000000015
9,366,Ings,20,4,85,8,5.29,False,1,1,5.29
10,388,Kane,6,4,109,8,6.3020000000000005,True,2,1,12.604000000000001
11,213,Meslier,2,1,45,8,3.802,False,0,0,0.0
12,69,Trossard,36,3,60,8,4.194,False,0,0,0.0
13,370,Ward-Prowse,20,3,58,8,4.056,False,0,0,0.0
14,68,Maupay,36,4,66,8,5.023,False,0,0,0.0
