,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,70,Ryan,36,1,45,8,3.915,False,1,1,3.915
1,77,Lamptey,36,2,47,8,3.988,False,1,1,3.988
2,232,Chilwell,8,2,59,8,4.381,False,1,1,4.381
3,362,Bertrand,20,2,50,8,4.166,False,1,1,4.166
4,375,Walker-Peters,20,2,45,8,3.898,False,1,1,3.898
5,4,Aubameyang,3,3,117,8,6.019,False,1,1,6.019
6,272,De Bruyne,43,3,115,8,5.0360000000000005,False,1,1,5.0360000000000005
7,390,Son,6,3,95,8,5.3610000000000015,False,1,1,5.3610000000000015
8,68,Maupay,36,4,66,8,5.023,False,1,1,5.023
9,366,Ings,20,4,85,8,5.29,False,1,1,5.29
10,388,Kane,6,4,109,8,6.3020000000000005,True,2,1,12.604000000000001
11,56,Button,35,1,40,8,0.0,False,0,0,0.0
12,215,Casey,2,2,39,8,0.035,False,0,0,0.0
13,220,Silva,13,3,44,8,0.0,False,0,0,0.0
14,285,Doyle,43,3,44,8,0.084,False,0,0,0.0
