,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,15,Ramsdale,3,1,49,31,3.782,False,1,1,11.5,3.782
1,16,Gabriel,3,2,53,31,4.052,False,1,1,15.8,4.052
2,199,Tarkowski,11,2,42,31,3.583,False,1,1,4.4,3.583
3,448,Perišić,6,2,53,31,4.416,False,1,1,15.7,4.416
4,533,Martínez,1,2,45,31,3.7910000000000004,False,1,1,7.5,3.7910000000000004
5,733,Pedro Porro,6,2,48,31,5.254,False,1,1,0.7,5.254
6,13,Saka,3,3,86,31,5.4060000000000015,False,1,1,41.0,5.4060000000000015
7,305,Grealish,43,3,70,31,4.956,False,1,1,5.6,4.956
8,335,Rashford,1,3,73,31,6.255,False,1,1,53.1,6.255
9,40,Watkins,7,4,76,31,4.415,False,1,1,19.6,4.415
10,318,Haaland,43,4,122,31,7.24,True,2,1,76.8,14.48
11,327,De Gea,1,1,50,31,3.8369999999999997,False,0,0,11.6,0.0
12,303,Mahrez,43,3,73,31,4.684,False,0,0,4.7,0.0
13,346,Andreas,54,3,43,31,3.7889999999999997,False,0,0,13.2,0.0
14,427,Kane,6,4,117,31,6.704,False,0,0,39.8,0.0
