,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,2029.0,2095.65,2123.19,2131.59,-98.66,452433,51355,6176,821,6.6%
1,FplSimpson,2094.0,2150.16,2180.32,2171.24,-84.04,182758,10620,78,18,10.9%
2,FplStatsdan,2068.0,2113.13,2122.98,2108.76,-57.6,273451,32948,6252,3604,20.4%
3,FF_Trout,2115.0,2164.42,2177.17,2175.04,-67.91,126967,6335,104,2,16%
4,dilksybab,2174.0,2245.21,2223.04,2187.33,-54.86,35541,74,1,1,21.7%
5,theFPLkiwi,1995.0,2096.74,2149.96,2123.84,-139.43,654277,49715,1109,1495,1.4%
6,jameso_12,2019.0,2044.15,2105.35,2076.58,-67.32,508306,151439,13552,17324,16.3%
7,api_kakayou,2170.0,2125.51,2113.79,2098.99,46.76,39490,23400,8971,6347,74.7%
8,usafpl,2057.0,2055.69,2084.19,2054.61,-18.55,317922,123810,30648,37924,39.7%
9,CazzaFPL,2198.0,2189.52,2221.28,2185.11,-11.35,18729,2161,1,1,43.5%
10,PlanetosFPL,2106.0,2154.02,2178.9,2154.83,-67.3,149579,9151,98,146,16.3%
11,analytic_fpl,2151.0,2119.87,2126.64,2118.02,18.85,61608,27584,5009,2001,60.4%
12,wee_rogue,2109.0,2142.13,2148.66,2117.84,-37.76,141531,14393,1163,2022,29.8%
13,mtthwmn,2155.0,2158.15,2178.57,2165.38,-23.09,56131,7823,103,48,37.1%
14,cmusson32,2056.0,2114.54,2120.61,2131.37,-76.88,321340,32019,6818,822,12.9%
15,FPLstudent2,2151.0,2218.67,2160.73,2185.27,-47.51,61608,468,424,1,25.1%
16,peterhandleson,1881.0,1947.73,1967.5,1958.8,-87.74,1590225,608049,458810,363547,9.4%
17,chrishp,2183.0,2183.8,2140.22,2133.31,20.28,28283,2887,2202,675,61.1%
18,plfantasy,2146.0,2112.23,2072.61,2057.88,54.81,69597,34133,46217,33600,78%
19,FPLmeta,2149.0,2136.39,2157.19,2146.92,-8.57,63944,17266,620,187,45.3%
20,FplAuto,2069.0,2140.63,2120.46,2081.03,-55.37,269795,15215,7039,14481,21.4%
21,NourEldin_z3r0,2210.0,2189.25,2114.6,2101.43,64.87,13230,2170,8687,5388,82.6%
22,UkendtPerson45,2168.0,2218.26,2164.8,2147.73,-19.1,41658,475,334,185,39.3%
23,MikkelTokvam,2155.0,2197.21,2143.44,2122.6,-9.57,56020,1382,1741,1591,44.6%
24,Klaudioz,2082.0,2025.68,1976.76,1961.9,83.67,223659,211978,390593,348165,88.8%
25,FantasianPL,1978.0,2101.05,2060.99,2049.39,-102.77,770216,44671,64421,43829,5.5%
26,rama96ab,2129.0,2166.98,2149.88,2136.8,-32.67,97838,5808,1112,483,32.6%
27,FPL_LFE,2160.0,2125.69,2065.53,2047.53,70.3,50567,23297,56551,45886,84.6%
28,_jtreble,2188.0,2196.58,2149.87,2122.45,21.52,24731,1449,1112,1599,61.9%
29,DanielSaetre,2160.0,2137.49,2148.76,2128.4,11.16,50211,16797,1157,1164,56.6%
30,FBinary01,2185.0,2121.8,2099.36,2079.49,74.4,26920,26023,17610,15273,85.9%
31,FPL_Data,2017.0,2087.79,2056.11,2063.17,-62.44,520765,61652,73491,28623,18.2%
32,FPL_ElStatto,2071.0,2034.55,2058.48,2040.65,15.71,262059,180024,68892,57571,59%
33,FplSigurd,2181.0,2236.7,2199.8,2180.12,-34.82,29728,144,2,1,31.4%
34,JoeBopara,2039.0,2102.98,2127.96,2095.27,-80.42,401956,42507,4577,7528,11.9%
35,dLincolnlawyer,2163.0,2208.15,2162.02,2154.24,-22.06,46851,754,393,150,37.7%
36,FPL_Statoholic,2159.0,2056.21,2116.63,2126.8,48.03,51193,122388,8036,1219,75.3%
37,FplAmateur,2167.0,2087.47,2052.25,2037.66,97.56,42135,61869,81761,64829,92.2%
38,wolacola,2177.0,2176.19,2157.0,2159.77,2.19,33405,4045,623,66,51.5%
39,Hashtag_MEGA,2070.0,2155.47,2170.62,2172.9,-107.07,264253,8751,195,18,4.9%
40,dav_fifa,2128.0,1989.32,1967.8,1951.9,147.92,100821,362743,457154,407386,98.7%
41,MaulanaRiandi,2233.0,2222.13,2148.58,2120.99,59.12,5998,351,1166,1752,80.2%
42,Rak464,2120.0,2090.73,2119.72,2095.05,7.42,117100,56950,7263,7722,54.6%
43,ArneBarsnes,2247.0,2184.33,2180.03,2166.53,59.5,3568,2859,78,44,80.4%
44,FPL_PapaSmurf,2070.0,2016.06,2023.09,2016.84,40.69,265975,249226,161350,108820,71.7%
45,gezza96,2228.0,2185.94,2123.43,2104.88,79.82,7326,2632,6066,4476,87.7%
46,Raghy78d,2258.0,2209.08,2199.43,2165.79,56.14,2313,744,2,47,78.7%
