,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1768.0,1805.67,1856.75,1860.83,-102.32,498057,20211,482,60,7%
1,FplSimpson,1823.0,1847.34,1906.31,1895.16,-89.18,205944,3175,1,1,10%
2,FplStatsdan,1775.0,1797.21,1830.98,1818.89,-69.48,453859,27431,2560,1720,16.8%
3,FF_Trout,1831.0,1858.47,1884.74,1881.75,-72.72,176023,1845,53,1,15.8%
4,dilksybab,1863.0,1909.75,1926.38,1891.91,-74.64,87612,89,1,1,15%
5,theFPLkiwi,1708.0,1789.36,1862.86,1842.64,-153.04,993778,35416,393,229,1%
6,jameso_12,1746.0,1734.37,1822.82,1791.62,-66.52,662286,153479,4527,8000,18%
7,api_kakayou,1913.0,1819.53,1830.35,1819.52,61.47,21422,11474,2622,1660,83%
8,usafpl,1742.0,1722.32,1779.28,1753.3,-38.71,694190,197334,41206,47385,29.9%
9,CazzaFPL,1905.0,1857.36,1917.21,1883.58,-10.11,27939,1903,1,1,44.6%
10,PlanetosFPL,1827.0,1855.46,1905.23,1882.46,-83.03,191241,2070,1,1,12%
11,analytic_fpl,1855.0,1812.95,1835.62,1826.75,1.27,106188,15069,1773,896,51%
12,rogue_wee,1812.0,1838.12,1869.32,1843.87,-67.06,251776,5115,126,173,17.8%
13,mtthwmn,1830.0,1836.09,1883.96,1873.98,-63.73,180184,5537,53,1,19.1%
14,cmusson32,1782.0,1821.18,1841.24,1851.98,-84.88,409022,10665,1286,87,11.4%
15,FPLstudent2,1837.0,1901.03,1871.01,1894.39,-79.79,156813,117,90,1,13.2%
16,peterhandleson,1660.0,1704.85,1753.09,1745.19,-103.46,1492268,280276,102431,63409,6.6%
17,chrishp,1872.0,1851.35,1845.62,1838.93,-1.44,70341,2471,1025,259,49.6%
18,plfantasy,1866.0,1798.08,1784.07,1768.23,54.63,82866,26504,33061,25228,79.9%
19,FPLmeta,1850.0,1835.56,1872.16,1865.33,-36.56,118104,5722,84,40,30.8%
20,FplAuto,1815.0,1847.65,1855.01,1819.8,-53.94,240048,3115,509,1638,23.2%
21,NourEldin_z3r0,1918.0,1885.79,1848.18,1833.17,34.78,18510,391,892,771,70%
22,UkendtPerson45,1844.0,1894.11,1873.97,1859.64,-59.73,136317,170,81,63,20.6%
23,MikkelTokvam,1854.0,1888.91,1869.1,1854.44,-44.64,108493,280,126,71,27.4%
24,Klaudioz,1852.0,1749.89,1714.86,1701.41,102.39,115089,104820,274231,224946,94.2%
25,FantasianPL,1711.0,1803.69,1792.53,1781.79,-109.68,963934,21570,23649,13709,5.2%
26,rama96ab,1824.0,1857.27,1859.6,1849.58,-59.74,202787,1908,442,91,20.6%
27,FPL_LFE,1881.0,1811.21,1773.07,1752.44,74.65,56259,16174,53362,48773,87.6%
28,_jtreble,1871.0,1856.0,1841.94,1815.55,5.35,72291,2017,1228,2049,53.9%
29,DanielSaetre,1867.0,1827.36,1856.08,1838.34,-2.24,80138,8044,498,263,49.1%
30,FBinary01,1922.0,1813.44,1809.71,1792.33,88.76,16119,14884,10309,7290,91.4%
31,FPL_Data,1757.0,1793.56,1790.8,1796.01,-64.75,578844,30878,25456,5896,18.5%
32,FPL_ElStatto,1780.0,1721.25,1770.35,1754.42,2.3,422839,201927,58486,45433,51.8%
33,FplSigurd,1869.0,1900.14,1899.99,1880.88,-52.8,75993,123,1,1,23.7%
34,JoeBopara,1754.0,1792.97,1837.44,1809.88,-88.27,600437,31201,1587,2761,10.3%
35,dLincolnlawyer,1859.0,1887.21,1863.6,1855.8,-37.69,97161,342,390,68,30.4%
36,FPL_Statoholic,1889.0,1775.59,1842.15,1845.92,38.27,44686,52712,1194,112,71.8%
37,FplAmateur,1903.0,1804.52,1782.63,1770.67,89.25,29253,20876,35803,22331,91.4%
38,wolacola,1876.0,1877.12,1888.24,1886.78,-36.53,63888,660,16,1,30.8%
39,Hashtag_MEGA,1818.0,1859.44,1894.24,1893.86,-93.42,225658,1767,16,1,9%
40,dav_fifa,1850.0,1713.62,1696.91,1680.29,125.2,120323,236182,381377,355224,97.7%
41,MaulanaRiandi,1923.0,1891.86,1840.5,1817.49,45.86,15491,187,1323,1824,75.5%
42,Rak464,1830.0,1764.56,1819.29,1801.95,5.62,181908,73842,5450,4322,54.2%
43,ArneBarsnes,1938.0,1858.16,1872.21,1857.77,46.86,8919,1864,84,66,76%
44,FPL_PapaSmurf,1825.0,1720.35,1737.37,1731.43,66.73,200032,206241,159720,101350,85.4%
45,gezza96,1919.0,1867.15,1829.5,1817.07,53.57,17936,1132,2773,1884,79.6%
46,Raghy78d,1951.0,1889.9,1901.5,1874.97,33.94,5334,233,1,1,69.4%
47,pdhFPL,1816.0,1894.41,1876.29,1888.14,-98.37,234600,167,63,1,8.1%
48,NeilRankinZA,1785.0,1714.68,1725.77,1734.48,31.45,391737,231868,214496,90765,68.1%
49,EuanThompson,1968.0,1943.99,1923.19,1912.87,13.47,2645,6,1,1,58.3%
50,FPLrookie1,1831.0,1842.41,1832.47,1802.31,-22.59,178160,3933,2216,4273,37.8%
51,FplBudget,1896.0,1773.95,1802.32,1796.52,76.32,36925,55433,14975,5706,88.1%
52,FF_Vader,1872.0,1830.11,1868.71,1839.17,-2.72,70698,7055,130,255,48.9%
53,alasdairtweets,1929.0,1862.92,1872.94,1848.82,39.18,12724,1408,84,94,72.3%
54,fpl_analytic,1778.0,1719.81,1768.2,1763.39,-1.58,435508,209157,63533,31050,49.6%
55,stephendeyoung,1770.0,1736.96,1739.24,1722.89,8.78,486977,145646,152046,130853,55.8%
56,James_Ingram15,1807.0,1844.51,1871.88,1858.51,-79.96,274861,3625,85,64,13%
57,FPL_Kid,1865.0,1810.63,1786.33,1784.9,43.19,84430,16661,30318,11244,74.1%
58,fpl_jan,1985.0,1948.81,1885.72,1855.02,61.57,1236,6,38,71,83.1%
59,FPL_Mezzala,1902.0,1923.59,1895.03,1882.2,-25.95,30606,15,16,1,36.4%
60,morstats,1830.0,1802.26,1758.88,1743.05,34.54,179775,22488,84452,67897,69.8%
61,FplOpinion,1830.0,1805.78,1846.56,1843.59,-30.97,181258,20163,990,195,33.4%
62,_NeilFPL,1891.0,1858.2,1864.01,1853.96,3.96,42299,1863,374,74,52.8%
63,UnderstandingF8,1774.0,1669.35,1683.58,1662.88,73.69,462418,504276,488261,498884,87.3%
