,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,0.0,0.0,37605,0,0,-3,3,0,3,0.0,0.0,0,Mesut,0.0,1,False,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,37605.jpg,0.0,Özil,0.5,False,,u,1,3,0,3441,0,54037,20,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,665,269,665,269,665,269,665,269,,,,,,
1,0.0,0.0,39476,0,0,-2,2,0,2,0.0,0.0,0,Sokratis,0.0,2,False,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,39476.jpg,0.0,Papastathopoulos,0.1,False,,u,1,3,0,10266,0,19012,6,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,620,224,612,224,605,222,625,224,,,,,,
2,100.0,0.0,41270,0,0,-1,1,0,2,3.2,0.0,0,David,2.7,3,False,,2021-02-02T20:30:22.388696Z,54,41270.jpg,1.9,Luiz Moreira Marinho,0.7,False,,a,1,3,25,50081,91,101434,185,0.5,4.6,David Luiz,886,0,0,3,12,0,0,0,1,1,0,0,138,132.8,30.7,88.0,24.9,266,103,327,110,223,63,304,102,,,4.0,,,
3,100.0,100.0,54694,0,0,-7,7,1,3,3.8,3.8,1,Pierre-Emerick,3.3,4,False,,2021-01-23T16:00:22.555453Z,113,54694.jpg,3.8,Aubameyang,6.6,False,,a,1,3,73,578930,360,3268466,1749,0.3,6.5,Aubameyang,1574,5,1,7,16,1,0,0,2,0,0,6,208,275.2,227.2,549.0,105.0,149,57,90,63,28,14,44,28,,,,,1.0,
4,100.0,100.0,58822,0,0,-4,4,0,2,4.2,4.2,2,Cédric,3.7,5,False,,2020-09-23T09:00:14.881983Z,46,58822.jpg,3.8,Soares,0.3,False,,a,1,3,23,21506,152,40203,291,0.8,5.0,Cédric,429,0,1,2,4,0,0,0,1,0,0,3,88,66.6,86.3,24.0,17.7,347,133,218,50,337,117,339,116,,,,,,
5,100.0,100.0,59966,-1,1,-2,2,2,4,4.2,4.2,1,Alexandre,3.7,6,False,,2021-01-30T23:00:18.185183Z,83,59966.jpg,4.0,Lacazette,7.6,False,,a,1,3,80,1162418,1432,923114,22838,0.4,9.6,Lacazette,1314,8,2,6,11,0,0,0,2,0,0,11,277,401.0,233.6,568.0,120.0,60,9,85,8,26,13,32,11,,,,,3.0,
6,0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,69140.jpg,1.0,Mustafi,0.0,False,,u,1,3,3,13464,0,13955,37,0.0,0.6,Mustafi,45,0,0,0,1,0,0,0,0,0,0,0,16,11.6,1.0,0.0,1.3,436,169,429,167,629,230,455,172,,,,,,
7,100.0,0.0,80201,0,0,0,0,2,1,4.0,0.0,0,Bernd,3.5,8,False,,2021-02-02T20:30:22.406559Z,50,80201.jpg,4.0,Leno,7.4,False,,a,1,3,88,813278,583,908628,5097,0.7,17.6,Leno,1961,0,0,8,22,0,1,0,0,1,54,6,410,446.0,0.0,0.0,44.6,36,12,635,66,631,64,211,12,,,,,,
8,100.0,100.0,84450,0,0,-3,3,0,3,3.2,3.2,1,Granit,2.7,9,False,,2020-12-13T22:30:16.182130Z,52,84450.jpg,2.3,Xhaka,0.4,False,,a,1,3,44,36552,95,72951,141,0.5,8.5,Xhaka,1534,1,1,7,16,0,0,0,4,1,0,1,244,277.6,151.9,109.0,53.8,145,55,158,101,192,101,172,94,,,1.0,,,
9,100.0,100.0,92371,0,0,-1,1,0,2,0.5,0.5,0,Pablo,0.0,10,False,,2021-01-14T22:00:26.195009Z,44,92371.jpg,4.7,Marí,0.1,False,,a,1,3,14,31354,26,26952,68,0.0,3.2,Marí,270,0,0,2,1,0,0,0,1,0,0,1,63,59.0,11.7,4.0,7.4,356,138,376,139,398,151,388,141,,,,,,
