,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,257,Ederson,43,1,60,3.9421111111111102,False,1,1,9.4,3.9421111111111102
1,224,Matip,14,2,50,3.550333333333333,False,1,1,3.6,3.550333333333333
2,237,Alexander-Arnold,14,2,75,4.635555555555555,False,1,1,23.6,4.635555555555555
3,256,Cancelo,43,2,63,3.9909999999999997,False,1,1,24.0,3.9909999999999997
4,96,Mbeumo,94,3,56,4.269333333333334,False,1,1,3.9,4.269333333333334
5,138,Mount,8,3,74,4.127555555555556,False,1,1,8.9,4.127555555555556
6,141,Havertz,8,3,81,4.231444444444445,False,1,1,5.9,4.231444444444445
7,233,Salah,14,3,128,6.2093333333333325,True,2,1,65.3,12.418666666666665
8,4,Aubameyang,3,4,99,4.484555555555556,False,1,1,3.3,4.484555555555556
9,78,Toney,94,4,65,4.435444444444445,False,1,1,16.9,4.435444444444445
10,413,Antonio,21,4,81,4.049111111111111,False,1,1,45.5,4.049111111111111
11,376,Foster,57,1,40,2.6308888888888884,False,0,0,22.2,0.0
12,67,White,3,2,44,2.81,False,0,0,12.7,0.0
13,302,Manquillo,4,2,40,2.2674444444444446,False,0,0,9.5,0.0
14,115,Brownhill,90,3,44,2.488888888888889,False,0,0,3.7,0.0
