,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,100.0,100.0,84450,0,0,-2,2,1,3,5.3,5.3,2,Granit,4.8,3,False,,2023-04-22T08:30:07.774962Z,48,84450.jpg,3.8,Xhaka,2.7,False,,a,1,3,138,937545,7818,830129,3924,1.0,28.8,Xhaka,2918,5,8,12,35,0,0,0,4,0,0,13,589,647.0,673.3,498.0,182.0,35,3.77,3.87,7.64,36.23,60,23,32,25,62,38,41,28,,,2.0,,,,0.12,0.0,0.12,0.24,1.12,1.08,265,157,28,17,69,30,118,41,1.08,0.37
1,0.0,0.0,153256,0,0,-4,4,1,3,0.0,0.0,0,Mohamed,0.0,4,False,Knee injury - Unknown return date,2023-01-26T10:00:07.778526Z,41,153256.jpg,1.2,Elneny,0.6,False,,i,1,3,6,202376,773,279316,376,0.0,1.5,Elneny,111,0,0,0,2,0,0,0,0,0,0,0,27,4.6,5.4,0.0,1.1,1,0.00,0.04,0.04,1.29,505,226,460,221,592,233,505,227,,,,,,,0.0,0.0,0.03,0.03,1.05,1.62,632,333,512,185,449,196,251,82,0.81,0.0
2,,,156074,0,0,-3,3,0,2,0.7,0.7,0,Rob,0.2,5,False,,,42,156074.jpg,1.5,Holding,0.2,False,,a,1,3,21,23179,338,27679,493,0.0,5.0,Holding,562,1,0,0,13,0,0,0,0,0,0,0,120,152.0,10.3,54.0,21.6,6,0.32,0.15,0.47,11.14,339,137,448,159,341,118,399,146,,,,,,,0.05,0.0,0.02,0.07,1.78,2.08,596,160,356,117,407,146,376,143,0.96,0.0
3,100.0,100.0,167199,0,0,-3,3,0,3,1.5,1.5,2,Thomas,1.0,6,False,,2023-03-31T15:30:08.770925Z,47,167199.jpg,2.6,Partey,0.4,False,,a,1,3,83,109952,404,141803,259,0.2,17.7,Partey,2390,3,0,10,28,0,0,0,5,0,0,6,453,513.2,439.6,240.0,119.5,27,2.59,2.13,4.72,31.80,110,47,70,59,152,90,97,68,,,,,,,0.1,0.0,0.08,0.18,1.2,1.05,311,186,274,129,214,82,283,95,1.02,0.38
4,100.0,100.0,184029,1,-1,4,-4,5,3,7.7,7.7,2,Martin,7.2,7,True,,2023-03-09T22:30:08.763464Z,69,184029.jpg,5.8,Ødegaard,32.5,False,,a,1,3,209,6897026,180742,4995785,39547,1.0,30.3,Ødegaard,3058,15,8,12,38,0,0,0,4,0,0,30,797,960.0,1100.4,920.0,298.3,36,9.71,7.58,17.29,37.65,10,3,7,5,18,8,6,4,3.0,,1.0,,,,0.29,0.0,0.22,0.51,1.11,1.12,44,22,6,3,8,3,5,3,1.06,0.35
5,100.0,100.0,192895,0,0,-4,4,0,2,1.5,1.5,1,Kieran,1.0,8,False,,2023-03-29T08:30:08.049621Z,46,192895.jpg,1.4,Tierney,0.8,False,,a,1,3,36,94277,3818,157765,659,0.2,7.8,Tierney,764,0,1,1,10,0,0,0,0,0,0,0,161,144.0,85.5,67.0,29.9,6,0.38,0.42,0.80,10.74,350,144,313,101,323,108,366,129,,,,,,,0.04,0.0,0.05,0.09,1.27,1.18,332,57,273,87,425,152,212,76,0.71,0.12
6,0.0,0.0,195735,0,0,-2,2,0,3,0.0,0.0,0,Nicolas,0.0,9,False,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,53,195735.jpg,0.0,Pépé,0.1,False,,u,1,3,0,5198,0,36735,2,0.0,0.0,Pépé,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,765,332,764,332,762,332,766,332,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,146,78,750,325,766,332,445,162,0.0,0.0
7,,,198869,0,0,5,-5,1,2,3.3,3.3,2,Benjamin,2.8,10,True,,,50,198869.jpg,4.1,White,15.7,False,,a,1,3,150,3263708,71152,2209846,17515,0.6,30.0,White,2964,2,5,14,35,0,0,0,5,0,0,12,710,649.0,491.2,159.0,130.0,35,1.25,3.59,4.84,36.76,59,17,61,8,208,38,84,9,,,,,,,0.04,0.0,0.11,0.15,1.12,1.06,197,24,107,27,49,6,21,6,1.06,0.43
8,100.0,100.0,205533,0,0,-7,7,1,4,1.0,1.0,1,Eddie,0.5,11,False,,2023-03-02T00:00:07.606120Z,63,205533.jpg,2.1,Nketiah,1.8,False,,a,1,3,62,1927504,1109,1864598,1317,0.1,9.8,Nketiah,1061,4,2,2,16,0,0,0,3,0,0,5,163,213.4,128.2,598.0,93.1,9,7.30,1.26,8.56,14.49,294,33,247,38,43,17,143,24,,,,,,,0.62,0.0,0.11,0.73,1.23,1.36,61,27,337,46,305,42,143,24,0.76,0.17
9,100.0,100.0,209289,0,0,-4,4,0,3,0.7,0.7,0,Emile,0.2,12,False,,2023-02-03T10:30:09.166437Z,56,209289.jpg,1.3,Smith Rowe,0.4,False,,a,1,3,14,28746,532,151196,124,0.0,2.5,Smith Rowe,146,0,1,0,5,0,0,0,0,0,0,0,48,36.6,64.3,39.0,13.8,0,0.25,0.55,0.80,2.53,455,200,348,180,383,186,427,192,,,,,,,0.15,0.0,0.34,0.49,1.56,3.08,94,50,383,179,448,195,300,101,0.0,0.0
10,75.0,100.0,223340,0,0,0,0,7,3,2.0,2.7,2,Bukayo,2.2,13,True,Knock - 75% chance of playing,2023-05-26T15:00:11.378383Z,80,223340.jpg,5.3,Saka,26.5,False,,d,1,3,196,6128217,47279,5544039,130841,0.3,24.5,Saka,3124,13,12,12,42,0,0,1,6,0,0,19,654,972.2,1091.8,1164.0,322.8,36,11.24,5.91,17.15,39.37,8,2,8,6,9,4,5,3,1.0,,,,1.0,,0.32,0.0,0.17,0.49,1.13,1.21,18,8,156,70,13,6,11,6,1.04,0.35
