,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1490.0,1522.14,1566.89,1565.38,-90.72,608486,60243,1495,70,7.9%
1,FplSimpson,1477.0,1528.51,1592.07,1575.6,-117.95,732166,48758,35,32,3%
2,FplStatsdan,1466.0,1507.26,1561.6,1547.86,-102.25,846838,94226,2542,1799,5.4%
3,FF_Trout,1589.0,1601.75,1604.52,1602.17,-41.9,75864,1333,7,1,25.2%
4,dilksybab,1570.0,1607.91,1606.21,1581.46,-56.19,126167,758,4,8,18.6%
5,theFPLkiwi,1415.0,1478.65,1542.03,1524.24,-129.51,1460166,203129,10779,9953,1.7%
6,jameso_12,1483.0,1470.06,1521.15,1494.6,-41.35,675470,250876,36430,48853,25.3%
7,api_kakayou,1600.0,1510.01,1509.55,1497.36,66.49,55336,86908,57849,42498,87.2%
8,usafpl,1456.0,1454.56,1489.71,1469.74,-44.07,957042,345067,124969,130624,24.2%
9,CazzaFPL,1603.0,1551.66,1600.96,1568.1,0.48,50648,18198,13,51,50.1%
10,PlanetosFPL,1474.0,1522.96,1575.22,1553.15,-105.62,762081,58714,608,705,4.7%
11,analytic_fpl,1559.0,1518.73,1552.94,1538.79,-6.61,166164,66364,4973,3777,45.4%
12,rogue_wee,1493.0,1518.1,1545.47,1522.69,-64.24,583444,67955,8551,11161,16.1%
13,mtthwmn,1536.0,1526.02,1564.55,1553.8,-41.08,273515,52827,1838,519,25.4%
14,cmusson32,1508.0,1520.89,1552.96,1562.53,-66.52,457925,62456,4973,150,15.4%
15,FPLstudent2,1553.0,1622.66,1578.41,1600.05,-74.51,190527,263,358,1,13%
16,peterhandleson,1399.0,1439.05,1465.26,1455.03,-82.74,1678004,461069,267294,214665,10.3%
17,chrishp,1562.0,1547.68,1535.92,1527.27,-2.56,154875,21463,16202,7717,48%
18,plfantasy,1611.0,1530.07,1518.44,1500.58,67.15,39643,45817,40320,36692,87.4%
19,FPLmeta,1561.0,1541.3,1570.81,1564.52,-26.65,157506,28657,1104,76,32.9%
