,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1665.0,1715.83,1770.25,1772.9,-114.41,594825,41044,1440,124,4.4%
1,FplSimpson,1727.0,1758.96,1816.27,1803.0,-92.04,214728,8294,8,7,9%
2,FplStatsdan,1666.0,1704.15,1750.27,1735.81,-90.11,589266,59592,6335,4920,9.6%
3,FF_Trout,1733.0,1767.99,1792.59,1790.35,-76.34,189482,5563,110,29,14.1%
4,dilksybab,1757.0,1805.41,1828.65,1796.98,-78.68,110977,585,1,14,13.1%
5,theFPLkiwi,1602.0,1695.57,1767.35,1747.99,-161.52,1210424,77020,1803,1899,0.5%
6,jameso_12,1646.0,1632.25,1727.95,1698.47,-67.2,760791,314480,22961,33546,17.2%
7,api_kakayou,1791.0,1703.38,1723.55,1712.48,52.37,45601,60786,28001,17035,79.2%
8,usafpl,1626.0,1626.4,1692.53,1666.57,-62.19,954592,346259,97482,111189,19.3%
9,CazzaFPL,1793.0,1756.22,1815.79,1782.8,-18.07,43230,9194,8,44,39.8%
10,PlanetosFPL,1684.0,1729.14,1797.61,1773.99,-109.35,454496,25918,62,99,5.2%
11,analytic_fpl,1762.0,1724.45,1748.16,1736.28,0.14,99160,30093,7367,4783,50.3%
12,rogue_wee,1675.0,1707.79,1752.4,1726.65,-79.82,518576,53344,4923,8543,12.7%
13,mtthwmn,1736.0,1744.14,1789.16,1778.4,-60.62,178750,15742,157,60,20%
14,cmusson32,1674.0,1712.25,1747.29,1758.32,-91.36,524778,46186,7471,700,9.2%
15,FPLstudent2,1726.0,1802.79,1779.67,1801.81,-93.66,219108,705,595,10,8.8%
16,peterhandleson,1575.0,1624.87,1671.1,1662.03,-103.77,1526985,356348,181477,125900,6.4%
17,chrishp,1755.0,1753.94,1755.81,1748.65,-22.93,117217,10110,3957,1837,37.6%
18,plfantasy,1775.0,1706.29,1702.16,1686.72,51.7,72186,55201,69018,54735,78.8%
19,FPLmeta,1749.0,1743.83,1780.29,1773.34,-42.73,133604,15849,513,106,27.5%
20,FplAuto,1693.0,1725.88,1747.18,1712.71,-60.85,396010,28785,7549,16870,20%
21,NourEldin_z3r0,1827.0,1794.47,1767.2,1749.99,32.08,14251,1322,2008,1560,69.5%
22,UkendtPerson45,1717.0,1779.35,1775.6,1761.47,-80.07,261132,2962,845,555,12.6%
23,MikkelTokvam,1740.0,1800.77,1781.71,1766.17,-67.45,163909,757,286,214,17.1%
24,Klaudioz,1749.0,1643.9,1628.85,1614.95,95.09,136311,254112,470913,413038,93.6%
