rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.14,0.32,93.45
2,2,Bayern Munich,German Bundesliga,3.32,0.49,92.32
3,3,Paris Saint-Germain,French Ligue 1,2.87,0.52,88.75
4,6,Real Madrid,Spanish Primera Division,2.74,0.52,87.62
5,4,Liverpool,Barclays Premier League,2.8,0.55,87.6
6,5,Barcelona,Spanish Primera Division,2.54,0.43,87.31
7,8,Arsenal,Barclays Premier League,2.41,0.54,83.87
8,9,Chelsea,Barclays Premier League,2.25,0.5,82.85
9,7,Ajax,Dutch Eredivisie,2.91,0.91,82.45
10,15,Napoli,Italy Serie A,2.55,0.72,81.99
11,10,Tottenham Hotspur,Barclays Premier League,2.3,0.62,80.87
12,12,Borussia Dortmund,German Bundesliga,2.46,0.73,80.76
13,11,Atletico Madrid,Spanish Primera Division,2.1,0.56,79.61
14,13,AC Milan,Italy Serie A,2.23,0.65,79.34
15,17,FC Porto,Portuguese Liga,2.32,0.72,79.23
16,18,Internazionale,Italy Serie A,2.36,0.75,78.98
17,20,RB Leipzig,German Bundesliga,2.32,0.73,78.85
18,19,Benfica,Portuguese Liga,2.24,0.68,78.82
19,14,Villarreal,Spanish Primera Division,2.11,0.61,78.57
20,16,FC Salzburg,Austrian T-Mobile Bundesliga,2.3,0.77,77.74
21,21,Brighton and Hove Albion,Barclays Premier League,2.06,0.64,77.17
22,23,Manchester United,Barclays Premier League,2.23,0.78,76.4
23,27,Newcastle,Barclays Premier League,2.07,0.71,75.6
24,25,Athletic Bilbao,Spanish Primera Division,1.96,0.65,75.36
25,22,Zenit St Petersburg,Russian Premier Liga,2.09,0.74,75.35
26,26,PSV,Dutch Eredivisie,2.47,1.02,75.05
27,30,Real Sociedad,Spanish Primera Division,1.93,0.65,74.87
28,29,Bayer Leverkusen,German Bundesliga,2.19,0.84,74.71
29,28,AS Roma,Italy Serie A,2.06,0.76,74.28
30,31,Stade Rennes,French Ligue 1,2.08,0.78,74.24
31,24,Sporting CP,Portuguese Liga,2.04,0.78,73.65
32,34,Marseille,French Ligue 1,1.92,0.71,73.05
33,32,Feyenoord,Dutch Eredivisie,2.32,1.01,72.98
34,39,West Ham United,Barclays Premier League,1.87,0.69,72.93
35,36,Aston Villa,Barclays Premier League,1.82,0.66,72.59
36,43,AS Monaco,French Ligue 1,2.03,0.84,72.13
37,35,Lyon,French Ligue 1,2.04,0.84,72.08
38,41,Valencia,Spanish Primera Division,1.88,0.74,71.85
39,37,SC Freiburg,German Bundesliga,2.08,0.89,71.73
40,38,Atalanta,Italy Serie A,1.99,0.83,71.66
41,33,Celtic,Scottish Premiership,2.2,0.99,71.34
42,40,1. FC Union Berlin,German Bundesliga,1.77,0.68,71.3
43,54,Celta Vigo,Spanish Primera Division,1.76,0.71,70.43
44,47,Real Betis,Spanish Primera Division,1.77,0.71,70.41
45,51,Borussia Monchengladbach,German Bundesliga,2.2,1.04,70.4
46,46,Lazio,Italy Serie A,2.09,0.97,70.1
47,55,Rangers,Scottish Premiership,2.09,0.98,69.8
48,50,Crystal Palace,Barclays Premier League,1.81,0.78,69.49
49,44,Lens,French Ligue 1,1.83,0.8,69.47
50,53,Flamengo,Brasileiro Série A,1.87,0.83,69.41
51,56,Lille,French Ligue 1,1.85,0.82,69.33
52,45,Eintracht Frankfurt,German Bundesliga,1.89,0.86,69.04
53,42,FC Cologne,German Bundesliga,2.06,0.99,68.98
54,49,TSG Hoffenheim,German Bundesliga,2.05,0.99,68.84
55,61,Fiorentina,Italy Serie A,1.81,0.83,68.33
56,52,Brentford,Barclays Premier League,1.93,0.93,68.08
57,48,Club Brugge,Belgian Jupiler League,2.06,1.05,67.79
58,57,Osasuna,Spanish Primera Division,1.71,0.78,67.5
59,59,Mainz,German Bundesliga,1.85,0.9,67.28
60,58,Juventus,Italy Serie A,1.83,0.9,67.0
61,65,AZ,Dutch Eredivisie,1.99,1.04,66.74
62,62,Leicester City,Barclays Premier League,1.96,1.01,66.66
63,60,Fenerbahce,Turkish Turkcell Super Lig,2.13,1.16,66.48
64,63,Wolverhampton,Barclays Premier League,1.65,0.78,66.42
65,73,Udinese,Italy Serie A,1.91,1.0,66.09
66,84,Palmeiras,Brasileiro Série A,1.66,0.81,65.9
67,70,Werder Bremen,German Bundesliga,1.91,1.01,65.87
68,64,Sevilla FC,Spanish Primera Division,1.74,0.88,65.78
69,67,VfB Stuttgart,German Bundesliga,1.87,0.99,65.55
70,69,VfL Wolfsburg,German Bundesliga,1.87,1.0,65.33
71,74,Strasbourg,French Ligue 1,1.74,0.91,64.99
72,75,Torino,Italy Serie A,1.63,0.82,64.97
73,66,Braga,Portuguese Liga,1.77,0.95,64.73
74,68,FC Twente,Dutch Eredivisie,1.79,0.97,64.55
75,72,Everton,Barclays Premier League,1.71,0.91,64.26
76,71,Slavia Prague,UEFA Europa Conference League,1.88,1.07,63.94
77,77,Leeds United,Barclays Premier League,1.81,1.02,63.75
78,76,Club América,Mexican Primera Division Torneo Apertura,1.77,0.99,63.75
79,78,Dinamo Zagreb,UEFA Champions League,1.8,1.01,63.66
80,81,Monterrey,Mexican Primera Division Torneo Apertura,1.59,0.86,63.16
81,85,Young Boys,Swiss Raiffeisen Super League,2.04,1.25,62.89
82,79,Genk,Belgian Jupiler League,1.95,1.17,62.84
83,87,Sassuolo,Italy Serie A,1.86,1.1,62.68
84,80,Southampton,Barclays Premier League,1.75,1.02,62.66
85,83,Rayo Vallecano,Spanish Primera Division,1.67,0.95,62.59
86,82,Atletico Mineiro,Brasileiro Série A,1.52,0.82,62.59
87,86,Nice,French Ligue 1,1.58,0.88,62.45
88,88,São Paulo,Brasileiro Série A,1.56,0.87,62.02
89,90,Hertha Berlin,German Bundesliga,1.69,1.0,61.59
90,89,Getafe,Spanish Primera Division,1.51,0.85,61.58
91,95,Mallorca,Spanish Primera Division,1.55,0.89,61.53
92,93,Girona FC,Spanish Primera Division,1.67,1.01,61.08
93,91,Espanyol,Spanish Primera Division,1.69,1.03,61.03
94,96,Tigres UANL,Mexican Primera Division Torneo Apertura,1.58,0.96,60.37
95,94,Shakhtar Donetsk,UEFA Champions League,1.88,1.24,59.98
96,92,Internacional,Brasileiro Série A,1.6,1.01,59.49
97,98,Slovácko,UEFA Europa Conference League,1.83,1.23,59.15
98,102,Pachuca,Mexican Primera Division Torneo Apertura,1.53,0.97,58.92
99,110,Red Star Belgrade,UEFA Europa League,1.75,1.17,58.79
100,127,Molde,Norwegian Tippeligaen,1.98,1.39,58.55
101,104,FC Augsburg,German Bundesliga,1.71,1.18,58.01
102,99,Fulham,Barclays Premier League,1.67,1.14,57.95
103,113,Spartak Moscow,Russian Premier Liga,1.74,1.21,57.89
104,100,Norwich City,English League Championship,1.63,1.11,57.8
105,106,Almeria,Spanish Primera Division,1.53,1.02,57.72
106,107,Real Valladolid,Spanish Primera Division,1.57,1.06,57.67
107,103,Schalke 04,German Bundesliga,1.67,1.18,57.16
108,101,Verona,Italy Serie A,1.63,1.13,57.11
109,129,Reims,French Ligue 1,1.53,1.06,56.6
110,97,Fluminense,Brasileiro Série A,1.5,1.04,56.57
111,108,CSKA Moscow,Russian Premier Liga,1.54,1.08,56.51
112,123,Philadelphia Union,Major League Soccer,1.75,1.29,56.24
113,112,FC Utrecht,Dutch Eredivisie,1.74,1.28,56.23
114,119,Anderlecht,Belgian Jupiler League,1.63,1.18,56.12
115,115,Cadiz,Spanish Primera Division,1.46,1.03,56.04
116,125,Lorient,French Ligue 1,1.59,1.15,56.01
117,120,Bodo/Glimt,Norwegian Tippeligaen,1.92,1.46,55.79
118,130,AFC Bournemouth,Barclays Premier League,1.48,1.06,55.78
119,98,SC Dnipro-1,UEFA Europa Conference League,1.73,1.29,55.65
120,122,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.58,1.16,55.54
121,117,Nantes,French Ligue 1,1.5,1.08,55.46
122,131,River Plate,Argentina Primera Division,1.43,1.03,55.24
123,137,Antwerp,Belgian Jupiler League,1.59,1.18,55.13
124,116,Corinthians,Brasileiro Série A,1.28,0.9,54.97
125,149,Union Saint Gilloise,Belgian Jupiler League,1.59,1.2,54.93
126,132,Troyes,French Ligue 1,1.61,1.22,54.79
127,114,Trabzonspor,Turkish Turkcell Super Lig,1.63,1.24,54.75
128,105,Steaua Bucuresti,UEFA Europa Conference League,1.53,1.15,54.68
129,121,Ferencvaros,UEFA Europa League,1.66,1.27,54.65
130,135,Toulouse,French Ligue 1,1.54,1.16,54.6
131,147,Santos,Brasileiro Série A,1.31,0.95,54.46
132,145,FC Midtjylland,Danish SAS-Ligaen,1.73,1.36,54.14
133,139,Los Angeles FC,Major League Soccer,1.74,1.37,54.14
134,111,Sheffield United,English League Championship,1.48,1.12,54.07
135,133,Montpellier,French Ligue 1,1.6,1.24,54.01
136,152,VfL Bochum,German Bundesliga,1.63,1.28,53.89
137,134,Nottingham Forest,Barclays Premier League,1.51,1.16,53.85
138,144,Bragantino,Brasileiro Série A,1.47,1.12,53.81
139,140,Dynamo Kiev,UEFA Europa League,1.54,1.19,53.71
140,158,KAA Gent,Belgian Jupiler League,1.51,1.17,53.69
141,138,Viktoria Plzen,UEFA Champions League,1.69,1.34,53.67
142,124,Olympiacos,Greek Super League,1.48,1.14,53.67
143,118,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.33,1.02,53.12
144,136,Gil Vicente,Portuguese Liga,1.47,1.15,53.1
145,151,Burnley,English League Championship,1.41,1.1,52.92
146,157,FK Partizan Belgrade,UEFA Europa Conference League,1.49,1.19,52.76
