,player_id,web_name,team_code,element_type,now_cost,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,281,Alisson,14,1,54,3.8065999999999995,False,1,1,14.4,3.8065999999999995
1,146,James,8,2,60,3.7266,False,1,1,35.5,3.7266
2,165,Andersen,31,2,45,3.001,False,1,1,2.5,3.001
3,285,Alexander-Arnold,14,2,74,4.3708,False,1,1,36.7,4.3708
4,160,Zaha,31,3,72,4.3412,False,1,1,15.2,4.3412
5,261,Maddison,13,3,79,4.486000000000001,False,1,1,5.8,4.486000000000001
6,283,Salah,14,3,129,5.5512,True,2,1,35.3,11.1024
7,465,Bowen,21,3,81,4.101999999999999,False,1,1,3.9,4.101999999999999
8,66,Solanke,91,4,57,3.7955999999999994,False,1,1,0.5,3.7955999999999994
9,210,Mitrović,54,4,69,4.462400000000001,False,1,1,30.5,4.462400000000001
10,427,Kane,6,4,114,4.759599999999999,False,1,1,19.1,4.759599999999999
11,254,Ward,13,1,40,2.9034,False,0,0,25.9,0.0
12,295,N.Williams,17,2,41,2.0776,False,0,0,27.3,0.0
13,489,Toti,39,2,39,1.7371999999999996,False,0,0,0.9,0.0
14,346,Andreas,54,3,46,2.9069999999999996,False,0,0,26.1,0.0
