,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1591.0,1614.31,1657.73,1659.0,-87.16,449385,33878,1100,144,10.7%
1,FplSimpson,1590.0,1617.39,1683.53,1669.75,-101.75,429396,30635,78,28,5.9%
2,FplStatsdan,1558.0,1586.91,1642.99,1628.78,-96.16,683131,82473,3812,2888,7.3%
3,FF_Trout,1681.0,1688.57,1691.45,1689.52,-42.28,60389,847,23,4,26.8%
4,dilksybab,1665.0,1700.17,1703.07,1675.88,-61.17,92631,352,4,22,18.7%
5,theFPLkiwi,1523.0,1588.71,1648.6,1631.17,-134.48,1072368,77351,2354,2315,1.6%
6,jameso_12,1585.0,1553.62,1615.95,1588.58,-35.65,494992,197406,19449,29048,29.4%
7,api_kakayou,1699.0,1606.49,1607.71,1597.04,61.97,35496,44153,30822,19199,84.6%
8,usafpl,1545.0,1533.1,1583.74,1561.04,-48.66,803793,308881,79995,89091,24%
9,CazzaFPL,1706.0,1645.81,1695.09,1663.59,3.62,28419,9437,7,76,52.9%
10,PlanetosFPL,1583.0,1612.2,1675.45,1653.05,-98.58,479778,35932,150,363,6.6%
11,analytic_fpl,1649.0,1594.31,1634.83,1622.22,-2.36,137704,65578,7121,4195,49.1%
12,rogue_wee,1579.0,1606.82,1636.78,1613.46,-73.86,508995,43899,5995,7951,14.2%
13,mtthwmn,1641.0,1628.44,1663.64,1653.42,-41.63,164611,20477,602,363,27.1%
14,cmusson32,1611.0,1618.24,1638.93,1649.74,-58.67,322204,29991,5152,493,21.3%
15,FPLstudent2,1641.0,1704.37,1666.63,1688.58,-78.25,164389,237,439,4,12.8%
16,peterhandleson,1492.0,1523.73,1575.92,1566.87,-98.08,1433997,371057,106682,72728,6.8%
17,chrishp,1657.0,1638.15,1631.59,1624.67,-7.61,113975,13281,8430,3661,45.7%
18,plfantasy,1683.0,1604.12,1599.29,1582.73,54.56,58367,47622,43548,37432,81.5%
19,FPLmeta,1659.0,1632.54,1662.16,1656.78,-25.55,107514,17180,678,170,34.9%
20,FplAuto,1609.0,1629.04,1630.0,1599.81,-43.66,313256,19822,9259,17174,27.4%
21,NourEldin_z3r0,1720.0,1672.56,1645.35,1628.51,38.68,17569,2581,3279,3078,NAN%
22,UkendtPerson45,1638.0,1671.0,1659.32,1646.02,-53.72,176642,2846,1014,610,21.7%
23,MikkelTokvam,1663.0,1698.32,1679.77,1661.98,-49.73,98019,421,100,116,23.4%
24,Klaudioz,1647.0,1537.18,1514.41,1500.7,96.91,145610,279941,544713,497511,95%
25,FantasianPL,1554.0,1625.09,1623.97,1612.97,-99.9,753004,23269,12420,8251,6.3%
26,rama96ab,1634.0,1659.26,1641.3,1634.99,-44.05,208334,5215,4328,1704,26%
27,FPL_LFE,1681.0,1605.37,1568.92,1546.82,75.08,61411,45511,132884,147625,90.6%
28,_jtreble,1679.0,1656.78,1637.55,1613.18,10.55,64720,5879,5631,8163,57.1%
29,DanielSaetre,1681.0,1639.82,1666.54,1648.89,-4.58,68093,12518,443,514,47.7%
30,FBinary01,1722.0,1585.2,1613.78,1595.37,90.01,18771,88370,22668,20825,94.5%
31,FPL_Data,1578.0,1604.45,1602.83,1604.37,-59.25,518595,47163,37484,13263,19.1%
32,FPL_ElStatto,1573.0,1518.98,1562.73,1547.27,-0.27,589251,406399,157859,146340,49.9%
33,FplSigurd,1660.0,1688.45,1680.3,1667.37,-51.73,105611,853,85,47,22.5%
34,JoeBopara,1585.0,1594.8,1626.41,1600.22,-55.99,466855,64088,11255,16766,20.8%
35,dLincolnlawyer,1675.0,1687.83,1650.56,1647.57,-19.42,72027,919,1889,546,41.3%
36,FPL_Statoholic,1701.0,1569.22,1642.02,1642.61,47.85,33165,131523,4039,946,78.8%
37,FplAmateur,1719.0,1599.33,1591.73,1577.05,96.61,17796,56702,58106,49045,95.6%
38,wolacola,1677.0,1685.17,1685.35,1681.29,-40.28,68365,1112,77,4,29.4%
39,Hashtag_MEGA,1667.0,1684.38,1696.32,1697.67,-59.49,97556,1156,4,1,21.1%
40,dav_fifa,1668.0,1527.87,1504.41,1486.54,129.14,87375,340647,650304,651561,99%
41,MaulanaRiandi,1698.0,1658.58,1633.89,1608.83,31.76,36684,5389,7380,10325,69.7%
42,Rak464,1619.0,1569.22,1608.52,1593.1,-5.45,260692,131523,29531,23217,49.2%
43,ArneBarsnes,1728.0,1661.27,1657.81,1647.42,39.32,12836,4891,1100,561,76.3%
44,FPL_PapaSmurf,1656.0,1544.75,1553.15,1547.74,73.92,117694,238144,207593,144262,90.4%
45,gezza96,1714.0,1650.96,1612.58,1601.62,59.97,21918,7448,24204,15979,83.9%
46,Raghy78d,1752.0,1680.6,1691.26,1667.82,38.74,4912,1430,38,47,75.9%
47,pdhFPL,1626.0,1691.09,1682.08,1686.67,-89.83,243769,746,82,4,9%
48,NeilRankinZA,1579.0,1528.93,1514.97,1521.7,24.01,508552,334701,534635,299849,67.1%
49,EuanThompson,1730.0,1705.39,1695.16,1686.04,1.44,11993,230,7,4,53.7%
50,FPLrookie1,1664.0,1665.29,1635.93,1611.66,-5.99,96540,4113,6267,8944,49%
51,FplBudget,1702.0,1578.41,1609.78,1601.9,71.23,37051,104643,27554,15846,89.5%
52,FF_Vader,1692.0,1636.4,1653.89,1629.75,18.46,44296,14409,1519,2616,63.7%
53,alasdairtweets,1750.0,1661.67,1661.14,1640.55,62.42,5395,4762,782,1261,86%
54,fpl_analytic,1570.0,1502.84,1574.03,1565.91,-12.64,614993,537535,112670,75139,45.3%
55,stephendeyoung,1578.0,1534.91,1551.8,1531.14,5.17,517878,293819,217426,235246,55.8%
56,James_Ingram15,1617.0,1637.27,1662.3,1650.19,-66.78,289216,13842,675,479,17.8%
57,FPL_Kid,1673.0,1600.21,1585.81,1583.07,50.31,76462,55157,72798,37049,81.5%
58,fpl_jan,1791.0,1739.96,1667.45,1637.59,78.11,763,34,265,1399,91.3%
59,FPL_Mezzala,1706.0,1709.17,1677.37,1663.98,-9.95,28344,186,104,70,46.9%
60,morstats,1646.0,1605.23,1570.97,1554.26,36.84,146584,45626,124487,114548,75%
61,FplOpinion,1635.0,1595.65,1636.29,1634.42,-21.49,204914,62567,6188,1740,39.9%
62,_NeilFPL,1691.0,1650.23,1646.91,1635.74,13.53,45572,7878,2711,1613,60.9%
63,UnderstandingF8,1597.0,1502.81,1513.75,1493.2,60.34,386440,537535,552417,571418,85.2%
64,EejRoberts,1618.0,1656.16,1662.84,1652.55,-72.61,262673,6055,650,363,15.5%
65,FPL_Gents,1639.0,1602.03,1628.79,1611.89,-9.08,174054,52003,9915,8903,NAN%
66,FPLHaggis,1650.0,1626.34,1608.41,1591.52,12.5,135409,22356,29913,26066,57.9%
67,Jumpthewave,1691.0,1661.2,1630.45,1609.18,29.03,46077,4934,8910,10031,67.8%
68,DarraghNoonan,1719.0,1681.61,1663.92,1652.72,20.1,20747,1313,584,363,64.8%
69,FPL_Chase,1699.0,1642.82,1666.09,1650.26,12.17,35399,10463,479,479,60.4%
70,jonwalker88,1629.0,1662.64,1689.2,1683.9,-83.57,211230,4580,44,4,12%
71,TomDavies_17,1707.0,1647.24,1645.75,1635.6,30.91,27442,8721,3197,1634,71.2%
72,FodWeTrust,1603.0,1608.25,1649.63,1634.27,-57.94,370873,41857,2162,1744,19.9%
73,FplPass,1705.0,1609.31,1571.43,1566.71,94.12,29228,40193,122154,73253,94.5%
74,prparsons,1658.0,1642.45,1629.05,1604.06,0.06,111796,10891,9833,13380,52.6%
75,FplJeb,1579.0,1545.95,1657.12,1640.45,-71.44,541468,232837,1288,1261,16.1%
76,JosesBusDrivers,1570.0,1662.13,1689.65,1692.49,-145.53,611802,4663,44,1,1%
77,hidethecactus,1699.0,1606.67,1590.09,1575.91,75.31,36264,44013,61357,51291,90.6%
78,tweetsofagooner,1512.0,1490.06,1561.26,1555.95,-58.84,1194662,656473,163866,108887,21.2%
79,FplRafiki,1694.0,1579.46,1565.3,1558.84,93.17,41936,102246,148005,98191,95.1%
80,FPL_Audit,1762.0,1634.16,1637.49,1616.36,99.45,3234,15958,5649,6756,NAN%
81,DaveCZfpl,1543.0,1535.59,1600.19,1590.68,-67.36,825139,290186,42038,26928,17.7%
82,PaulGiurculet,1780.0,1637.5,1578.98,1563.52,154.91,1386,13567,95414,82061,99.8%
