,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id
0,2210271,1,True,True,1,2021-08-13T19:00:00Z,90,False,True,1,0.0,3,2.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 77}, {'value': 1, 'element': 81}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 91}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 1}], 'h': [{'value': 4, 'element': 80}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 81}, {'value': 2, 'element': 91}, {'value': 1, 'element': 80}]}, {'identifier': 'bps', 'a': [{'value': 17, 'element': 16}, {'value': 14, 'element': 8}, {'value': 14, 'element': 10}, {'value': 13, 'element': 7}, {'value': 13, 'element': 21}, {'value': 13, 'element': 478}, {'value': 12, 'element': 67}, {'value': 11, 'element': 1}, {'value': 9, 'element': 17}, {'value': 7, 'element': 26}, {'value': 4, 'element': 22}, {'value': 4, 'element': 531}, {'value': -2, 'element': 530}], 'h': [{'value': 33, 'element': 81}, {'value': 32, 'element': 91}, {'value': 30, 'element': 80}, {'value': 25, 'element': 77}, {'value': 23, 'element': 483}, {'value': 22, 'element': 76}, {'value': 22, 'element': 83}, {'value': 9, 'element': 479}, {'value': 6, 'element': 84}, {'value': 4, 'element': 78}, {'value': 4, 'element': 96}, {'value': 4, 'element': 97}, {'value': 3, 'element': 90}, {'value': 1, 'element': 88}]}]",3,2,66342
1,2210276,1,False,True,6,2021-08-14T11:30:00Z,90,False,True,10,1.0,13,5.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 185}], 'h': [{'value': 3, 'element': 277}, {'value': 1, 'element': 274}, {'value': 1, 'element': 289}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 188}], 'h': [{'value': 4, 'element': 272}, {'value': 1, 'element': 284}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 184}, {'value': 1, 'element': 196}], 'h': [{'value': 1, 'element': 275}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 199}], 'h': [{'value': 2, 'element': 270}]}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 24, 'element': 188}, {'value': 23, 'element': 185}, {'value': 17, 'element': 199}, {'value': 15, 'element': 198}, {'value': 14, 'element': 194}, {'value': 8, 'element': 184}, {'value': 8, 'element': 196}, {'value': 8, 'element': 267}, {'value': 7, 'element': 186}, {'value': 7, 'element': 187}, {'value': 7, 'element': 193}, {'value': 3, 'element': 189}, {'value': 3, 'element': 463}, {'value': 1, 'element': 192}], 'h': [{'value': 61, 'element': 277}, {'value': 47, 'element': 272}, {'value': 28, 'element': 289}, {'value': 25, 'element': 274}, {'value': 25, 'element': 284}, {'value': 16, 'element': 270}, {'value': 12, 'element': 273}, {'value': 10, 'element': 285}, {'value': 8, 'element': 288}, {'value': 5, 'element': 275}, {'value': 5, 'element': 278}, {'value': 4, 'element': 271}, {'value': 3, 'element': 287}, {'value': 3, 'element': 485}]}]",3,4,66347
2,2210272,1,False,True,2,2021-08-14T14:00:00Z,90,False,True,4,2.0,5,1.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 63}, {'value': 1, 'element': 74}], 'h': [{'value': 1, 'element': 98}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 55}, {'value': 1, 'element': 75}], 'h': [{'value': 1, 'element': 107}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 63}], 'h': [{'value': 1, 'element': 98}, {'value': 1, 'element': 108}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 69}], 'h': [{'value': 4, 'element': 112}]}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 28, 'element': 74}, {'value': 24, 'element': 55}, {'value': 22, 'element': 56}, {'value': 20, 'element': 63}, {'value': 19, 'element': 69}, {'value': 15, 'element': 59}, {'value': 14, 'element': 70}, {'value': 14, 'element': 73}, {'value': 13, 'element': 75}, {'value': 12, 'element': 60}, {'value': 11, 'element': 61}, {'value': 7, 'element': 53}, {'value': 5, 'element': 462}, {'value': 4, 'element': 64}], 'h': [{'value': 28, 'element': 107}, {'value': 17, 'element': 112}, {'value': 13, 'element': 98}, {'value': 13, 'element': 113}, {'value': 10, 'element': 104}, {'value': 10, 'element': 110}, {'value': 9, 'element': 118}, {'value': 8, 'element': 106}, {'value': 8, 'element': 115}, {'value': 3, 'element': 101}, {'value': 3, 'element': 105}, {'value': 3, 'element': 108}, {'value': 3, 'element': 109}, {'value': 2, 'element': 111}]}]",2,2,66343
3,2210273,1,False,True,3,2021-08-14T14:00:00Z,90,False,True,7,0.0,6,3.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 122}, {'value': 1, 'element': 137}, {'value': 1, 'element': 527}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 125}, {'value': 1, 'element': 138}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': []}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 146}], 'h': [{'value': 1, 'element': 143}]}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 22, 'element': 148}, {'value': 20, 'element': 146}, {'value': 16, 'element': 150}, {'value': 15, 'element': 474}, {'value': 13, 'element': 477}, {'value': 9, 'element': 488}, {'value': 8, 'element': 157}, {'value': 7, 'element': 162}, {'value': 5, 'element': 159}, {'value': 3, 'element': 155}, {'value': 1, 'element': 149}], 'h': [{'value': 46, 'element': 122}, {'value': 39, 'element': 527}, {'value': 27, 'element': 119}, {'value': 27, 'element': 133}, {'value': 24, 'element': 125}, {'value': 22, 'element': 127}, {'value': 21, 'element': 137}, {'value': 20, 'element': 143}, {'value': 19, 'element': 138}, {'value': 14, 'element': 123}, {'value': 6, 'element': 134}, {'value': 4, 'element': 142}, {'value': 1, 'element': 141}]}]",2,4,66344
4,2210274,1,False,True,4,2021-08-14T14:00:00Z,90,False,True,16,1.0,8,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 525}], 'h': [{'value': 1, 'element': 173}, {'value': 1, 'element': 177}, {'value': 1, 'element': 180}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 345}], 'h': [{'value': 1, 'element': 174}, {'value': 1, 'element': 180}, {'value': 1, 'element': 482}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 173}, {'value': 1, 'element': 180}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 334}], 'h': [{'value': 2, 'element': 170}]}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 24, 'element': 525}, {'value': 20, 'element': 341}, {'value': 16, 'element': 334}, {'value': 16, 'element': 345}, {'value': 14, 'element': 351}, {'value': 12, 'element': 335}, {'value': 12, 'element': 491}, {'value': 8, 'element': 332}, {'value': 7, 'element': 460}, {'value': 6, 'element': 338}, {'value': 5, 'element': 350}, {'value': 4, 'element': 336}, {'value': 3, 'element': 349}, {'value': 2, 'element': 346}], 'h': [{'value': 41, 'element': 180}, {'value': 31, 'element': 173}, {'value': 26, 'element': 177}, {'value': 21, 'element': 482}, {'value': 14, 'element': 170}, {'value': 13, 'element': 178}, {'value': 10, 'element': 165}, {'value': 10, 'element': 484}, {'value': 9, 'element': 168}, {'value': 9, 'element': 169}, {'value': 7, 'element': 174}, {'value': 6, 'element': 171}, {'value': 3, 'element': 175}, {'value': 2, 'element': 503}]}]",2,3,66345
5,2210275,1,False,True,5,2021-08-14T14:00:00Z,90,False,True,20,0.0,9,1.0,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 205}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 207}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 432}, {'value': 1, 'element': 443}], 'h': [{'value': 1, 'element': 205}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 475}], 'h': [{'value': 3, 'element': 200}]}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 17, 'element': 439}, {'value': 17, 'element': 475}, {'value': 16, 'element': 426}, {'value': 15, 'element': 429}, {'value': 15, 'element': 431}, {'value': 14, 'element': 436}, {'value': 11, 'element': 432}, {'value': 10, 'element': 435}, {'value': 9, 'element': 461}, {'value': 6, 'element': 443}, {'value': 4, 'element': 434}, {'value': 3, 'element': 445}, {'value': 2, 'element': 430}, {'value': 2, 'element': 440}], 'h': [{'value': 33, 'element': 207}, {'value': 31, 'element': 200}, {'value': 29, 'element': 208}, {'value': 29, 'element': 219}, {'value': 23, 'element': 205}, {'value': 23, 'element': 217}, {'value': 20, 'element': 210}, {'value': 20, 'element': 216}, {'value': 9, 'element': 212}, {'value': 7, 'element': 211}, {'value': 3, 'element': 340}, {'value': 3, 'element': 458}, {'value': 2, 'element': 213}, {'value': -1, 'element': 215}]}]",2,3,66346
6,2210280,1,False,True,8,2021-08-14T14:00:00Z,90,False,True,2,2.0,18,3.0,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 35}, {'value': 1, 'element': 337}], 'h': [{'value': 1, 'element': 399}, {'value': 1, 'element': 450}, {'value': 1, 'element': 472}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 32}, {'value': 1, 'element': 492}], 'h': [{'value': 1, 'element': 381}, {'value': 1, 'element': 450}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 38}], 'h': [{'value': 1, 'element': 391}, {'value': 1, 'element': 467}, {'value': 1, 'element': 495}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 4, 'element': 30}], 'h': []}, {'identifier': 'bonus', 'a': [], 'h': []}, {'identifier': 'bps', 'a': [{'value': 28, 'element': 337}, {'value': 27, 'element': 35}, {'value': 21, 'element': 44}, {'value': 18, 'element': 30}, {'value': 16, 'element': 32}, {'value': 15, 'element': 45}, {'value': 14, 'element': 492}, {'value': 13, 'element': 41}, {'value': 13, 'element': 52}, {'value': 12, 'element': 38}, {'value': 4, 'element': 43}, {'value': 3, 'element': 39}, {'value': 2, 'element': 51}, {'value': 1, 'element': 42}], 'h': [{'value': 44, 'element': 450}, {'value': 30, 'element': 399}, {'value': 28, 'element': 472}, {'value': 16, 'element': 381}, {'value': 13, 'element': 467}, {'value': 12, 'element': 384}, {'value': 11, 'element': 387}, {'value': 9, 'element': 389}, {'value': 6, 'element': 379}, {'value': 6, 'element': 390}, {'value': 4, 'element': 391}, {'value': 3, 'element': 378}, {'value': 3, 'element': 380}, {'value': 2, 'element': 495}]}]",2,2,66351
7,2210278,1,False,False,7,2021-08-14T16:30:00Z,0,False,False,11,,15,,[],4,2,66349
8,2210277,1,False,False,9,2021-08-15T13:00:00Z,0,False,False,19,,14,,[],3,2,66348
9,2210279,1,False,False,10,2021-08-15T15:30:00Z,0,False,False,12,,17,,[],4,4,66350
