,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1148.0,1205.51,1219.85,1218.97,-79.78,587535,41645,1993,264,7.2%
1,FplSimpson,1128.0,1202.39,1232.53,1218.66,-103.25,819367,48665,335,290,2.6%
2,FplStatsdan,1107.0,1162.49,1204.09,1191.23,-92.83,1105433,192489,8792,6424,4%
3,FF_Trout,1206.0,1238.21,1247.13,1242.15,-49.19,160695,8246,35,1,18.2%
4,dilksybab,1184.0,1248.02,1246.78,1222.93,-67.11,280195,4590,35,205,11%
5,theFPLkiwi,1097.0,1151.81,1212.13,1195.38,-104.04,1254656,256306,4135,4796,2.5%
6,jameso_12,1126.0,1132.85,1180.26,1155.31,-44.02,847500,415017,46021,71180,20.5%
7,api_kakayou,1252.0,1184.71,1176.55,1168.55,63.49,36600,92855,55415,34232,90.1%
8,usafpl,1093.0,1119.74,1161.84,1144.03,-62.68,1318768,545348,112001,120475,12.4%
9,CazzaFPL,1219.0,1215.68,1253.22,1224.53,-25.53,112216,26000,1,187,31.7%
10,PlanetosFPL,1149.0,1202.46,1222.41,1203.39,-73.28,578640,48599,1426,1832,9.3%
11,analytic_fpl,1175.0,1188.97,1221.11,1206.2,-43.88,345929,80068,1622,1283,20.6%
12,rogue_wee,1135.0,1183.87,1191.89,1173.16,-60.34,734975,96921,21473,25715,13.2%
13,mtthwmn,1192.0,1201.9,1221.72,1212.53,-33.1,231849,49251,1525,590,26.6%
14,cmusson32,1184.0,1202.07,1205.07,1212.94,-35.4,280669,49035,8219,570,25.1%
15,FPLstudent2,1186.0,1253.12,1222.4,1238.25,-63.39,268864,3610,1426,4,12.3%
16,peterhandleson,1078.0,1111.63,1152.9,1140.08,-70.75,1563043,634918,157324,143717,9.8%
17,chrishp,1193.0,1216.11,1196.84,1189.78,-19.38,227059,25661,15914,7608,35.9%
18,plfantasy,1235.0,1184.83,1167.21,1148.59,56.83,68004,92593,90509,98265,87.2%
19,FPLmeta,1227.0,1208.84,1219.59,1216.47,-0.77,86102,35124,2020,406,48.8%
20,FplAuto,1135.0,1190.66,1192.66,1170.55,-61.67,736866,75439,20153,30093,12.7%
21,NourEldin_z3r0,1266.0,1244.32,1220.59,1205.75,31.33,21324,5805,1852,1368,72.8%
22,UkendtPerson45,1125.0,1237.17,1224.55,1212.94,-111.54,860202,8690,1216,570,1.6%
23,MikkelTokvam,1211.0,1257.63,1235.14,1217.08,-36.72,139499,2520,220,369,24.4%
24,Klaudioz,1188.0,1133.87,1103.21,1091.5,67.59,259526,407666,706392,646743,91.4%
25,FantasianPL,1064.0,1150.3,1164.97,1153.66,-105.11,1795642,266955,98232,79193,2.4%
26,rama96ab,1190.0,1225.41,1192.15,1187.3,-22.54,245451,15969,20996,9455,33.7%
27,FPL_LFE,1218.0,1193.16,1158.29,1135.72,45.13,115632,68934,129766,166731,81.3%
28,_jtreble,1227.0,1232.6,1217.1,1195.19,0.73,87473,11317,2628,4862,50.2%
29,DanielSaetre,1263.0,1226.33,1236.74,1224.44,21.23,24009,15264,187,188,66.2%
30,FBinary01,1290.0,1177.91,1185.2,1173.91,98.51,7089,119763,34668,24379,97.6%
31,FPL_Data,1128.0,1169.12,1187.88,1186.4,-66.3,822367,157999,28457,10095,11.4%
32,FPL_ElStatto,1171.0,1125.56,1140.88,1128.39,26.59,378102,483773,242879,220193,69.7%
33,FplSigurd,1196.0,1266.21,1229.15,1222.89,-54.15,209999,1312,776,205,15.7%
34,JoeBopara,1129.0,1164.73,1190.38,1166.96,-58.03,810279,179576,23971,38701,14%
35,dLincolnlawyer,1245.0,1256.76,1204.79,1207.77,11.59,47685,2729,8484,1109,59.2%
36,FPL_Statoholic,1210.0,1172.59,1220.27,1218.0,-7.99,144181,140384,1888,300,43.5%
37,FplAmateur,1239.0,1185.75,1159.53,1146.82,63.91,57663,89507,122874,108087,90.1%
38,wolacola,1235.0,1248.27,1238.12,1230.55,-15.81,67198,4542,155,78,38.2%
39,Hashtag_MEGA,1211.0,1227.82,1223.96,1220.72,-25.36,139499,14240,1272,243,31.8%
40,dav_fifa,1230.0,1099.96,1107.52,1095.53,116.51,80124,782153,628188,591058,98.8%
41,MaulanaRiandi,1248.0,1254.26,1223.86,1204.3,9.79,42057,3476,1290,1715,57.6%
42,Rak464,1186.0,1172.94,1188.24,1173.93,-5.13,271628,139119,27432,24169,45.6%
43,ArneBarsnes,1236.0,1211.66,1199.01,1193.83,22.72,64226,31477,13292,5206,67.2%
44,FPL_PapaSmurf,1240.0,1177.77,1160.64,1149.65,65.84,57154,120228,117911,93973,90.8%
45,gezza96,1260.0,1233.94,1181.53,1174.66,53.21,27168,10700,41841,23055,85.8%
46,Raghy78d,1323.0,1258.98,1254.05,1229.72,63.71,1182,2345,1,93,90.1%
47,pdhFPL,1177.0,1253.21,1232.45,1229.79,-72.98,329781,3594,335,93,9.4%
48,NeilRankinZA,1109.0,1090.95,1076.09,1079.86,14.83,1073914,907014,1174652,837974,61.6%
49,EuanThompson,1245.0,1267.79,1254.76,1246.33,-22.99,47051,1177,1,1,33.4%
50,FPLrookie1,1216.0,1229.29,1209.34,1191.46,-5.24,122838,13322,5392,6318,45.5%
51,FplBudget,1213.0,1147.22,1169.56,1160.53,40.73,133586,287738,82800,54929,78.8%
