,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,548,Mendy,8,1,51,8,4.021,False,1,4.021
1,66,Webster,36,2,44,8,3.933,False,1,3.933
2,232,Chilwell,8,2,59,8,4.7010000000000005,False,1,4.7010000000000005
3,457,Doherty,6,2,58,8,4.282,False,1,4.282
4,4,Aubameyang,3,3,117,8,5.524,False,1,5.524
5,254,Salah,14,3,124,8,5.032,False,1,5.032
6,272,De Bruyne,43,3,115,8,5.1610000000000005,False,1,5.1610000000000005
7,276,Sterling,43,3,116,8,4.855,False,1,4.855
8,390,Son,6,3,96,8,5.574,False,1,5.574
9,117,Werner,8,4,94,8,5.49,False,1,5.49
10,388,Kane,6,4,110,8,6.45,True,2,12.9
