,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1964.0,2041.41,2065.04,2070.08,-114.6,400671,32267,2732,389,4.6%
1,FplSimpson,2032.0,2082.58,2104.61,2094.08,-81.43,145752,8936,135,59,13%
2,FplStatsdan,1978.0,2030.03,2033.08,2018.38,-68.65,334872,41943,13621,9317,17.1%
3,FF_Trout,2055.0,2115.47,2113.61,2111.24,-77.93,94619,2244,38,4,14%
4,dilksybab,2116.0,2186.14,2158.51,2121.77,-58.57,22755,17,1,1,21%
5,theFPLkiwi,1926.0,2024.46,2071.02,2047.44,-141.48,620176,48456,1860,1770,1.6%
6,jameso_12,1950.0,1969.14,2026.66,1997.76,-67.77,476143,154093,17206,21044,17.2%
7,api_kakayou,2107.0,2057.47,2037.28,2024.36,48.02,29154,20607,11454,7000,74.9%
8,usafpl,1960.0,1962.26,1971.05,1942.63,-18.12,422247,174023,98195,111610,40.6%
9,CazzaFPL,2138.0,2118.95,2139.06,2102.14,-1.59,11970,1843,5,6,49.5%
10,PlanetosFPL,2027.0,2090.26,2103.31,2080.48,-83.89,159337,6830,154,154,12%
11,analytic_fpl,2075.0,2050.24,2048.56,2039.11,9.57,62781,25139,6716,2896,55.1%
12,rogue_wee,2024.0,2077.73,2078.13,2049.15,-63.73,167134,10659,1037,1607,18.8%
13,mtthwmn,2074.0,2092.39,2102.94,2090.46,-40.82,63893,6241,158,94,28.8%
14,cmusson32,1991.0,2053.8,2061.82,2072.28,-91.27,278298,23166,3107,292,9.7%
15,FPLstudent2,2073.0,2158.55,2092.92,2116.86,-68.8,65418,222,381,4,17%
16,peterhandleson,1820.0,1885.01,1900.19,1891.86,-91.97,1497204,542244,411943,323053,9.5%
17,chrishp,2114.0,2113.42,2068.63,2060.23,14.17,24109,2619,2217,752,57.5%
18,plfantasy,2068.0,2028.4,1979.87,1962.63,58.71,73821,44213,78406,66602,79.6%
19,FPLmeta,2075.0,2068.06,2092.95,2082.05,-25.72,62233,14752,381,146,36.5%
20,FplAuto,2016.0,2089.26,2068.07,2029.35,-65.38,191178,7081,2273,5275,18.4%
21,NourEldin_z3r0,2114.0,2100.75,2031.34,2017.77,45.23,24476,4594,14577,9475,73.4%
22,UkendtPerson45,2081.0,2154.71,2102.35,2085.76,-52.23,54920,275,160,128,24%
23,MikkelTokvam,2080.0,2129.56,2077.74,2059.82,-28.0,55847,1044,1077,760,35.2%
24,Klaudioz,2019.0,1952.74,1892.75,1878.07,92.25,183478,208413,467303,417124,90.7%
25,FantasianPL,1901.0,2023.85,1985.58,1973.56,-112.44,794442,49446,66178,48464,4.8%
26,rama96ab,2046.0,2103.01,2078.24,2064.65,-55.2,113051,4164,1036,630,22.5%
27,FPL_LFE,2102.0,2062.83,1996.77,1977.64,70.76,33410,17463,48331,42715,84.5%
28,_jtreble,2124.0,2129.33,2078.95,2050.84,18.7,18259,1084,1012,1512,60.3%
29,DanielSaetre,2085.0,2058.24,2067.3,2048.96,7.31,50191,19969,2484,1616,54%
30,FBinary01,2131.0,2064.69,2037.38,2017.39,72.0,14887,16606,11396,9617,84.9%
31,FPL_Data,1959.0,2028.44,1996.2,2001.92,-69.1,428383,44213,49199,18763,16.9%
32,FPL_ElStatto,1985.0,1948.75,1975.13,1957.87,4.73,304740,221983,88098,75337,52.6%
33,FplSigurd,2115.0,2167.65,2130.73,2109.64,-40.09,23537,100,8,5,29%
34,JoeBopara,1973.0,2037.73,2059.56,2029.21,-88.75,357995,35246,3358,5306,10.4%
35,dLincolnlawyer,2078.0,2132.51,2080.03,2072.41,-35.98,58852,896,912,292,31%
36,FPL_Statoholic,2095.0,1990.08,2039.39,2045.15,50.13,39482,102274,10660,2078,75.7%
37,FplAmateur,2073.0,2002.83,1963.3,1950.96,81.54,65014,78534,118774,92632,88.1%
38,wolacola,2112.0,2117.48,2095.05,2094.82,-9.76,25633,2017,324,57,45.2%
39,Hashtag_MEGA,2032.0,2099.99,2114.82,2113.24,-97.0,145308,4706,35,4,7.8%
40,dav_fifa,2032.0,1902.68,1871.94,1857.37,135.5,147331,434362,619277,572132,97.8%
41,MaulanaRiandi,2163.0,2141.48,2061.99,2034.26,65.09,5128,589,3086,4067,82%
42,Rak464,2060.0,2024.82,2045.62,2023.87,8.95,86751,48131,7709,7167,54.9%
43,ArneBarsnes,2181.0,2118.18,2096.01,2081.0,63.36,2525,1968,294,150,81.3%
44,FPL_PapaSmurf,2014.0,1942.9,1942.69,1936.3,53.88,197742,246529,189180,128730,77.6%
45,gezza96,2143.0,2092.15,2028.51,2009.05,80.92,10324,6432,16251,13811,88%
46,Raghy78d,2151.0,2118.27,2100.82,2070.05,35.4,7816,1964,171,389,68.3%
47,pdhFPL,2001.0,2127.47,2092.25,2104.79,-126.42,241079,1220,416,6,2.7%
48,NeilRankinZA,2002.0,1954.04,1933.21,1943.07,39.19,237389,203232,231865,110166,70.3%
49,EuanThompson,2173.0,2179.18,2130.97,2119.34,10.81,3503,28,5,1,55.8%
50,FPLrookie1,2026.0,2065.34,2029.87,1999.46,-24.61,162624,16265,15452,20083,37.1%
51,FplBudget,2107.0,2016.8,2015.95,2011.28,72.83,29262,57784,24715,12994,85.5%
52,FF_Vader,2134.0,2103.88,2109.96,2077.59,17.43,13629,4045,71,217,59.4%
