,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,Folarin,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,232223.jpg,0.0,Balogun,0.2,False,,u,1,3,0,10024,0,63251,26,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,681,68,672,69,646,66,684,70,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,552,101,588,49,693,74,344,53,0.0,0.0
1,,,58822,0,0,-2,2,0,2,0.0,1.5,0,Cédric,0.5,2,False,,,38,58822.jpg,1.0,Alves Soares,0.4,False,,a,1,3,3,43719,897,49587,448,0.1,0.8,Cédric,59,0,0,0,0,0,0,0,0,0,0,0,15,2.0,4.3,0.0,0.6,0,0.00,0.02,0.02,0.39,515,185,450,164,469,170,509,181,,,,,,,0.0,0.0,0.03,0.03,0.59,0.0,831,267,291,91,435,148,261,104,0.0,0.0
2,100.0,100.0,153256,0,0,-1,1,0,3,0.0,1.2,0,Mohamed,0.2,3,False,,2023-12-30T22:30:09.113694Z,44,153256.jpg,2.0,Elneny,0.1,False,,a,1,3,6,13368,19,20025,38,0.0,1.4,M.Elneny,25,0,1,0,0,0,0,0,0,0,0,0,16,4.0,2.1,10.0,1.6,0,0.08,0.01,0.09,0.13,501,226,464,227,430,213,497,226,,,,,,,0.29,0.0,0.04,0.33,0.47,0.0,526,310,351,163,297,123,473,157,0.0,0.0
3,100.0,100.0,438098,0,0,-1,1,0,3,0.0,1.2,0,Fábio,0.2,4,False,,2023-12-07T12:00:08.489004Z,54,438098.jpg,2.4,Ferreira Vieira,0.1,False,,a,1,3,22,11602,14,18944,23,0.0,4.1,Fábio Vieira,281,1,3,1,2,0,0,0,0,1,0,0,65,82.2,77.7,79.0,23.8,2,1.20,0.58,1.78,1.68,377,157,300,164,266,136,354,159,,,,,4.0,,0.38,0.0,0.19,0.57,0.54,0.64,125,77,383,184,246,103,454,149,0.64,0.32
4,100.0,100.0,226597,0,0,3,-3,3,2,0.0,4.8,1,Gabriel,3.8,5,False,,2024-01-20T15:30:09.437664Z,53,226597.jpg,4.0,dos Santos Magalhães,25.7,False,,a,1,3,103,2808537,9135,2879618,34445,0.7,19.4,Gabriel,2174,3,1,9,21,1,0,0,3,0,0,6,475,540.4,107.1,306.0,95.5,24,3.39,0.54,3.93,17.71,50,14,252,71,84,3,105,18,,,,,,,0.14,0.0,0.02,0.16,0.73,0.87,146,15,63,14,51,5,12,3,0.99,0.37
5,100.0,100.0,219847,1,-1,-3,3,2,3,0.0,12.8,7,Kai,11.8,6,False,,2023-12-23T20:00:08.458889Z,72,219847.jpg,4.1,Havertz,2.9,False,,a,1,3,110,266400,13412,431703,6251,1.6,15.3,Havertz,1773,8,5,9,17,0,0,0,7,0,0,8,314,442.4,379.2,526.0,134.7,20,7.91,1.78,9.69,12.84,99,40,67,53,36,21,47,35,,,,,3.0,,0.4,0.0,0.09,0.49,0.65,0.86,28,16,1,1,47,30,116,35,1.02,0.46
6,100.0,100.0,205651,0,0,-2,2,1,4,0.0,1.5,1,Gabriel,0.5,8,False,,2024-02-05T08:30:09.036230Z,78,205651.jpg,3.4,Fernando de Jesus,2.6,False,,a,1,3,65,1060335,771,1144689,2857,0.1,8.3,G.Jesus,1137,4,4,7,11,0,0,0,5,0,0,10,211,302.2,318.3,628.0,124.9,13,5.35,2.14,7.49,10.02,198,23,85,8,24,10,59,11,,,,,,,0.42,0.0,0.17,0.59,0.79,0.87,18,6,322,42,109,22,127,21,1.03,0.55
7,100.0,100.0,85955,0,0,-2,2,0,3,0.0,3.0,2,Jorge Luiz,2.0,9,False,,2023-12-18T00:00:09.353001Z,53,85955.jpg,1.7,Frello Filho,0.2,False,,a,1,3,30,10811,86,20559,84,0.4,5.7,Jorginho,723,0,1,2,9,0,0,0,1,0,0,0,136,120.4,159.3,10.0,29.0,8,0.10,1.16,1.26,6.26,332,139,181,116,431,214,327,146,,,,,,,0.01,0.0,0.14,0.15,0.78,1.12,130,80,162,73,357,157,345,108,1.0,0.25
8,,,440854,1,-1,-1,1,1,2,0.0,8.2,2,Jakub,7.2,10,False,,,44,440854.jpg,3.3,Kiwior,1.3,False,,a,1,3,53,164803,4017,25499,3436,1.6,12.0,Kiwior,785,1,3,4,8,0,0,0,1,0,0,1,213,210.6,94.0,88.0,39.4,9,0.74,0.54,1.28,4.26,253,95,267,78,243,70,283,94,,,,,,,0.08,0.0,0.06,0.14,0.49,0.92,564,113,8,2,110,19,176,74,1.03,0.46
9,0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,Marcus,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,479683.jpg,0.0,Oliveira Alencar,0.0,False,,u,1,3,0,819,0,11886,10,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,733,289,727,288,716,284,736,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,435,252,658,244,737,292,551,194,0.0,0.0
