,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,75.0,75.0,80201,0,0,-4,4,0,1,0.4,0.0,0,Bernd,0.0,1,False,Groin Injury - 75% chance of playing,2021-12-06T23:00:13.342729Z,46,80201.jpg,1.3,Leno,0.9,False,,d,1,3,4,60603,1,179531,1,0.0,0.9,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,307,25,595,63,578,57,371,25,,,,,,
1,0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,115918.jpg,0.0,Rúnarsson,0.7,False,,u,1,3,0,19017,0,67913,3,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,43,452,23,414,14,469,43,,,,,,
2,0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,47431.jpg,0.0,Borges Da Silva,0.1,False,,u,1,3,0,914,0,20300,0,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,642,262,641,262,641,262,642,262,,,,,,
3,0.0,0.0,54694,0,0,-4,4,0,4,0.0,0.0,0,Pierre-Emerick,1.0,4,False,Not being considered for selection on 15/12 - Expected back 18 Dec,2021-12-14T12:00:15.737242Z,96,54694.jpg,3.1,Aubameyang,2.1,False,,n,1,3,44,730133,0,812651,112,0.1,4.6,Aubameyang,1036,4,1,6,16,0,0,2,3,0,0,7,131,217.6,132.4,582.0,92.9,121,14,134,22,7,3,30,10,,,,,1.0,
4,,,58822,0,0,-3,3,0,2,0.5,0.0,0,Cédric,0.0,5,False,,,42,58822.jpg,0.3,Soares,0.2,False,,a,1,3,1,12012,1,23440,1,0.0,0.2,Cédric,188,0,0,0,7,0,0,0,1,0,0,0,21,30.8,36.1,1.0,6.8,369,139,285,89,390,146,377,134,,,,,,
5,100.0,100.0,59966,0,0,-2,2,0,4,2.7,2.2,0,Alexandre,2.2,6,False,,2021-08-13T14:30:14.582063Z,83,59966.jpg,2.3,Lacazette,1.8,False,,a,1,3,25,122315,74,188505,1,0.3,3.0,Lacazette,521,2,0,3,5,0,0,0,0,0,0,1,89,103.8,110.9,148.0,36.2,270,35,157,26,126,39,201,35,,,5.0,,2.0,
6,100.0,100.0,84450,0,0,-2,2,0,3,1.2,0.7,0,Granit,0.7,7,False,,2021-09-26T22:30:11.256623Z,48,84450.jpg,1.3,Xhaka,0.3,False,,a,1,3,8,18705,0,78549,0,0.1,1.7,Xhaka,465,0,0,1,12,0,0,0,1,1,0,0,49,54.0,60.5,14.0,12.8,339,143,233,135,347,173,341,156,,,4.0,,,
7,100.0,100.0,92371,0,0,-3,3,0,2,0.5,0.0,0,Pablo,0.0,8,False,,2021-10-26T22:00:11.791357Z,42,92371.jpg,0.5,Marí,0.1,False,,a,1,3,1,5310,0,13501,0,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,336,129,352,128,354,124,370,131,,,,,,
8,0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,98745.jpg,0.0,Bellerín,0.2,False,,u,1,3,0,3737,0,69757,1,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,605,216,600,216,587,214,605,216,,,,,,
9,,,101184,0,0,-3,3,0,2,0.5,0.0,0,Calum,0.0,10,False,,,42,101184.jpg,0.5,Chambers,0.2,False,,a,1,3,1,9835,0,29540,0,0.0,0.2,Chambers,170,0,0,0,7,0,0,0,0,0,0,0,27,45.4,17.2,12.0,7.5,348,134,331,113,351,121,373,132,,,,,,
10,0.0,0.0,111457,0,0,-2,2,0,2,0.0,0.0,0,Sead,0.0,11,False,Ankle injury - Expected back 16 Jan,2021-11-17T16:00:15.591844Z,43,111457.jpg,0.0,Kolasinac,0.1,False,,i,1,3,0,3602,0,10770,0,0.0,0.0,Kolasinac,91,0,0,0,5,0,0,0,1,0,0,0,6,4.2,0.2,0.0,0.4,428,156,422,157,465,187,441,156,,,,,,
11,100.0,100.0,153256,0,0,-1,1,0,3,1.7,1.2,0,Mohamed Naser,1.2,12,False,,2021-09-03T11:30:15.140806Z,44,153256.jpg,1.8,El Sayed Elneny,0.4,False,,a,1,3,9,32075,1,60966,3,0.3,2.0,Elneny,150,0,1,0,5,0,0,0,0,0,0,0,36,40.4,48.2,7.0,9.6,355,151,257,147,368,180,354,159,,,,,,
12,,,154043,0,0,-3,3,0,3,0.7,0.2,0,Ainsley,0.2,13,False,,,52,154043.jpg,1.5,Maitland-Niles,0.1,False,,a,1,3,12,3241,0,7327,0,0.0,2.3,Maitland-Niles,263,0,0,2,4,0,0,0,0,0,0,0,44,42.6,41.3,9.0,9.3,352,149,269,153,360,177,359,162,,,,,,
13,100.0,100.0,156074,0,0,-4,4,0,2,0.7,0.2,0,Rob,0.2,14,False,,2021-09-11T17:30:15.865590Z,41,156074.jpg,0.3,Holding,0.5,False,,a,1,3,1,26185,2,143911,1,0.0,0.2,Holding,201,0,0,0,7,0,0,0,1,0,0,0,28,69.8,0.9,24.0,9.5,322,125,401,147,314,106,356,128,,,,,,
14,100.0,100.0,167199,0,0,0,0,0,3,2.5,2.0,0,Thomas,2.0,15,False,,2021-11-19T16:30:08.958526Z,50,167199.jpg,2.7,Partey,0.3,False,,a,1,3,32,55858,0,42601,4,0.4,6.4,Partey,979,1,0,5,13,0,0,0,2,0,0,1,152,157.8,119.9,158.0,43.7,197,71,150,92,116,62,152,78,,,3.0,,,
15,100.0,100.0,192895,0,0,-3,3,2,2,4.5,4.0,0,Kieran,4.0,16,False,,2021-10-22T22:30:11.717934Z,47,192895.jpg,4.8,Tierney,4.8,False,,a,1,3,48,554341,94,777107,0,0.9,10.2,Tierney,836,0,2,5,12,0,0,0,0,0,0,7,204,150.2,193.8,83.0,42.8,207,83,81,16,202,49,160,46,,,,,,
16,100.0,100.0,195735,0,0,-6,6,0,3,0.7,0.2,0,Nicolas,0.2,17,False,,2021-08-28T18:30:11.395641Z,69,195735.jpg,2.6,Pépé,0.8,False,,a,1,3,21,98710,0,314740,0,0.0,3.0,Pépé,489,0,2,2,6,0,0,0,0,0,0,0,67,78.2,187.8,238.0,50.6,311,129,85,58,69,39,126,64,1.0,,2.0,,3.0,
17,0.0,0.0,198849,0,0,0,0,0,3,0.0,0.0,0,Lucas,0.0,18,False,Joined Fiorentina on a season-long loan - Expected back 01 Jul,2021-08-25T22:00:08.179808Z,45,198849.jpg,0.0,Torreira,0.1,False,,u,1,3,0,6292,0,32790,0,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,550,209,543,211,522,204,552,210,,,,,,
18,100.0,100.0,205533,0,0,-1,1,0,4,0.8,0.3,0,Edward,0.3,20,False,,2021-08-08T18:00:05.173437Z,54,205533.jpg,1.0,Nketiah,0.1,False,,a,1,3,2,14747,1,16265,1,0.1,0.4,Nketiah,30,0,0,0,2,0,0,0,0,0,0,0,8,7.8,32.1,15.0,5.5,419,51,292,42,344,56,385,50,,,,,,
19,100.0,100.0,209289,0,0,5,-5,1,3,2.5,2.0,0,Emile,2.0,21,False,,2021-12-06T23:00:13.367908Z,60,209289.jpg,4.9,Smith Rowe,24.0,False,,a,1,3,69,2891350,41,1414828,157,0.3,11.5,Smith Rowe,1138,5,2,5,20,0,0,0,0,0,0,6,246,317.2,271.1,284.0,87.1,46,16,45,32,53,31,36,23,2.0,,,,,
20,100.0,100.0,223340,0,0,-3,3,1,3,3.5,3.0,0,Bukayo,3.0,22,False,,2021-11-27T16:30:12.074272Z,62,223340.jpg,3.6,Saka,8.8,False,,a,1,3,58,1154325,22,1585707,27,0.5,9.4,Saka,1153,2,4,7,14,0,0,0,2,0,0,3,194,236.6,361.0,438.0,103.3,107,38,17,11,25,11,20,13,4.0,,,,,
21,100.0,100.0,226597,0,0,2,-2,2,2,4.0,3.5,0,Gabriel,3.5,23,False,,2021-08-04T10:30:07.822243Z,52,226597.jpg,5.2,Magalhães,4.8,False,,a,1,3,67,507167,149,148176,7,0.7,12.9,Gabriel,1148,2,0,7,13,0,0,0,2,0,0,8,287,321.8,40.9,169.0,53.1,41,13,270,80,109,15,114,28,,,,,,
22,0.0,0.0,233963,0,0,0,0,0,2,0.0,0.0,0,Konstantinos,0.0,24,False,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,45,233963.jpg,0.0,Mavropanos,0.0,False,,u,1,3,0,0,0,43,0,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,571,212,563,212,543,209,572,212,,,,,,
23,0.0,0.0,242166,0,0,0,0,0,3,0.0,0.0,0,Mattéo,0.0,25,False,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,45,242166.jpg,0.0,Guendouzi,0.0,False,,u,1,3,0,0,0,122,0,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,574,222,567,223,547,216,575,222,,,,,,
24,100.0,100.0,444145,0,0,-3,3,0,3,3.8,3.3,0,Gabriel Teodoro,3.3,26,False,,2021-12-08T00:00:12.645467Z,52,444145.jpg,3.3,Martinelli Silva,0.4,False,,a,1,3,30,41944,10,38924,1,0.6,5.8,Martinelli,435,1,3,2,6,0,0,0,0,0,0,0,93,101.6,126.4,134.0,36.2,273,113,144,88,139,75,200,98,,,,,,
25,0.0,0.0,462424,0,0,0,0,0,2,0.0,0.0,0,William,0.0,27,False,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15T17:30:06.383244Z,45,462424.jpg,0.0,Saliba,0.0,False,,u,1,3,0,0,0,174,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,590,214,582,214,565,211,590,214,,,,,,
