,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,70,Ryan,36,1,44,14,4.138,False,1,12.7,4.138
1,123,James,8,2,53,14,4.557,False,1,18.3,4.557
2,232,Chilwell,8,2,62,14,4.4460000000000015,False,1,35.4,4.4460000000000015
3,255,Robertson,14,2,72,14,4.625,False,1,17.9,4.625
4,251,Mané,14,3,119,14,5.422999999999999,False,1,8.0,5.422999999999999
5,254,Salah,14,3,123,14,6.7570000000000014,True,2,34.5,13.514000000000003
6,272,De Bruyne,43,3,119,14,6.005,False,1,28.1,6.005
7,302,Fernandes,1,3,110,14,5.737,False,1,42.5,5.737
8,306,Rashford,1,3,94,14,5.551,False,1,7.0,5.551
9,117,Werner,8,4,94,14,5.3820000000000014,False,1,19.9,5.3820000000000014
10,388,Kane,6,4,109,14,5.664,False,1,41.0,5.664
