,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,291,de Gea,1,1,54,9,4.212,False,1,4.212
1,255,Robertson,14,2,71,9,4.58,False,1,4.58
2,298,Maguire,1,2,54,9,4.597,False,1,4.597
3,313,Wan-Bissaka,1,2,54,9,4.478,False,1,4.478
4,4,Aubameyang,3,3,117,9,5.228,False,1,5.228
5,251,Mané,14,3,120,9,5.591,False,1,5.591
6,254,Salah,14,3,124,9,6.602,True,2,13.204
7,272,De Bruyne,43,3,115,9,4.885,False,1,4.885
8,302,Fernandes,1,3,105,9,6.289,False,1,6.289
9,117,Werner,8,4,94,9,5.112,False,1,5.112
10,303,Martial,1,4,87,9,4.9289999999999985,False,1,4.9289999999999985
