Pos,ID,Name,BV,SV,Team,20_xMins,21_xMins,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,20_Pts,21_Pts,22_Pts,23_Pts,24_Pts,25_Pts,26_Pts,27_Pts,28_Pts,29_Pts
M,22,Merino,5.8,5.8,Arsenal,70.50,27.60,27.60,27.60,27.60,27.60,55.20,27.60,27.60,27.60,3.90,1.50,1.55,1.68,1.48,1.68,3.22,1.53,1.55,1.51
M,24,Nørgaard,5.1,5.1,Arsenal,6.30,6.30,6.30,6.30,6.30,6.30,12.60,6.30,6.30,6.30,0.26,0.25,0.26,0.26,0.24,0.26,0.51,0.25,0.25,0.25
M,25,Nwaneri,5.0,5.0,Arsenal,10.05,10.05,10.05,10.05,10.05,10.05,20.10,10.05,10.05,10.05,0.54,0.51,0.51,0.56,0.51,0.57,1.07,0.51,0.51,0.51
M,26,Zubimendi,5.2,5.2,Arsenal,81.75,81.75,81.75,81.75,81.75,81.75,163.50,81.75,81.75,81.75,3.12,2.95,3.12,3.24,2.96,3.21,6.25,3.08,3.06,3.05
M,27,Nelson,4.8,4.8,Brentford,29.25,26.25,26.25,3.45,3.45,3.45,3.45,3.45,3.45,3.45,1.42,1.52,1.22,0.18,0.17,0.17,0.15,0.18,0.19,0.18
F,30,Havertz,7.3,7.3,Arsenal,17.85,17.85,17.85,17.85,17.85,17.85,35.70,17.85,17.85,17.85,1.03,1.04,1.04,1.16,1.01,1.18,2.24,1.03,1.07,1.03
F,31,G.Jesus,6.4,6.4,Arsenal,7.95,7.95,7.95,7.95,7.95,7.95,15.90,7.95,7.95,7.95,0.51,0.48,0.49,0.55,0.49,0.56,1.05,0.49,0.51,0.50
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.56,3.30,3.53,2.40,3.63,2.72,3.08,3.48,3.38,2.99
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
D,36,Cash,4.8,4.8,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.91,3.44,4.22,2.90,4.13,3.22,3.64,4.09,4.04,3.09
D,37,Digne,4.5,4.5,Aston Villa,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,1.24,1.10,1.27,1.03,1.26,1.11,1.21,1.27,1.28,1.09
