Pos,ID,Name,BV,SV,Team,29_xMins,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,29_Pts,30_Pts,31_Pts,32_Pts,33_Pts,34_Pts,35_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,0.00,89.10,178.20,0.00,89.10,4.09,4.38,0.00,4.29,7.64,0.00,4.28
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,1.20,0.00,1.20,2.40,0.00,1.20,0.05,0.05,0.00,0.05,0.09,0.00,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.1,7.1,Arsenal,84.45,84.45,0.00,84.45,168.90,0.00,84.45,4.83,5.77,0.00,5.51,9.13,0.00,5.36
D,6,Saliba,6.1,6.1,Arsenal,84.45,84.45,0.00,84.45,168.90,0.00,84.45,3.83,4.61,0.00,4.38,7.18,0.00,4.36
D,7,Calafiori,5.6,5.6,Arsenal,22.20,22.20,0.00,22.20,44.40,0.00,22.20,1.09,1.27,0.00,1.22,2.10,0.00,1.23
D,8,J.Timber,6.3,6.3,Arsenal,82.50,82.50,0.00,82.50,165.00,0.00,82.50,4.23,5.20,0.00,4.97,8.00,0.00,5.03
D,10,Lewis-Skelly,5.1,5.1,Arsenal,19.65,9.45,0.00,9.45,18.90,0.00,9.45,0.89,0.41,0.00,0.38,0.69,0.00,0.37
D,11,White,5.1,5.1,Arsenal,4.65,4.65,0.00,4.65,9.30,0.00,4.65,0.21,0.24,0.00,0.24,0.41,0.00,0.23
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,77.10,77.10,0.00,77.10,154.20,0.00,77.10,4.96,5.85,0.00,5.89,9.88,0.00,5.63
M,17,Ødegaard,7.8,7.8,Arsenal,33.90,46.50,0.00,63.30,126.60,0.00,63.30,1.72,2.69,0.00,3.71,6.37,0.00,3.61
M,18,Madueke,6.8,6.8,Arsenal,26.40,26.40,0.00,26.40,52.80,0.00,26.40,1.48,1.71,0.00,1.73,2.99,0.00,1.68
M,19,Martinelli,6.8,6.8,Arsenal,22.95,19.20,0.00,19.20,38.40,0.00,19.20,1.32,1.26,0.00,1.30,2.22,0.00,1.25
M,20,Trossard,6.7,6.7,Arsenal,67.50,60.60,0.00,60.60,121.20,0.00,60.60,3.75,3.89,0.00,3.95,6.68,0.00,3.83
M,21,Rice,7.5,7.5,Arsenal,63.60,75.75,0.00,84.00,168.00,0.00,84.00,3.54,4.77,0.00,5.32,9.39,0.00,5.03
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,27.30,11.10,0.00,4.65,9.30,0.00,4.65,1.20,0.51,0.00,0.20,0.38,0.00,0.20
M,26,Zubimendi,5.2,5.2,Arsenal,83.25,83.25,0.00,83.25,166.50,0.00,83.25,3.15,3.49,0.00,3.44,6.35,0.00,3.30
M,27,Nelson,4.8,4.8,Brentford,0.00,4.20,4.20,4.20,4.20,4.20,4.20,0.00,0.26,0.21,0.23,0.24,0.19,0.24
F,30,Havertz,7.3,7.3,Arsenal,22.35,32.70,0.00,32.70,65.40,0.00,32.70,1.10,1.83,0.00,1.86,3.21,0.00,1.81
F,31,G.Jesus,6.4,6.4,Arsenal,20.85,27.15,0.00,27.15,54.30,0.00,27.15,1.15,1.65,0.00,1.76,2.93,0.00,1.65
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.97,2.78,3.44,3.50,3.90,3.26,3.54
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.04,0.03,0.03
D,36,Cash,4.8,4.8,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.09,2.62,4.02,3.38,4.30,3.35,3.92
D,37,Digne,4.5,4.5,Aston Villa,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.94,0.83,1.15,0.97,1.15,0.97,1.10
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,2.81,2.43,3.65,3.18,3.96,3.11,3.68
D,39,Maatsen,4.2,4.2,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,3.24,2.83,4.10,3.50,4.32,3.46,4.08
D,40,Mings,4.3,4.3,Aston Villa,25.65,76.95,76.95,76.95,76.95,76.95,76.95,0.96,2.40,3.37,3.00,3.68,2.96,3.45
D,41,Pau,4.3,4.3,Aston Villa,65.40,15.15,15.15,15.15,15.15,15.15,15.15,2.29,0.52,0.64,0.59,0.67,0.58,0.65
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,42.60,56.40,42.60,15.60,15.60,15.60,15.60,1.55,1.78,1.87,0.58,0.64,0.55,0.62
M,47,Rogers,7.6,7.6,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,3.99,3.46,4.65,3.79,4.43,3.85,4.40
