,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,408,Fabianski,21,1,50,19,3.4760000000000004,False,1,1,2.4,3.4760000000000004
1,23,Gabriel,3,2,53,19,3.503,False,1,1,5.9,3.503
2,237,Alexander-Arnold,14,2,83,19,5.829,False,1,1,44.4,5.829
3,245,Tsimikas,14,2,37,19,4.248,False,1,1,11.3,4.248
4,370,Reguilón,6,2,52,19,3.866,False,1,1,12.0,3.866
5,22,Saka,3,3,63,19,3.637,False,1,1,10.7,3.637
6,233,Salah,14,3,131,19,7.2189999999999985,True,2,1,73.7,14.437999999999997
7,359,Son,6,3,103,19,4.683,False,1,1,16.3,4.683
8,420,Bowen,21,3,65,19,4.3580000000000005,False,1,1,5.9,4.3580000000000005
9,423,Fornals,21,3,60,19,3.527,False,1,1,1.9,3.527
10,357,Kane,6,4,121,19,4.877,False,1,1,5.8,4.877
11,389,Bachmann,57,1,42,19,2.107,False,0,0,2.3,0.0
12,432,Marçal,39,2,42,19,2.372,False,0,0,1.6,0.0
13,518,Broja,20,4,51,19,2.885,False,0,0,3.9,0.0
14,577,Gelhardt,2,4,46,19,1.357,False,0,0,2.9,0.0
