,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,281,Alisson,14,1,55,4,4.606,False,1,17.1,4.606
1,280,Van Dijk,14,2,65,4,4.9910000000000005,False,1,14.1,4.9910000000000005
2,284,Robertson,14,2,69,4,5.534,False,1,9.4,5.534
3,285,Alexander-Arnold,14,2,75,4,6.537000000000001,False,1,51.6,6.537000000000001
4,13,Saka,3,3,79,4,5.585,False,1,17.4,5.585
5,283,Salah,14,3,130,4,8.421,True,2,60.7,16.842
6,293,Luis Díaz,14,3,80,4,5.916,False,1,22.1,5.916
7,301,De Bruyne,43,3,121,4,5.599,False,1,22.8,5.599
8,28,Jesus,3,4,81,4,5.561,False,1,80.4,5.561
9,318,Haaland,43,4,117,4,5.954,False,1,60.9,5.954
10,427,Kane,6,4,114,4,5.7520000000000024,False,1,17.3,5.7520000000000024
