,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1368.0,1410.62,1425.67,1423.0,-72.81,463946,39998,2692,739,10.3%
1,FplSimpson,1382.0,1421.66,1458.8,1439.99,-79.66,356279,24204,47,211,8.2%
2,FplStatsdan,1314.0,1361.21,1409.72,1393.63,-96.12,1050023,186253,9526,8082,3.9%
3,FF_Trout,1420.0,1455.24,1452.33,1446.12,-51.63,147540,4420,242,7,18.2%
4,dilksybab,1422.0,1480.98,1474.59,1449.98,-66.5,139763,955,1,1,12.2%
5,theFPLkiwi,1307.0,1349.5,1396.24,1376.71,-88.96,1143009,260230,22832,23166,5.6%
6,jameso_12,1338.0,1337.33,1368.8,1340.57,-32.07,760680,346662,88971,132303,27.6%
7,api_kakayou,1459.0,1388.29,1380.04,1368.36,59.97,46548,89170,55453,38127,86.7%
8,usafpl,1301.0,1322.75,1354.66,1335.66,-58.02,1226182,478856,157565,157438,15.5%
9,CazzaFPL,1434.0,1413.8,1461.45,1431.48,-23.24,101618,35230,43,493,33.7%
10,PlanetosFPL,1360.0,1400.53,1425.34,1401.38,-70.1,535690,56772,2751,4479,11.1%
11,analytic_fpl,1410.0,1390.56,1424.08,1409.83,-19.63,191127,83800,3157,2090,36.2%
12,rogue_wee,1362.0,1389.23,1392.67,1369.24,-42.04,518207,86638,28917,36444,22.3%
13,mtthwmn,1399.0,1408.86,1437.37,1427.7,-47.02,246988,42424,785,565,20.1%
14,cmusson32,1378.0,1396.31,1401.52,1407.69,-44.71,383839,67663,16553,2516,21.1%
15,FPLstudent2,-12.0,-12.0,-12.0,-12.0,-20.6,231302,7916818,7919146,7916818,35.5%
16,peterhandleson,1311.0,1324.77,1329.14,1314.45,-32.29,1092301,453770,333550,312547,27.5%
17,chrishp,1402.0,1423.38,1404.14,1396.45,-25.83,231302,22440,14538,7082,31.7%
18,plfantasy,1452.0,1399.58,1375.19,1353.57,56.44,59506,58935,67725,77908,85.5%
19,FPLmeta,1431.0,1409.38,1419.72,1412.77,-3.78,109071,41774,4293,1513,47.4%
20,FplAuto,1372.0,1408.36,1404.21,1379.25,-45.33,434334,43322,14518,19430,20.8%
21,NourEldin_z3r0,1482.0,1464.37,1430.45,1412.9,26.89,20202,2618,1685,1495,69%
22,UkendtPerson45,1358.0,1443.41,1431.11,1415.3,-91.88,556218,8419,1550,1326,4.8%
23,MikkelTokvam,1442.0,1484.47,1453.59,1431.57,-33.77,79021,785,86,493,26.4%
24,Klaudioz,1395.0,1324.23,1304.44,1289.46,69.25,273705,461009,613434,582702,90.3%
25,FantasianPL,1312.0,1375.7,1381.35,1364.97,-82.52,1071862,128441,52622,44313,7.3%
26,rama96ab,1392.0,1419.93,1395.28,1389.02,-29.1,289779,26096,24732,11185,29.7%
27,FPL_LFE,1446.0,1403.6,1357.59,1333.59,62.37,71372,50486,142268,169683,87.9%
28,_jtreble,1435.0,1446.26,1424.7,1400.78,-8.42,98720,7437,3074,4737,44%
29,DanielSaetre,1447.0,1416.11,1436.72,1418.86,2.12,68925,31275,875,978,51.3%
30,FBinary01,1481.0,1367.64,1376.5,1360.63,92.12,20643,158591,63823,54538,95.9%
31,FPL_Data,1327.0,1381.39,1375.89,1374.93,-70.81,888686,109857,66043,26230,10.8%
32,FPL_ElStatto,1365.0,1314.85,1338.51,1320.72,19.22,493098,555220,256943,257279,63.8%
33,FplSigurd,1405.0,1471.48,1448.08,1438.58,-67.39,215143,1811,444,240,11.9%
34,JoeBopara,1345.0,1370.81,1398.45,1373.67,-57.08,686052,145922,19963,28211,16%
35,dLincolnlawyer,1470.0,1483.77,1426.14,1426.92,5.67,31718,817,2613,594,53.9%
36,FPL_Statoholic,1436.0,1365.64,1425.44,1422.46,8.98,94751,166871,2750,778,56.4%
37,FplAmateur,1465.0,1389.27,1363.0,1345.83,79.51,37144,86619,112003,106749,93.5%
38,wolacola,1479.0,1479.62,1461.53,1452.28,-5.33,22455,1062,43,1,46.1%
39,Hashtag_MEGA,1435.0,1445.26,1443.09,1438.79,-27.84,97309,7790,568,237,30.4%
40,dav_fifa,1423.0,1301.27,1284.05,1271.58,117.54,138629,700987,954196,869695,98.6%
41,MaulanaRiandi,1472.0,1459.98,1424.23,1400.15,24.85,29101,3320,3132,5170,67.8%
42,Rak464,1398.0,1371.66,1401.15,1386.68,-9.83,255619,143285,16851,13226,43.1%
43,ArneBarsnes,1478.0,1443.19,1424.49,1416.85,29.96,22920,8456,3092,1174,70.9%
44,FPL_PapaSmurf,1418.0,1356.12,1351.83,1344.1,46.98,158083,214727,170803,113568,81.1%
45,gezza96,1487.0,1453.61,1400.86,1389.98,53.49,16574,4804,17274,10581,84.5%
46,Raghy78d,1526.0,1460.77,1456.19,1428.4,57.55,2767,3104,51,544,85.9%
47,pdhFPL,1413.0,1477.45,1459.13,1454.14,-70.49,177057,1199,43,1,10.9%
48,NeilRankinZA,1331.0,1304.21,1274.08,1277.78,25.97,836986,671413,1118311,776143,68.3%
