,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,selected_by_percent,gw_points
0,516,Areola,54,1,45,21,3.81,False,1,1,3.1,3.81
1,155,Digne,11,2,60,21,4.667,False,1,1,5.8,4.667
2,156,Keane,11,2,51,21,4.095,False,1,1,5.3,4.095
3,490,Thiago Silva,8,2,56,21,4.171,False,1,1,4.4,4.171
4,231,Maddison,13,3,72,21,4.684,False,1,1,12.9,4.684
5,254,Salah,14,3,125,21,5.879,False,1,1,37.9,5.879
6,276,Sterling,43,3,115,21,6.448,True,2,1,11.5,12.896
7,284,Foden,43,3,63,21,5.4510000000000005,False,1,1,10.4,5.4510000000000005
8,164,Calvert-Lewin,11,4,76,21,4.814,False,1,1,33.7,4.814
9,437,Antonio,21,4,64,21,4.091,False,1,1,15.9,4.091
10,514,Watkins,7,4,62,21,4.101,False,1,1,15.0,4.101
11,548,Mendy,8,1,51,21,4.325,False,0,0,6.8,0.0
12,123,James,8,2,51,21,3.724,False,0,0,6.6,0.0
13,277,Cancelo,43,2,59,21,5.459,False,0,0,18.4,0.0
14,557,Lookman,54,3,50,21,4.166,False,0,0,1.3,0.0
