,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty
0,2128286,,False,False,379,,0,False,,13,,4,,[],4,3
1,2128290,,False,False,380,,0,False,,2,,12,,[],2,5
2,2128288,1.0,False,False,2,2020-09-12T11:30:00Z,0,False,False,1,,8,,[],3,2
3,2128287,1.0,False,False,1,2020-09-12T14:00:00Z,0,False,False,16,,6,,[],3,2
4,2128289,1.0,False,False,3,2020-09-12T16:30:00Z,0,False,False,10,,11,,[],2,5
5,2128293,1.0,False,False,6,2020-09-12T19:00:00Z,0,False,False,14,,19,,[],2,2
6,2128292,1.0,False,False,5,2020-09-13T13:00:00Z,0,False,False,9,,18,,[],3,2
7,2128291,1.0,False,False,4,2020-09-13T15:30:00Z,0,False,False,7,,17,,[],2,4
8,2128295,1.0,False,False,8,2020-09-14T17:00:00Z,0,False,False,20,,15,,[],3,4
9,2128294,1.0,False,False,7,2020-09-14T19:15:00Z,0,False,False,5,,3,,[],3,2
10,2128299,2.0,False,False,12,2020-09-19T11:30:00Z,0,False,False,18,,7,,[],2,3
11,2128300,2.0,False,False,13,2020-09-19T14:00:00Z,0,False,False,8,,10,,[],2,2
12,2128302,2.0,False,False,15,2020-09-19T16:30:00Z,0,False,False,6,,13,,[],2,4
13,2128296,2.0,False,False,9,2020-09-19T19:00:00Z,0,False,False,19,,1,,[],2,4
14,2128304,2.0,False,False,17,2020-09-20T11:00:00Z,0,False,False,17,,16,,[],3,2
15,2128303,2.0,False,False,16,2020-09-20T13:00:00Z,0,False,False,3,,14,,[],2,3
16,2128298,2.0,False,False,11,2020-09-20T15:30:00Z,0,False,False,11,,5,,[],4,4
17,2128301,2.0,False,False,14,2020-09-20T18:00:00Z,0,False,False,4,,9,,[],3,4
18,2128297,2.0,False,False,10,2020-09-21T17:00:00Z,0,False,False,15,,2,,[],3,2
19,2128305,2.0,False,False,18,2020-09-21T19:15:00Z,0,False,False,12,,20,,[],4,3
20,2128306,3.0,False,False,19,2020-09-26T11:30:00Z,0,False,False,13,,3,,[],4,2
21,2128308,3.0,False,False,21,2020-09-26T14:00:00Z,0,False,False,7,,6,,[],2,2
22,2128314,3.0,False,False,27,2020-09-26T16:30:00Z,0,False,False,5,,18,,[],3,2
23,2128307,3.0,False,False,20,2020-09-26T19:00:00Z,0,False,False,16,,4,,[],3,3
24,2128312,3.0,False,False,25,2020-09-27T11:00:00Z,0,False,False,10,,15,,[],2,4
25,2128313,3.0,False,False,26,2020-09-27T13:00:00Z,0,False,False,14,,17,,[],2,4
26,2128311,3.0,False,False,24,2020-09-27T15:30:00Z,0,False,False,9,,12,,[],3,5
27,2128315,3.0,False,False,28,2020-09-27T18:00:00Z,0,False,False,20,,19,,[],3,2
28,2128309,3.0,False,False,22,2020-09-28T17:00:00Z,0,False,False,2,,8,,[],2,2
29,2128310,3.0,False,False,23,2020-09-28T19:15:00Z,0,False,False,1,,11,,[],3,5
30,2128316,4.0,False,False,29,2020-10-03T14:00:00Z,0,False,False,15,,1,,[],3,4
31,2128317,4.0,False,False,30,2020-10-03T14:00:00Z,0,False,False,11,,2,,[],4,2
32,2128318,4.0,False,False,31,2020-10-03T14:00:00Z,0,False,False,6,,5,,[],2,4
33,2128319,4.0,False,False,32,2020-10-03T14:00:00Z,0,False,False,3,,7,,[],2,3
34,2128320,4.0,False,False,33,2020-10-03T14:00:00Z,0,False,False,12,,10,,[],4,2
35,2128321,4.0,False,False,34,2020-10-03T14:00:00Z,0,False,False,19,,9,,[],2,4
36,2128322,4.0,False,False,35,2020-10-03T14:00:00Z,0,False,False,17,,13,,[],3,4
37,2128323,4.0,False,False,36,2020-10-03T14:00:00Z,0,False,False,4,,14,,[],3,3
38,2128324,4.0,False,False,37,2020-10-03T14:00:00Z,0,False,False,18,,16,,[],2,2
39,2128325,4.0,False,False,38,2020-10-03T14:00:00Z,0,False,False,8,,20,,[],2,3
40,2128326,5.0,False,False,39,2020-10-17T14:00:00Z,0,False,False,16,,5,,[],3,4
41,2128327,5.0,False,False,40,2020-10-17T14:00:00Z,0,False,False,3,,6,,[],2,2
42,2128328,5.0,False,False,41,2020-10-17T14:00:00Z,0,False,False,11,,7,,[],4,3
43,2128329,5.0,False,False,42,2020-10-17T14:00:00Z,0,False,False,20,,10,,[],3,2
44,2128330,5.0,False,False,43,2020-10-17T14:00:00Z,0,False,False,2,,9,,[],2,4
45,2128331,5.0,False,False,44,2020-10-17T14:00:00Z,0,False,False,1,,12,,[],3,5
46,2128332,5.0,False,False,45,2020-10-17T14:00:00Z,0,False,False,13,,14,,[],4,3
47,2128333,5.0,False,False,46,2020-10-17T14:00:00Z,0,False,False,8,,15,,[],2,4
48,2128334,5.0,False,False,47,2020-10-17T14:00:00Z,0,False,False,19,,17,,[],2,4
49,2128335,5.0,False,False,48,2020-10-17T14:00:00Z,0,False,False,4,,18,,[],3,2
50,2128336,6.0,False,False,49,2020-10-24T14:00:00Z,0,False,False,9,,1,,[],3,4
51,2128337,6.0,False,False,50,2020-10-24T14:00:00Z,0,False,False,10,,2,,[],2,2
52,2128338,6.0,False,False,51,2020-10-24T14:00:00Z,0,False,False,18,,3,,[],2,2
53,2128339,6.0,False,False,52,2020-10-24T14:00:00Z,0,False,False,17,,4,,[],3,3
54,2128340,6.0,False,False,53,2020-10-24T14:00:00Z,0,False,False,6,,8,,[],2,2
55,2128341,6.0,False,False,54,2020-10-24T14:00:00Z,0,False,False,15,,11,,[],3,5
56,2128342,6.0,False,False,55,2020-10-24T14:00:00Z,0,False,False,5,,13,,[],3,4
57,2128343,6.0,False,False,56,2020-10-24T14:00:00Z,0,False,False,7,,16,,[],2,2
58,2128344,6.0,False,False,57,2020-10-24T14:00:00Z,0,False,False,12,,19,,[],4,2
59,2128345,6.0,False,False,58,2020-10-24T14:00:00Z,0,False,False,14,,20,,[],2,3
60,2128346,7.0,False,False,59,2020-10-31T15:00:00Z,0,False,False,16,,2,,[],3,2
61,2128347,7.0,False,False,60,2020-10-31T15:00:00Z,0,False,False,5,,4,,[],3,3
62,2128348,7.0,False,False,61,2020-10-31T15:00:00Z,0,False,False,18,,8,,[],2,2
63,2128349,7.0,False,False,62,2020-10-31T15:00:00Z,0,False,False,9,,10,,[],3,2
64,2128350,7.0,False,False,63,2020-10-31T15:00:00Z,0,False,False,19,,11,,[],2,5
65,2128351,7.0,False,False,64,2020-10-31T15:00:00Z,0,False,False,1,,13,,[],3,4
66,2128352,7.0,False,False,65,2020-10-31T15:00:00Z,0,False,False,7,,14,,[],2,3
67,2128353,7.0,False,False,66,2020-10-31T15:00:00Z,0,False,False,12,,15,,[],4,4
68,2128354,7.0,False,False,67,2020-10-31T15:00:00Z,0,False,False,3,,17,,[],2,4
69,2128355,7.0,False,False,68,2020-10-31T15:00:00Z,0,False,False,6,,20,,[],2,3
70,2128356,8.0,False,False,69,2020-11-07T15:00:00Z,0,False,False,2,,1,,[],2,4
71,2128357,8.0,False,False,70,2020-11-07T15:00:00Z,0,False,False,4,,3,,[],3,2
72,2128358,8.0,False,False,71,2020-11-07T15:00:00Z,0,False,False,15,,5,,[],3,4
73,2128359,8.0,False,False,72,2020-11-07T15:00:00Z,0,False,False,10,,6,,[],2,2
74,2128360,8.0,False,False,73,2020-11-07T15:00:00Z,0,False,False,13,,7,,[],4,3
75,2128361,8.0,False,False,74,2020-11-07T15:00:00Z,0,False,False,20,,9,,[],3,4
76,2128362,8.0,False,False,75,2020-11-07T15:00:00Z,0,False,False,11,,12,,[],4,5
77,2128363,8.0,False,False,76,2020-11-07T15:00:00Z,0,False,False,14,,16,,[],2,2
78,2128364,8.0,False,False,77,2020-11-07T15:00:00Z,0,False,False,17,,18,,[],3,2
79,2128365,8.0,False,False,78,2020-11-07T15:00:00Z,0,False,False,8,,19,,[],2,2
80,2128366,9.0,False,False,79,2020-11-21T15:00:00Z,0,False,False,3,,2,,[],2,2
81,2128367,9.0,False,False,80,2020-11-21T15:00:00Z,0,False,False,6,,4,,[],2,3
82,2128368,9.0,False,False,81,2020-11-21T15:00:00Z,0,False,False,7,,8,,[],2,2
83,2128369,9.0,False,False,82,2020-11-21T15:00:00Z,0,False,False,1,,10,,[],3,2
84,2128370,9.0,False,False,83,2020-11-21T15:00:00Z,0,False,False,9,,11,,[],3,5
85,2128371,9.0,False,False,84,2020-11-21T15:00:00Z,0,False,False,18,,13,,[],2,4
86,2128372,9.0,False,False,85,2020-11-21T15:00:00Z,0,False,False,5,,14,,[],3,3
87,2128373,9.0,False,False,86,2020-11-21T15:00:00Z,0,False,False,19,,15,,[],2,4
88,2128374,9.0,False,False,87,2020-11-21T15:00:00Z,0,False,False,12,,17,,[],4,4
89,2128375,9.0,False,False,88,2020-11-21T15:00:00Z,0,False,False,16,,20,,[],3,3
90,2128376,10.0,False,False,89,2020-11-28T15:00:00Z,0,False,False,20,,1,,[],3,4
91,2128377,10.0,False,False,90,2020-11-28T15:00:00Z,0,False,False,11,,3,,[],4,2
92,2128378,10.0,False,False,91,2020-11-28T15:00:00Z,0,False,False,17,,5,,[],3,4
