,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1734.0,1774.37,1829.19,1831.9,-106.23,531230,32966,1068,83,5.7%
1,FplSimpson,1805.0,1828.51,1885.54,1873.33,-85.78,157508,3140,1,1,10.7%
2,FplStatsdan,1737.0,1770.53,1807.6,1794.0,-81.66,511512,38384,4488,3016,12%
3,FF_Trout,1809.0,1828.54,1860.06,1857.61,-67.69,144249,3139,18,1,17%
4,dilksybab,1834.0,1880.32,1896.47,1862.3,-73.1,80671,106,1,1,15.5%
5,theFPLkiwi,1680.0,1756.55,1833.5,1813.32,-149.72,1004220,59201,626,669,1%
6,jameso_12,1714.0,1702.3,1791.46,1761.13,-66.35,691613,223565,12366,19802,17.5%
7,api_kakayou,1856.0,1769.96,1788.68,1777.59,49.6,44502,39163,14275,8305,78.1%
8,usafpl,1716.0,1700.1,1755.53,1728.95,-40.36,674500,234560,60908,68829,28.8%
9,CazzaFPL,1858.0,1820.07,1881.19,1847.29,-19.71,42417,4718,1,3,39%
10,PlanetosFPL,1770.0,1806.61,1866.73,1843.26,-97.14,306672,9110,3,20,8.2%
11,analytic_fpl,1827.0,1786.38,1809.68,1799.08,0.89,96230,21229,3609,2102,51%
12,rogue_wee,1741.0,1784.09,1824.71,1798.17,-89.22,482013,23218,1318,2215,10%
13,mtthwmn,1796.0,1804.96,1854.38,1843.49,-66.47,189576,9976,54,20,17.5%
14,cmusson32,1744.0,1779.81,1810.22,1821.04,-87.74,461299,26784,3571,239,10.3%
15,FPLstudent2,1782.0,1852.87,1828.57,1851.83,-89.62,248329,803,1081,1,10%
16,peterhandleson,1638.0,1682.18,1730.6,1722.46,-101.95,1459201,339230,136853,86114,6.7%
17,chrishp,1834.0,1816.79,1816.43,1809.24,-7.5,81202,5782,2559,969,46.1%
18,plfantasy,1836.0,1761.08,1751.2,1736.22,59.39,78180,51875,70127,54750,82.6%
19,FPLmeta,1802.0,1802.86,1836.67,1830.03,-49.14,166966,10665,456,116,25%
20,FplAuto,1765.0,1794.11,1812.38,1776.76,-56.84,335085,15976,3023,8635,21.4%
21,NourEldin_z3r0,1883.0,1847.5,1817.7,1800.95,34.21,19621,1135,2417,1863,70.1%
22,UkendtPerson45,1792.0,1849.37,1840.17,1825.74,-73.56,206120,986,220,149,15.4%
23,MikkelTokvam,1821.0,1857.47,1840.91,1825.76,-47.37,110673,601,220,149,25.7%
24,Klaudioz,1835.0,1728.95,1690.21,1676.25,109.92,80098,120378,350172,303881,96%
25,FantasianPL,1687.0,1775.3,1768.64,1757.38,-107.31,933688,31724,36844,23391,5.5%
26,rama96ab,1801.0,1826.27,1831.91,1823.03,-53.51,171936,3444,791,217,23.1%
27,FPL_LFE,1849.0,1787.35,1747.41,1726.53,68.71,55087,20222,81982,74512,85.9%
28,_jtreble,1833.0,1820.71,1809.58,1783.12,1.54,83461,4582,3617,5867,51.3%
29,DanielSaetre,1825.0,1802.59,1825.4,1807.84,-14.61,101351,10797,1278,1038,41.7%
30,FBinary01,1895.0,1783.71,1786.03,1769.17,88.05,12804,23574,16257,12989,92%
31,FPL_Data,1718.0,1751.39,1759.24,1763.73,-67.72,659354,68392,53438,17765,17%
32,FPL_ElStatto,1752.0,1701.78,1748.61,1732.07,-3.59,411111,225401,78739,61777,48.3%
33,FplSigurd,1819.0,1869.61,1867.14,1848.81,-70.07,116230,258,3,1,16.3%
34,JoeBopara,1730.0,1766.82,1810.03,1781.09,-83.91,563481,43752,3593,6813,11.2%
35,dLincolnlawyer,1812.0,1853.94,1831.07,1823.61,-51.16,136446,785,824,199,24.3%
36,FPL_Statoholic,1872.0,1756.61,1821.68,1824.33,42.54,27768,59096,1724,169,74.4%
37,FplAmateur,1875.0,1771.67,1758.91,1746.73,88.81,25008,36584,53795,37287,92.1%
38,wolacola,1828.0,1826.15,1845.87,1843.87,-38.38,94531,3463,150,20,29.8%
39,Hashtag_MEGA,1791.0,1824.42,1867.3,1867.62,-90.29,208619,3902,3,1,9.7%
40,dav_fifa,1803.0,1672.42,1658.51,1640.45,118.86,166356,396535,622062,592243,97.2%
41,MaulanaRiandi,1878.0,1856.46,1810.41,1785.92,34.01,22932,631,3538,5112,69.9%
42,Rak464,1795.0,1729.37,1783.11,1765.38,7.5,195211,119481,18369,16490,54.5%
43,ArneBarsnes,1906.0,1828.97,1844.29,1829.81,44.08,8266,3067,176,119,75.1%
44,FPL_PapaSmurf,1810.0,1702.71,1717.41,1711.21,71.93,142905,221957,196827,128821,87.2%
45,gezza96,1884.0,1837.44,1799.0,1785.9,49.93,19053,1851,7690,5116,78.1%
46,Raghy78d,1918.0,1857.74,1870.14,1843.55,33.45,5099,593,2,20,69.6%
47,pdhFPL,1791.0,1868.0,1847.33,1858.87,-94.23,209055,276,109,1,8.8%
