,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,327,De Gea,1,1,49,17,4.105,False,1,7.2,4.105
1,16,Gabriel,3,2,52,17,4.6610000000000005,False,1,13.4,4.6610000000000005
2,112,Cucurella,8,2,51,17,4.827,False,1,7.6,4.827
3,332,Shaw,1,2,48,17,4.401,False,1,2.2,4.401
4,13,Saka,3,3,80,17,5.5070000000000014,False,1,17.0,5.5070000000000014
5,160,Zaha,31,3,75,17,5.8,False,1,19.4,5.8
6,283,Salah,14,3,128,17,6.202000000000001,False,1,32.1,6.202000000000001
7,301,De Bruyne,43,3,126,17,5.55,False,1,37.8,5.55
8,297,Darwin,14,4,90,17,4.848,False,1,11.9,4.848
9,318,Haaland,43,4,122,17,7.0120000000000005,True,2,82.7,14.024000000000001
10,427,Kane,6,4,116,17,5.4220000000000015,False,1,27.2,5.4220000000000015
