Pos,Name,BV,SV,Team,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts
M,Özil,6.8,6.8,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Sokratis,4.9,4.9,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,David Luiz,5.5,5.5,Arsenal,51,2.138,44,1.257,38,1.848,34,1.374,37,1.153,34,0.987,36,1.378,36,1.58
M,Aubameyang,11.6,11.6,Arsenal,84,5.121,80,4.353,81,6.096,79,5.434,79,4.787,76,4.402,74,4.844,73,5.307
D,Cédric,4.7,4.7,Arsenal,2,0.09,2,0.063,2,0.104,2,0.088,2,0.07,2,0.065,2,0.084,4,0.192
F,Lacazette,8.3,8.3,Arsenal,57,3.042,55,2.695,56,3.604,48,2.916,50,2.733,47,2.481,46,2.665,47,2.971
D,Mustafi,5.0,5.0,Arsenal,9,0.38,7,0.206,5,0.245,3,0.123,4,0.128,7,0.209,5,0.195,6,0.266
G,Leno,5.0,5.0,Arsenal,89,4.067,88,3.397,88,4.245,88,3.85,87,3.474,87,3.358,85,3.644,86,3.916
M,Xhaka,5.3,5.3,Arsenal,76,2.321,51,1.454,39,1.399,39,1.304,37,1.13,37,1.11,39,1.256,36,1.244
D,Marí,4.4,4.4,Arsenal,0,0,9,0.243,11,0.495,13,0.486,13,0.378,14,0.379,16,0.568,14,0.57
D,Bellerín,5.1,5.1,Arsenal,87,3.864,85,2.555,84,4.29,82,3.481,81,2.665,81,2.469,80,3.227,76,3.512
G,Martínez,4.8,4.7,Aston Villa,89,3.36,87,3.724,83,3.248,80,3.509,82,3.374,80,3.411,81,2.838,80,2.844
D,Chambers,4.5,4.5,Arsenal,1,0.044,16,0.486,24,1.237,33,1.418,33,1.097,30,0.925,30,1.217,30,1.402
D,Kolasinac,4.8,4.8,Arsenal,0,0,5,0.145,6,0.286,7,0.28,7,0.219,8,0.234,10,0.38,11,0.477
D,Maitland-Niles,4.7,4.7,Arsenal,24,1.09,14,0.443,10,0.521,8,0.348,8,0.277,9,0.29,11,0.458,12,0.569
D,Holding,4.4,4.4,Arsenal,70,2.93,61,1.742,59,2.849,58,2.327,55,1.708,59,1.701,54,2.061,56,2.442
D,Tierney,5.4,5.4,Arsenal,79,3.56,76,2.344,71,3.664,70,3.013,72,2.421,71,2.212,69,2.834,68,3.184
M,Pépé,7.6,7.6,Arsenal,0,0,0,0,0,0,30,1.783,32,1.696,32,1.642,34,1.925,28,1.745
M,Torreira,4.7,4.7,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Willock,4.8,4.8,Arsenal,21,1.068,13,0.602,11,0.656,12,0.671,11,0.556,13,0.63,13,0.694,10,0.581
