Rank	Team ID	Manager	Rating
1	4305040		99.33
2	17068		98.88
3	1662543		98.69
4	29582		98.47
5	157354		98.42
6	29872		98.38
7	97907		98.21
8	168456		98.20
9	114430		98.16
10	400206		98.11
11	3253		98.03
12	14139		98.03
13	928494		98.02
14	4791		98.02
15	2863		97.99
16	806319		97.98
17	414796		97.96
18	14165		97.96
19	4841		97.94
20	147573		97.93
21	223520		97.92
22	2905		97.91
23	74515		97.90
24	4914		97.90
25	119		97.89
26	15723		97.89
27	7632		97.86
28	422747		97.85
29	46553		97.85
30	27100		97.84
31	246044		97.82
32	352		97.80
33	289171		97.78
34	508		97.77
35	5224049		97.74
36	4882121		97.73
37	393272		97.73
38	468584		97.72
39	3018		97.71
40	6312		97.70
41	55079		97.67
42	222465		97.67
43	456961		97.66
44	24476		97.66
45	493821		97.63
46	7710		97.62
47	102781		97.61
48	9063		97.61
49	85828		97.61
50	8493		97.60
51	15025		97.60
52	38363		97.60
53	3352		97.60
54	59940		97.60
55	135665		97.59
56	5304289		97.59
57	385081		97.59
58	7336		97.58
59	1802945		97.57
60	29824		97.57
61	282096		97.56
62	222561		97.56
63	1761		97.55
64	2827		97.54
65	1246656		97.53
66	68844		97.52
67	150		97.52
68	575		97.51
69	2600105		97.50
70	3042507		97.49
71	4862		97.49
72	55432		97.48
73	112028		97.48
74	70211		97.47
75	390903		97.46
76	5562		97.46
77	6585		97.45
78	270119		97.44
79	101144		97.43
80	12426		97.43
81	375457		97.43
82	22018		97.42
83	22490		97.42
84	27698		97.42
85	36355		97.41
86	51396		97.41
87	4684237		97.41
88	2740482		97.41
89	1389389		97.39
90	158364		97.39
91	358		97.39
92	34519		97.39
93	27120		97.38
94	16936		97.38
95	3882		97.38
96	6527		97.37
97	92695		97.37
98	2724618		97.36
99	14488		97.34
100	2852		97.34
101	498459		97.34
102	396715		97.34
103	1443		97.32
104	6220		97.32
105	3602		97.32
106	536		97.32
107	5368		97.31
108	569		97.31
109	24745		97.30
110	2747094		97.30
111	532774		97.30
112	1404707		97.29
113	12065		97.29
114	51725		97.29
115	2996169		97.29
116	31291		97.28
117	13467		97.28
118	106508		97.28
119	2359		97.28
120	11792		97.28
121	233598		97.27
122	454846		97.27
123	2630		97.26
124	36965		97.25
125	1902		97.25
126	558118		97.24
127	1175		97.24
128	29065		97.24
129	1771540		97.24
130	3171054		97.24
131	403542		97.23
132	3528394		97.23
133	8148		97.22
134	1803818		97.22
135	1935584		97.22
136	92314		97.22
137	2357781		97.22
138	509305		97.21
139	1530728		97.21
140	6705		97.21
141	5766		97.20
142	83659		97.19
143	102906		97.18
144	15051		97.18
145	477207		97.18
146	1099		97.17
147	19296		97.17
148	12991		97.17
149	5299082		97.16
150	573416		97.16
151	1041		97.15
152	74278		97.15
153	8678		97.15
154	36		97.15
155	880		97.14
156	405521		97.14
157	450634		97.14
158	5611		97.14
159	173		97.14
160	114695		97.13
161	210567		97.12
162	1733762		97.12
163	2606003		97.12
164	109050		97.12
165	14788		97.12
166	308554		97.11
167	2005991		97.11
168	6876		97.11
169	2011819		97.11
170	3804273		97.10
171	9538		97.10
172	20425		97.10
173	75082		97.10
174	18376		97.09
175	13244		97.09
176	74261		97.09
177	584		97.08
178	126898		97.08
179	62592		97.08
180	265906		97.08
181	156502		97.08
182	2486538		97.08
183	43128		97.07
184	5520		97.07
185	366262		97.07
186	7341		97.07
187	2930		97.07
188	1208		97.07
189	390908		97.07
190	3776983		97.06
191	396		97.06
192	7752		97.06
193	1376337		97.06
194	17102		97.05
195	544344		97.05
196	4050202		97.05
197	221315		97.05
198	301		97.05
199	4313		97.05
200	943821		97.04
201	5671764		97.04
202	18803		97.04
203	1516797		97.04
204	4053221		97.04
205	854		97.03
206	1181530		97.03
207	19187		97.03
208	52449		97.03
209	2663		97.03
210	1192746		97.02
211	401		97.02
212	201644		97.02
213	30420		97.02
214	387		97.02
215	291663		97.01
216	22977		97.01
217	1079491		97.01
218	5557517		97.01
219	1260		97.01
220	12315		97.01
221	421793		97.00
222	329799		97.00
223	256621		97.00
224	188810		97.00
225	5874		97.00
226	8057		96.99
227	29574		96.99
228	18362		96.99
229	11921		96.99
230	126490		96.99
231	1150		96.99
232	325481		96.99
233	51604		96.98
