,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,2029.0,2095.65,2123.19,2131.59,-98.26,397158,57318,8478,1416,6.8%
1,FplSimpson,2094.0,2150.16,2180.32,2171.24,-83.66,190533,12214,185,69,11%
2,FplStatsdan,2068.0,2113.13,2122.98,2108.76,-57.25,300539,37088,8535,5591,20.6%
3,FF_Trout,2115.0,2164.42,2177.17,2175.04,-67.55,106318,7109,219,55,16.1%
4,dilksybab,2174.0,2245.21,2223.04,2187.33,-54.59,34540,99,5,15,21.8%
5,theFPLkiwi,1995.0,2096.74,2149.96,2123.84,-139.01,663896,56216,1798,2299,1.4%
6,jameso_12,2019.0,2044.15,2105.35,2076.58,-66.89,448232,160611,20103,24854,16.4%
7,api_kakayou,2170.0,2125.51,2113.79,2098.99,47.06,33901,25489,13728,8853,75%
8,usafpl,2057.0,2055.69,2084.19,2054.61,-18.18,369283,131043,45389,54984,39.8%
9,CazzaFPL,2198.0,2189.52,2221.28,2185.11,-10.99,17438,2594,5,18,43.9%
10,PlanetosFPL,2106.0,2154.02,2178.9,2154.83,-66.93,165277,10671,203,268,16.3%
11,analytic_fpl,2151.0,2119.87,2126.64,2118.02,19.2,68988,30825,7263,3244,60.7%
12,wee_rogue,2109.0,2142.13,2148.66,2117.84,-37.44,159358,15650,1997,3254,30.3%
13,mtthwmn,2155.0,2158.15,2178.57,2165.38,-22.72,41164,9126,203,101,37.3%
14,cmusson32,2056.0,2114.54,2120.61,2131.37,-76.51,287470,35359,9523,1457,13.1%
15,FPLstudent2,2151.0,2218.67,2160.73,2185.27,-47.26,48553,539,792,18,25.2%
16,peterhandleson,1881.0,1947.73,1967.5,1958.8,-87.37,1348490,609933,488411,415018,9.8%
17,chrishp,2183.0,2183.8,2140.22,2133.31,20.53,21704,3160,3434,1315,61.3%
18,plfantasy,2146.0,2112.23,2072.61,2057.88,55.06,56203,37761,63028,49609,78.3%
19,FPLmeta,2149.0,2136.39,2157.19,2146.92,-8.2,43906,18783,1159,449,45.8%
20,FplAuto,2069.0,2140.63,2120.46,2081.03,-55.11,284965,16387,9700,21052,21.4%
21,NourEldin_z3r0,2210.0,2189.25,2114.6,2101.43,65.06,13571,2611,13480,7799,82.6%
22,UkendtPerson45,2168.0,2218.26,2164.8,2147.73,-18.88,36780,552,520,434,39.6%
23,MikkelTokvam,2155.0,2197.21,2143.44,2122.6,-9.35,58986,1705,2767,2484,45.1%
24,Klaudioz,2082.0,2025.68,1976.76,1961.9,83.91,118188,215770,435858,397436,88.8%
25,FantasianPL,1978.0,2101.05,2060.99,2049.39,-102.51,612146,49514,84719,62867,5.7%
26,rama96ab,2129.0,2166.98,2149.88,2136.8,-32.37,104822,6480,1831,985,33.2%
27,FPL_LFE,2160.0,2125.69,2065.53,2047.53,70.51,54680,25399,76060,66006,84.7%
28,_jtreble,2188.0,2196.58,2149.87,2122.45,21.75,21192,1807,1831,2493,61.8%
29,DanielSaetre,2160.0,2137.49,2148.76,2128.4,11.5,43244,18204,1964,1810,57%
30,FBinary01,2185.0,2121.8,2099.36,2079.49,74.68,21852,29270,25721,22423,86%
31,FPL_Data,2017.0,2087.79,2056.11,2063.17,-62.15,443840,69720,96665,40616,18.5%
32,FPL_ElStatto,2071.0,2034.55,2058.48,2040.65,16.08,277181,191302,90687,79535,59.2%
33,FplSigurd,2181.0,2236.7,2199.8,2180.12,-34.57,24053,176,37,28,31.7%
34,JoeBopara,2039.0,2102.98,2127.96,2095.27,-80.06,312703,47231,6724,10795,12.1%
35,dLincolnlawyer,2163.0,2208.15,2162.02,2154.24,-21.81,37497,924,699,269,37.8%
36,FPL_Statoholic,2159.0,2056.21,2116.63,2126.8,48.49,57806,129281,11831,1990,75.6%
37,FplAmateur,2167.0,2087.47,2052.25,2037.66,97.82,44942,70314,106896,84484,92.1%
38,wolacola,2177.0,2176.19,2157.0,2159.77,2.49,36911,4531,1163,138,52.1%
39,Hashtag_MEGA,2070.0,2155.47,2170.62,2172.9,-106.7,225197,9975,354,62,4.9%
40,dav_fifa,2128.0,1989.32,1967.8,1951.9,148.2,111792,372876,487751,455877,98.7%
41,MaulanaRiandi,2233.0,2222.13,2148.58,2120.99,59.29,5685,404,1997,2821,79.9%
42,Rak464,2120.0,2090.73,2119.72,2095.05,7.8,97924,65769,10092,10869,55.1%
43,ArneBarsnes,2247.0,2184.33,2180.03,2166.53,59.82,3163,3107,187,97,80.2%
44,FPL_PapaSmurf,2070.0,2016.06,2023.09,2016.84,41.03,262099,253515,202393,138424,71.4%
45,gezza96,2228.0,2185.94,2123.43,2104.88,80.02,6830,2956,8369,6880,87.7%
46,Raghy78d,2258.0,2209.08,2199.43,2165.79,56.43,1346,845,37,98,78.8%
47,pdhFPL,2084.0,2191.03,2160.23,2172.0,-100.57,154271,2443,802,65,6.1%
48,NeilRankinZA,2080.0,2038.14,2016.72,2026.46,42.7,229213,179718,224852,111914,72.5%
49,EuanThompson,2228.0,2241.62,2189.31,2179.92,14.41,7771,142,70,28,58.4%
50,FPLrookie1,2103.0,2136.96,2111.04,2078.15,-15.77,113353,18476,15466,23892,41%
51,FplBudget,2165.0,2080.72,2085.24,2083.02,71.71,42374,81266,43237,19193,85.2%
52,FF_Vader,2200.0,2170.05,2181.76,2149.19,22.75,14215,5786,158,392,62.4%
53,alasdairtweets,2241.0,2193.15,2173.23,2148.65,59.21,5774,2157,297,396,79.9%
54,fpl_analytic,2080.0,2037.77,2064.91,2061.76,14.77,219559,181398,77353,42466,58.5%
55,stephendeyoung,2067.0,2070.54,2040.0,2020.31,13.32,280738,100685,140519,126813,57.9%
56,James_Ingram15,2152.0,2199.14,2182.77,2172.98,-43.13,54095,1548,152,62,27.4%
57,FPL_Kid,2148.0,2115.13,2074.57,2077.13,48.98,69470,34470,59325,24434,75.8%
58,fpl_jan,2303.0,2285.06,2185.85,2152.55,85.52,431,4,95,296,89.3%
59,FPL_Mezzala,2224.0,2265.09,2203.85,2186.89,-4.52,7523,12,33,15,48%
60,morstats,2117.0,2092.76,2032.67,2012.47,61.13,98556,62623,164516,155156,80.7%
61,FplOpinion,2121.0,2115.49,2133.71,2132.02,-16.45,108992,34306,4842,1375,40.6%
62,_NeilFPL,2188.0,2184.6,2157.9,2145.38,15.27,15476,3071,1105,485,58.6%
63,UnderstandingF8,2031.0,1952.46,1957.01,1938.73,71.35,362007,583368,568042,529688,85%
64,EejRoberts,2118.0,2172.77,2153.07,2143.1,-48.46,132151,5333,1483,539,24.5%
65,FPL_Gents,2139.0,2107.83,2134.3,2108.59,11.74,87262,42251,4675,5607,57.1%
66,FPLHaggis,2097.0,2138.77,2096.37,2076.64,-16.93,173952,17422,29196,24788,40.3%
67,Jumpthewave,2150.0,2179.02,2135.84,2110.39,-1.73,72525,3984,4309,5065,49.5%
68,DarraghNoonan,2214.0,2234.09,2176.07,2160.82,13.75,6532,202,241,132,58.1%
69,FPL_Chase,2206.0,2189.68,2183.07,2162.31,17.46,15008,2563,143,124,60%
70,jonwalker88,2086.0,2142.77,2173.32,2172.3,-87.24,161674,15358,297,65,9.8%
71,TomDavies_17,2189.0,2190.21,2143.9,2130.59,24.11,28383,2503,2705,1512,63.1%
72,FodWeTrust,2098.0,2111.59,2151.11,2133.26,-44.43,165147,38302,1665,1316,26.9%
73,FplPass,2135.0,2093.83,2016.93,2012.35,84.11,101035,60468,224279,155257,88.8%
74,prparsons,2147.0,2178.05,2130.94,2103.61,-0.49,76917,4135,5528,7155,50.2%
75,FplJeb,2059.0,2064.23,2162.47,2134.99,-72.29,304180,113130,659,1069,14.4%
76,JosesBusDrivers,2024.0,2135.52,2159.63,2164.26,-139.56,341329,19282,856,102,1.4%
77,hidethecactus,2193.0,2138.03,2087.57,2074.39,83.03,19790,17799,40251,27147,88.5%
78,tweetsofagooner,2043.0,2017.23,2056.48,2058.08,-11.42,377325,249855,95656,49213,43.8%
79,FplRafiki,2063.0,2007.82,1999.26,1996.27,51.66,274542,288699,300705,215153,76.7%
80,FPL_Audit,2227.0,2148.79,2151.38,2116.61,77.87,5747,12880,1627,3433,87.1%
81,DaveCZfpl,2020.0,2029.89,2075.48,2069.82,-48.91,449928,204739,57451,32505,24.3%
82,PaulGiurculet,2262.0,2163.79,2072.05,2055.34,155.2,1910,7288,63938,53939,99%
83,k_rybaczuk,2068.0,2063.3,2098.73,2054.14,-14.41,218812,115299,26103,55588,41.7%
84,CoalportGlen,2247.0,2245.3,2179.27,2156.1,43.58,3037,98,192,227,73%
85,FPLvariance,2083.0,2156.5,2132.42,2119.51,-63.26,226452,9610,5103,3068,18%
86,SchadenfreudeFF,2147.0,2115.69,2110.5,2095.28,29.63,90600,34141,15831,10795,65.9%
87,desphorin,2021.0,2102.22,2107.08,2096.91,-91.35,474393,47857,18536,9788,8.5%
