,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
0,0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,Folarin,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,44,232223.jpg,0.0,Balogun,0.2,False,,u,1,3,0,10024,0,63584,6,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,698,71,691,72,664,70,700,72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,560,105,604,57,712,77,348,51,0.0,0.0
1,,,58822,0,0,-2,2,0,2,1.0,1.0,0,Cédric,0.0,2,False,,,38,58822.jpg,1.0,Alves Soares,0.5,False,,a,1,3,3,66883,599,65710,310,0.0,0.8,Cédric,59,0,0,0,0,0,0,0,0,0,0,0,15,2.0,4.3,0.0,0.6,0,0.00,0.02,0.02,0.39,525,189,465,173,483,178,519,184,,,,,,,0.0,0.0,0.03,0.03,0.59,0.0,849,271,399,137,452,154,244,98,0.0,0.0
2,100.0,100.0,153256,0,0,-1,1,0,3,1.0,1.0,0,Mohamed,0.0,3,False,,2023-12-30T22:30:09.113694Z,44,153256.jpg,2.0,Elneny,0.1,False,,a,1,3,6,13564,10,20537,7,0.0,1.4,M.Elneny,25,0,1,0,0,0,0,0,0,0,0,0,16,4.0,2.1,10.0,1.6,0,0.08,0.01,0.09,0.13,513,229,477,231,444,220,508,230,,,,,,,0.29,0.0,0.04,0.33,0.47,0.0,531,316,591,199,303,126,476,156,0.0,0.0
3,100.0,100.0,438098,0,0,-1,1,0,3,1.3,1.3,0,Fábio,0.3,4,False,,2023-12-07T12:00:08.489004Z,54,438098.jpg,2.2,Ferreira Vieira,0.1,False,,a,1,3,24,11767,2,19198,4,0.1,4.4,Fábio Vieira,290,1,3,1,2,0,0,0,0,1,0,0,67,82.8,88.8,85.0,25.5,2,1.25,0.64,1.89,1.83,405,172,313,172,294,150,380,170,,,,,4.0,,0.39,0.0,0.2,0.59,0.57,0.62,122,74,360,168,281,116,449,143,0.62,0.31
4,100.0,100.0,226597,0,0,4,-4,3,2,5.3,5.3,7,Gabriel,4.3,5,True,,2024-03-18T22:00:08.938811Z,54,226597.jpg,4.1,dos Santos Magalhães,28.3,False,,a,1,3,141,3479660,7051,3441422,10752,0.8,26.1,Gabriel,2894,3,1,15,25,1,0,0,4,0,0,7,639,648.4,118.4,368.0,113.7,32,4.21,0.62,4.83,25.08,56,18,269,79,99,4,110,17,,,,,,,0.13,0.0,0.02,0.15,0.78,0.78,117,13,39,10,43,6,9,2,1.0,0.47
5,100.0,100.0,219847,0,0,0,0,5,3,9.3,9.3,5,Kai,8.3,6,False,,2023-12-23T20:00:08.458889Z,75,219847.jpg,4.8,Havertz,8.7,False,,a,1,3,168,1148485,6674,689963,11664,1.1,22.4,Havertz,2447,12,9,15,21,0,0,0,10,0,0,15,479,706.0,564.9,934.0,220.3,28,11.12,3.34,14.45,19.89,46,16,51,45,14,8,19,14,,,,,3.0,,0.41,0.0,0.12,0.53,0.73,0.77,24,15,4,3,23,16,48,16,1.03,0.55
6,100.0,100.0,205651,0,0,-3,3,1,4,3.8,3.8,4,Gabriel,2.8,8,False,,2024-02-05T08:30:09.036230Z,77,205651.jpg,3.3,Fernando de Jesus,2.7,False,,a,1,3,83,1140336,218,1218431,1695,0.4,10.8,G.Jesus,1450,4,7,11,11,0,0,0,6,0,0,10,261,358.0,390.4,747.0,149.8,17,6.23,3.20,9.43,11.65,201,25,90,8,25,13,64,14,,,,,,,0.39,0.0,0.2,0.59,0.72,0.68,18,7,108,16,124,23,116,21,1.06,0.68
7,100.0,100.0,85955,0,0,-2,2,0,3,2.5,2.5,0,Jorge Luiz,1.5,9,False,,2023-12-18T00:00:09.353001Z,53,85955.jpg,1.9,Frello Filho,0.2,False,,a,1,3,43,12109,4,22096,34,0.3,8.1,Jorginho,912,0,2,4,11,0,0,0,1,0,0,1,179,165.0,187.8,16.0,36.8,10,0.10,1.77,1.87,8.40,337,144,203,128,430,212,332,153,,,,,,,0.01,0.0,0.17,0.18,0.83,1.09,127,77,196,94,346,151,342,106,0.99,0.39
8,,,440854,0,0,-3,3,1,2,2.2,2.2,0,Jakub,1.2,10,False,,,42,440854.jpg,3.5,Kiwior,0.9,False,,a,1,3,66,249698,173,175698,2356,0.3,15.7,Kiwior,941,1,3,6,8,0,0,0,1,0,0,1,257,228.8,106.9,90.0,42.7,11,0.74,0.60,1.34,5.13,296,110,291,90,286,88,310,106,,,,,,,0.07,0.0,0.06,0.13,0.49,0.77,671,159,220,67,84,16,204,82,1.05,0.57
9,0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,Marcus,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,45,479683.jpg,0.0,Oliveira Alencar,0.0,False,,u,1,3,0,819,0,11947,5,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,751,296,746,295,731,289,754,297,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,430,251,680,249,758,300,556,194,0.0,0.0
10,100.0,100.0,444145,0,0,-4,4,2,3,2.0,2.0,1,Gabriel,1.0,12,False,,2024-03-05T09:00:08.920090Z,76,444145.jpg,3.5,Martinelli Silva,4.3,False,,a,1,3,115,1277945,106,2276713,2064,0.1,15.1,Martinelli,1896,6,5,10,22,0,0,0,1,0,0,6,382,465.2,629.1,729.0,181.9,23,5.99,4.74,10.72,14.23,140,62,43,37,26,13,39,28,,,,,,,0.28,0.0,0.22,0.5,0.68,1.04,21,13,261,132,96,47,91,26,1.09,0.47
11,100.0,100.0,205533,0,0,-5,5,1,4,1.3,1.3,0,Eddie,0.3,13,False,,2023-11-09T08:30:08.250179Z,50,205533.jpg,2.6,Nketiah,3.1,False,,a,1,3,71,1585424,47,1707075,554,0.1,14.2,Nketiah,1065,5,4,6,10,0,0,0,3,0,0,5,206,235.0,136.3,417.0,77.2,10,4.65,0.53,5.18,10.21,292,35,254,33,75,30,206,33,,,,,,,0.39,0.0,0.04,0.43,0.86,0.85,193,45,358,47,202,34,105,18,0.85,0.51
12,100.0,100.0,184029,0,0,1,-1,3,3,6.2,6.2,3,Martin,5.2,14,False,,2024-04-15T08:30:08.797068Z,86,184029.jpg,5.2,Ødegaard,18.1,False,,a,1,3,173,2922202,2303,3520207,15259,0.6,20.1,Ødegaard,2918,8,9,18,22,0,0,0,2,0,0,24,658,841.4,1381.7,707.0,293.3,33,7.08,9.54,16.62,24.14,28,12,3,3,30,16,6,5,3.0,,1.0,,2.0,,0.22,0.0,0.29,0.51,0.74,0.68,8,5,22,11,16,12,19,8,1.02,0.56
13,100.0,100.0,167199,0,0,-2,2,0,3,2.2,2.2,2,Thomas,1.2,15,False,,2023-10-25T12:00:07.465521Z,48,167199.jpg,1.7,Partey,0.1,False,,a,1,3,20,9155,24,38136,13,0.3,4.2,Thomas,627,0,0,4,4,0,0,0,2,0,0,0,121,105.6,111.1,36.0,25.3,7,0.37,0.49,0.86,7.33,384,162,280,157,375,192,381,171,,,,,,,0.05,0.0,0.07,0.12,1.05,0.57,280,181,227,108,375,163,381,114,1.0,0.57
