,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1618.0,1660.33,1699.55,1702.07,-92.85,428258,33162,2257,404,8.7%
1,FplSimpson,1627.0,1671.36,1738.79,1726.19,-109.11,369944,22719,63,12,5.2%
2,FplStatsdan,1584.0,1621.8,1680.88,1665.36,-95.79,699058,103709,8669,6704,8.2%
3,FF_Trout,1701.0,1716.88,1727.24,1725.12,-44.92,75334,2405,171,12,26%
4,dilksybab,1703.0,1742.73,1754.12,1725.55,-60.37,71358,618,5,12,19.7%
5,theFPLkiwi,1543.0,1620.49,1692.46,1674.62,-143.56,1112690,106527,3808,3548,1.3%
6,jameso_12,1611.0,1587.96,1663.65,1635.01,-41.87,479426,234612,24188,39914,27.3%
7,api_kakayou,1724.0,1645.49,1650.22,1640.46,55.98,39072,52454,49782,30073,81.2%
8,usafpl,1567.0,1556.15,1625.02,1600.06,-50.63,860262,426279,120150,136230,23.5%
9,CazzaFPL,1730.0,1690.42,1740.63,1709.32,-6.85,32587,9487,45,201,46%
10,PlanetosFPL,1620.0,1653.86,1717.17,1695.01,-92.47,416050,40449,497,733,8.8%
11,analytic_fpl,1671.0,1631.58,1673.07,1660.72,-7.54,158223,78859,14582,8957,45.6%
12,rogue_wee,1606.0,1641.92,1677.24,1653.49,-74.7,515676,58250,11159,15076,13.9%
13,mtthwmn,1667.0,1671.43,1712.28,1702.56,-51.86,172203,22683,762,379,23%
14,cmusson32,1634.0,1658.35,1683.98,1694.01,-68.09,327707,34651,7072,799,16.3%
15,FPLstudent2,1674.0,1743.0,1709.5,1732.04,-76.31,147138,588,1036,7,13.6%
16,peterhandleson,1506.0,1550.86,1608.01,1598.87,-103.72,1552211,468971,196709,140490,6.3%
17,chrishp,1692.0,1683.57,1678.74,1672.33,-8.66,95991,13366,10260,4193,44.9%
18,plfantasy,1719.0,1653.62,1643.77,1627.19,55.25,46421,40542,61039,55082,81%
19,FPLmeta,1686.0,1671.85,1702.86,1697.62,-28.04,110593,22381,1767,586,34.1%
20,FplAuto,1639.0,1669.13,1677.56,1645.75,-47.61,301846,24366,10888,23210,24.8%
21,NourEldin_z3r0,1748.0,1716.99,1692.61,1676.08,30.87,17708,2400,3764,3176,68.3%
