,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,157,Pickford,11,1,49,9,3.737,False,1,1,3.737
1,139,van Aanholt,31,2,54,9,4.105,False,1,1,4.105
2,155,Digne,11,2,61,9,4.137,False,1,1,4.137
3,298,Maguire,1,2,54,9,4.602,False,1,1,4.602
4,313,Wan-Bissaka,1,2,54,9,4.496,False,1,1,4.496
5,37,Grealish,7,3,74,9,4.533,False,1,1,4.533
6,40,Trézéguet,7,3,53,9,3.465,False,1,1,3.465
7,254,Salah,14,3,124,9,6.622000000000001,True,2,1,13.244000000000002
8,508,Rodríguez,11,3,79,9,4.72,False,1,1,4.72
9,184,Mitrović,54,4,58,9,4.092,False,1,1,4.092
10,514,Watkins,7,4,60,9,4.493,False,1,1,4.493
11,431,Fabianski,21,1,50,9,3.78,False,0,0,0.0
12,232,Chilwell,8,2,59,9,4.043,False,0,0,0.0
13,302,Fernandes,1,3,105,9,6.105,False,0,0,0.0
14,68,Maupay,36,4,65,9,4.359,False,0,0,0.0
