,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,291,de Gea,1,1,54,9,4.167,False,1,4.167
1,255,Robertson,14,2,71,9,4.54,False,1,4.54
2,298,Maguire,1,2,54,9,4.602,False,1,4.602
3,313,Wan-Bissaka,1,2,54,9,4.496,False,1,4.496
4,4,Aubameyang,3,3,117,9,5.1789999999999985,False,1,5.1789999999999985
5,251,Mané,14,3,120,9,5.674,False,1,5.674
6,254,Salah,14,3,124,9,6.622000000000001,True,2,13.244000000000002
7,276,Sterling,43,3,115,9,4.815,False,1,4.815
8,302,Fernandes,1,3,105,9,6.105,False,1,6.105
9,249,Firmino,14,4,92,9,4.607,False,1,4.607
10,460,Jiménez,39,4,85,9,4.635,False,1,4.635
