,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,157,Pickford,11,1,49,9,3.737,False,1,1,3.737
1,139,van Aanholt,31,2,54,9,4.105,False,1,1,4.105
2,298,Maguire,1,2,54,9,4.602,False,1,1,4.602
3,313,Wan-Bissaka,1,2,54,9,4.496,False,1,1,4.496
4,251,Mané,14,3,120,9,5.674,False,1,1,5.674
5,254,Salah,14,3,124,9,6.622000000000001,True,2,1,13.244000000000002
6,302,Fernandes,1,3,105,9,6.105,False,1,1,6.105
7,508,Rodríguez,11,3,79,9,4.72,False,1,1,4.72
8,68,Maupay,36,4,65,9,4.359,False,1,1,4.359
9,184,Mitrović,54,4,58,9,4.092,False,1,1,4.092
10,514,Watkins,7,4,60,9,4.493,False,1,1,4.493
11,363,McCarthy,20,1,45,9,3.568,False,0,0,0.0
12,66,Webster,36,2,44,9,2.541,False,0,0,0.0
13,443,Balbuena,21,2,44,9,3.135,False,0,0,0.0
14,79,Alzate,36,3,45,9,2.336,False,0,0,0.0
