,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,327,De Gea,1,1,49,22,6.693,False,1,10.3,6.693
1,329,Varane,1,2,48,22,6.337999999999999,False,1,3.2,6.337999999999999
2,332,Shaw,1,2,52,22,7.0020000000000024,False,1,23.1,7.0020000000000024
3,533,Martínez,1,2,45,22,6.678,False,1,6.3,6.678
4,225,Rodrigo,2,3,64,22,7.1,False,1,8.6,7.1
5,283,Salah,14,3,128,22,5.9170000000000025,False,1,25.7,5.9170000000000025
6,333,Fernandes,1,3,99,22,8.507,False,1,8.4,8.507
7,335,Rashford,1,3,72,22,9.4,True,2,49.6,18.8
8,609,Antony,1,3,73,22,6.314,False,1,3.3,6.314
9,80,Toney,94,4,77,22,5.602,False,1,30.7,5.602
10,318,Haaland,43,4,122,22,6.0120000000000005,False,1,85.3,6.0120000000000005
