,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,455,Patrício,39,1,55,7,4.136,False,1,4.136
1,232,Chilwell,8,2,58,7,4.186,False,1,4.186
2,255,Robertson,14,2,71,7,4.896,False,1,4.896
3,259,Alexander-Arnold,14,2,74,7,4.841,False,1,4.841
4,251,Mané,14,3,120,7,6.205,False,1,6.205
5,254,Salah,14,3,124,7,7.454,True,2,14.908
6,272,De Bruyne,43,3,115,7,5.617000000000001,False,1,5.617000000000001
7,276,Sterling,43,3,116,7,6.167000000000002,False,1,6.167000000000002
8,390,Son,6,3,95,7,5.34,False,1,5.34
9,117,Werner,8,4,93,7,5.316,False,1,5.316
10,388,Kane,6,4,109,7,6.331,False,1,6.331
