,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,15,Ramsdale,3,1,49,14,4.287,False,1,10.5,4.287
1,16,Gabriel,3,2,51,14,5.358,False,1,10.3,5.358
2,26,Saliba,3,2,52,14,4.78,False,1,31.8,4.78
3,285,Alexander-Arnold,14,2,72,14,5.412000000000001,False,1,19.8,5.412000000000001
4,13,Saka,3,3,80,14,6.7070000000000025,False,1,16.3,6.7070000000000025
5,19,Martinelli,3,3,68,14,5.4079999999999995,False,1,48.8,5.4079999999999995
6,160,Zaha,31,3,76,14,5.398,False,1,23.0,5.398
7,283,Salah,14,3,128,14,7.101,True,2,31.8,14.202
8,301,De Bruyne,43,3,123,14,5.577000000000001,False,1,31.4,5.577000000000001
9,210,Mitrović,54,4,69,14,5.364,False,1,26.7,5.364
10,427,Kane,6,4,115,14,5.684,False,1,23.4,5.684
