,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,gw_points
0,291,de Gea,1,1,54,9,4.213,False,1,4.213
1,255,Robertson,14,2,71,9,4.357,False,1,4.357
2,298,Maguire,1,2,54,9,4.463,False,1,4.463
3,313,Wan-Bissaka,1,2,54,9,4.394,False,1,4.394
4,4,Aubameyang,3,3,117,9,5.03,False,1,5.03
5,251,Mané,14,3,120,9,5.4220000000000015,False,1,5.4220000000000015
6,254,Salah,14,3,124,9,6.488,True,2,12.976
7,302,Fernandes,1,3,105,9,5.8820000000000014,False,1,5.8820000000000014
8,306,Rashford,1,3,96,9,5.925,False,1,5.925
9,117,Werner,8,4,94,9,5.274,False,1,5.274
10,303,Martial,1,4,87,9,4.691,False,1,4.691
