,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1660.0,1711.08,1759.13,1761.65,-107.68,489188,26124,1108,140,5.8%
1,FplSimpson,1677.0,1726.72,1796.63,1783.67,-116.05,375023,14833,5,1,4.3%
2,FplStatsdan,1637.0,1680.27,1732.94,1718.77,-97.3,676400,71600,8160,4960,8.1%
3,FF_Trout,1724.0,1758.21,1783.92,1781.97,-73.88,151050,3514,33,1,14.9%
4,dilksybab,1740.0,1789.11,1812.69,1781.58,-77.27,104015,558,1,1,13.5%
5,theFPLkiwi,1572.0,1669.1,1746.87,1727.79,-166.74,1355510,96907,3063,3172,0.3%
6,jameso_12,1645.0,1630.33,1723.06,1693.54,-61.68,607922,234378,13530,20147,19.7%
7,api_kakayou,1776.0,1689.21,1703.4,1692.67,58.08,39266,52754,35843,20826,82.8%
8,usafpl,1603.0,1605.0,1675.26,1649.77,-64.25,1006054,381340,100047,116117,18.7%
9,CazzaFPL,1776.0,1739.92,1799.83,1767.4,-16.66,39440,8177,2,80,41.4%
10,PlanetosFPL,1644.0,1695.79,1772.88,1749.63,-119.52,615754,43814,308,537,3.7%
11,analytic_fpl,1720.0,1689.2,1726.75,1715.46,-13.81,166130,52757,10956,6582,43%
12,rogue_wee,1656.0,1689.26,1732.93,1707.92,-77.36,520242,52679,8160,10563,13.5%
13,mtthwmn,1719.0,1727.84,1773.2,1763.0,-59.21,169273,13759,288,133,20.6%
14,cmusson32,1673.0,1710.33,1742.41,1753.39,-85.84,399760,26929,4500,422,11%
15,FPLstudent2,1710.0,1788.41,1768.6,1791.33,-95.22,204232,571,432,1,8.9%
16,peterhandleson,1545.0,1597.33,1652.35,1643.59,-109.85,1689577,437145,194180,139913,5.5%
17,chrishp,1736.0,1734.11,1735.49,1729.01,-19.46,115503,10570,7487,2822,39.7%
18,plfantasy,1765.0,1697.98,1694.46,1679.25,52.06,55031,40827,50952,40071,79.9%
19,FPLmeta,1732.0,1727.53,1764.34,1757.94,-41.32,125699,14008,530,204,28.2%
20,FplAuto,1674.0,1708.46,1729.07,1695.07,-59.57,395874,28432,9581,19075,20.5%
21,NourEldin_z3r0,1791.0,1765.33,1749.22,1732.64,19.85,24603,2404,2553,2057,62.3%
