,twitter,FPL,xG,IO,MD,Luck,FPL_Rank,xG_Rank,IO_Rank,MD_Rank,Luck_Rank
0,sertalpbilal,1384.0,1423.1,1435.7,1432.98,-68.7,405241,33889,1766,394,11.7%
1,FplSimpson,1388.0,1428.67,1465.03,1446.12,-81.23,376365,26642,36,64,8%
2,FplStatsdan,1332.0,1374.03,1420.47,1403.95,-90.47,926599,172717,7280,5830,5.4%
3,FF_Trout,1438.0,1468.07,1463.07,1456.44,-45.99,116824,3721,57,23,20.6%
4,dilksybab,1428.0,1487.99,1480.81,1456.11,-68.07,152209,1159,1,23,11.9%
5,theFPLkiwi,1319.0,1363.26,1407.34,1387.73,-89.98,1092210,224196,18951,19403,5.6%
6,jameso_12,1363.0,1358.12,1387.42,1358.83,-27.35,589475,257208,57211,87191,30.8%
7,api_kakayou,1477.0,1401.11,1390.78,1378.67,65.61,35234,77280,50117,32830,88.9%
8,usafpl,1319.0,1335.57,1365.41,1345.98,-52.38,1092887,433019,138038,142697,17.9%
9,CazzaFPL,1452.0,1426.62,1472.19,1441.79,-17.6,79404,29020,5,86,37.5%
10,PlanetosFPL,1388.0,1418.82,1439.89,1415.54,-58.78,376365,39970,1253,2069,15.3%
11,analytic_fpl,1428.0,1403.39,1434.83,1420.15,-13.98,153339,70087,2009,1560,40%
12,rogue_wee,1370.0,1398.53,1402.54,1378.77,-44.76,523244,84724,25622,32721,21.3%
13,mtthwmn,1405.0,1415.87,1443.6,1433.83,-48.59,263825,44451,987,356,19.5%
14,cmusson32,1399.0,1414.2,1419.91,1426.16,-43.12,299779,46724,7394,814,22.1%
15,FPLstudent2,1418.0,1484.6,1433.32,1450.18,-58.37,196181,1372,2319,43,15.4%
16,peterhandleson,1318.0,1333.0,1338.38,1323.62,-35.34,1108356,455049,325996,305978,25.9%
17,chrishp,1414.0,1437.13,1415.24,1407.47,-26.84,215916,18586,10542,4232,31.2%
18,plfantasy,1458.0,1406.59,1381.42,1359.7,54.87,66828,62667,73875,83682,84.8%
