,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,selected_by_percent,gw_points
0,133,Arrizabalaga,8,1,47,28,4.223,False,1,8.9,4.223
1,16,Gabriel,3,2,52,28,4.758,False,1,13.9,4.758
2,139,Chilwell,8,2,59,28,4.42,False,1,3.9,4.42
3,146,James,8,2,58,28,5.154,False,1,12.1,5.154
4,313,Zinchenko,3,2,52,28,4.643,False,1,14.5,4.643
5,7,Ødegaard,3,3,69,28,4.963,False,1,33.0,4.963
6,13,Saka,3,3,85,28,6.456,True,2,40.8,12.912
7,19,Martinelli,3,3,66,28,4.475,False,1,37.4,4.475
8,40,Watkins,7,4,73,28,5.5760000000000005,False,1,9.3,5.5760000000000005
9,145,Havertz,8,4,75,28,5.239,False,1,4.0,5.239
10,427,Kane,6,4,117,28,5.506,False,1,38.3,5.506
