,player_id,web_name,team_code,element_type,now_cost,event,points_md,is_captain,multiplier,starting_lineup,gw_points
0,383,Lloris,6,1,55,8,4.005,False,1,1,4.005
1,66,Webster,36,2,44,8,3.802,False,1,1,3.802
2,110,Zouma,8,2,52,8,3.881,False,1,1,3.881
3,232,Chilwell,8,2,59,8,4.772,False,1,1,4.772
4,4,Aubameyang,3,3,117,8,5.78,False,1,1,5.78
5,306,Rashford,1,3,96,8,4.506,False,1,1,4.506
6,370,Ward-Prowse,20,3,59,8,4.297,False,1,1,4.297
7,390,Son,6,3,96,8,5.547999999999999,False,1,1,5.547999999999999
8,117,Werner,8,4,93,8,5.468,False,1,1,5.468
9,377,Adams,20,4,58,8,4.467,False,1,1,4.467
10,388,Kane,6,4,109,8,6.416,True,2,1,12.832
11,523,Forster,20,1,40,8,0.0,False,0,0,0.0
12,170,Branthwaite,11,2,39,8,0.213,False,0,0,0.0
13,215,Casey,2,2,39,8,0.035,False,0,0,0.0
14,222,James,13,3,43,8,0.0,False,0,0,0.0
